date	freq
2015-06-01	14
2015-06-02	21
2015-06-03	13
2015-06-04	10
2015-06-05	16
2015-06-06	10
2015-06-07	11
2015-06-08	19
2015-06-09	12
2015-06-10	19
2015-06-11	10
2015-06-12	17
2015-06-13	17
2015-06-14	11
2015-06-15	12
2015-06-16	11
2015-06-17	15
2015-06-18	13
2015-06-19	12
2015-06-20	12
2015-06-21	12
2015-06-22	12
2015-06-23	6
2015-06-24	13
2015-06-25	15
2015-06-26	12
2015-06-27	9
2015-06-28	10
2015-06-29	14
2015-06-30	8
2015-07-01	16
2015-07-02	11
2015-07-03	14
2015-07-04	8
2015-07-05	8
2015-07-06	13
2015-07-07	18
2015-07-08	13
2015-07-09	13
2015-07-10	4
2015-07-11	9
2015-07-12	8
2015-07-13	7
2015-07-14	10
2015-07-15	10
2015-07-16	8
2015-07-17	10
2015-07-18	11
2015-07-19	6
2015-07-20	11
2015-07-21	13
2015-07-22	11
2015-07-23	15
2015-07-24	16
2015-07-25	16
2015-07-26	14
2015-07-27	12
2015-07-28	16
2015-07-29	10
2015-07-30	11
2015-07-31	10
2015-08-01	10
2015-08-02	17
2015-08-03	13
2015-08-04	13
2015-08-05	11
2015-08-06	12
2015-08-07	13
2015-08-08	10
2015-08-09	10
2015-08-10	18
2015-08-11	4
2015-08-12	13
2015-08-13	10
2015-08-14	4
2015-08-15	9
2015-08-16	12
2015-08-17	6
2015-08-18	6
2015-08-19	12
2015-08-20	12
2015-08-21	10
2015-08-22	12
2015-08-23	11
2015-08-24	10
2015-08-25	14
2015-08-26	17
2015-08-27	10
2015-08-28	11
2015-08-29	8
2015-08-30	11
2015-08-31	16
2015-09-01	11
2015-09-02	19
2015-09-03	9
2015-09-04	15
2015-09-05	15
2015-09-06	15
2015-09-07	16
2015-09-08	15
2015-09-09	11
2015-09-10	10
2015-09-11	16
2015-09-12	12
2015-09-13	19
2015-09-14	9
2015-09-15	8
2015-09-16	12
2015-09-17	11
2015-09-18	18
2015-09-19	14
2015-09-20	16
2015-09-21	15
2015-09-22	14
2015-09-23	14
2015-09-24	12
2015-09-25	9
2015-09-26	11
2015-09-27	12
2015-09-28	12
2015-09-29	18
2015-09-30	16
2015-10-01	15
2015-10-02	17
2015-10-03	13
2015-10-04	10
