date	freq
2015-06-01	440
2015-06-02	401
2015-06-03	423
2015-06-04	403
2015-06-05	433
2015-06-06	392
2015-06-07	415
2015-06-08	436
2015-06-09	465
2015-06-10	431
2015-06-11	470
2015-06-12	425
2015-06-13	417
2015-06-14	430
2015-06-15	442
2015-06-16	404
2015-06-17	424
2015-06-18	411
2015-06-19	456
2015-06-20	419
2015-06-21	421
2015-06-22	434
2015-06-23	422
2015-06-24	427
2015-06-25	377
2015-06-26	393
2015-06-27	403
2015-06-28	408
2015-06-29	399
2015-06-30	365
2015-07-01	396
2015-07-02	390
2015-07-03	443
2015-07-04	361
2015-07-05	435
2015-07-06	428
2015-07-07	395
2015-07-08	380
2015-07-09	381
2015-07-10	329
2015-07-11	342
2015-07-12	419
2015-07-13	399
2015-07-14	359
2015-07-15	374
2015-07-16	383
2015-07-17	368
2015-07-18	363
2015-07-19	343
2015-07-20	371
2015-07-21	450
2015-07-22	371
2015-07-23	352
2015-07-24	370
2015-07-25	383
2015-07-26	332
2015-07-27	383
2015-07-28	354
2015-07-29	404
2015-07-30	363
2015-07-31	348
2015-08-01	368
2015-08-02	415
2015-08-03	602
2015-08-04	429
2015-08-05	366
2015-08-06	379
2015-08-07	404
2015-08-08	350
2015-08-09	391
2015-08-10	387
2015-08-11	337
2015-08-12	322
2015-08-13	397
2015-08-14	340
2015-08-15	314
2015-08-16	360
2015-08-17	411
2015-08-18	400
2015-08-19	402
2015-08-20	403
2015-08-21	345
2015-08-22	344
2015-08-23	337
2015-08-24	376
2015-08-25	332
2015-08-26	367
2015-08-27	359
2015-08-28	335
2015-08-29	334
2015-08-30	391
2015-08-31	366
2015-09-01	350
2015-09-02	382
2015-09-03	374
2015-09-04	370
2015-09-05	408
2015-09-06	458
2015-09-07	433
2015-09-08	399
2015-09-09	411
2015-09-10	419
2015-09-11	351
2015-09-12	307
2015-09-13	380
2015-09-14	361
2015-09-15	393
2015-09-16	419
2015-09-17	391
2015-09-18	368
2015-09-19	371
2015-09-20	309
2015-09-21	372
2015-09-22	415
2015-09-23	373
2015-09-24	355
2015-09-25	343
2015-09-26	338
2015-09-27	398
2015-09-28	359
2015-09-29	333
2015-09-30	376
2015-10-01	388
2015-10-02	363
2015-10-03	337
2015-10-04	390
2015-10-05	392
2015-10-06	394
2015-10-07	405
2015-10-08	370
2015-10-09	387
2015-10-10	353
2015-10-11	364
2015-10-12	350
2015-10-13	383
2015-10-14	382
2015-10-15	413
2015-10-16	406
2015-10-17	419
2015-10-18	430
2015-10-19	464
2015-10-20	410
2015-10-21	402
2015-10-22	410
2015-10-23	372
2015-10-24	404
2015-10-25	404
2015-10-26	434
2015-10-27	442
2015-10-28	481
2015-10-29	444
2015-10-30	404
2015-10-31	399
2015-11-01	399
2015-11-02	420
2015-11-03	465
2015-11-04	491
2015-11-05	388
2015-11-06	402
2015-11-07	391
2015-11-08	465
2015-11-09	479
2015-11-10	424
2015-11-11	447
2015-11-12	378
2015-11-13	433
2015-11-14	366
2015-11-15	458
2015-11-16	390
2015-11-17	418
2015-11-18	452
2015-11-19	410
2015-11-20	395
2015-11-21	407
2015-11-22	438
2015-11-23	523
2015-11-24	545
2015-11-25	428
2015-11-26	413
2015-11-27	406
2015-11-28	391
2015-11-29	415
2015-11-30	465
2015-12-01	408
2015-12-02	405
2015-12-03	387
2015-12-04	347
2015-12-05	366
2015-12-06	386
2015-12-07	430
2015-12-08	379
2015-12-09	453
2015-12-10	429
2015-12-11	437
2015-12-12	386
2015-12-13	408
2015-12-14	407
2015-12-15	458
2015-12-16	384
2015-12-17	402
2015-12-18	374
2015-12-19	369
2015-12-20	374
2015-12-21	394
2015-12-22	391
2015-12-23	377
2015-12-24	395
2015-12-25	389
2015-12-26	347
2015-12-27	364
2015-12-28	347
2015-12-29	314
2015-12-30	347
2015-12-31	337
2016-01-01	248
2016-01-02	273
2016-01-03	303
2016-01-04	301
2016-01-05	325
2016-01-06	354
2016-01-07	340
2016-01-08	377
2016-01-09	356
2016-01-10	389
2016-01-11	370
2016-01-12	339
2016-01-13	357
2016-01-14	347
2016-01-15	393
2016-01-16	384
2016-01-17	442
2016-01-18	378
2016-01-19	357
2016-01-20	376
2016-01-21	353
2016-01-22	397
2016-01-23	376
2016-01-24	379
2016-01-25	381
2016-01-26	369
2016-01-27	356
2016-01-28	381
2016-01-29	361
2016-01-30	398
2016-01-31	404
2016-02-01	379
2016-02-02	360
2016-02-03	374
2016-02-04	342
2016-02-05	359
2016-02-06	343
2016-02-07	364
2016-02-08	402
2016-02-09	397
2016-02-10	395
2016-02-11	376
2016-02-12	389
2016-02-13	553
2016-02-14	408
2016-02-15	332
2016-02-16	420
2016-02-17	376
2016-02-18	376
2016-02-19	379
2016-02-20	347
2016-02-21	351
2016-02-22	351
2016-02-23	332
2016-02-24	552
2016-02-25	376
2016-02-26	372
2016-02-27	351
2016-02-28	347
2016-02-29	343
2016-03-01	321
2016-03-02	309
2016-03-03	312
2016-03-04	299
2016-03-05	268
2016-03-06	340
2016-03-07	342
2016-03-08	466
2016-03-09	346
2016-03-10	321
2016-03-11	270
2016-03-12	281
2016-03-13	347
2016-03-14	323
2016-03-15	464
2016-03-16	335
2016-03-17	282
2016-03-18	364
2016-03-19	313
2016-03-20	290
2016-03-21	356
2016-03-22	325
2016-03-23	316
2016-03-24	326
2016-03-25	320
2016-03-26	331
2016-03-27	327
2016-03-28	561
2016-03-29	314
2016-03-30	327
2016-03-31	279
2016-04-01	257
2016-04-02	291
2016-04-03	312
2016-04-04	324
2016-04-05	290
2016-04-06	321
2016-04-07	312
2016-04-08	329
2016-04-09	363
2016-04-10	367
2016-04-11	350
2016-04-12	347
2016-04-13	354
