date	freq
2015-06-01	315
2015-06-02	334
2015-06-03	389
2015-06-04	335
2015-06-05	311
2015-06-06	309
2015-06-07	360
2015-06-08	343
2015-06-09	138
2015-06-10	344
2015-06-11	310
2015-06-12	317
2015-06-13	300
2015-06-14	319
2015-06-15	334
2015-06-16	815
2015-06-17	352
2015-06-18	318
2015-06-19	379
2015-06-20	367
2015-06-21	354
2015-06-22	347
2015-06-23	336
2015-06-24	321
2015-06-25	289
2015-06-26	303
2015-06-27	319
2015-06-28	320
2015-06-29	302
2015-06-30	272
2015-07-01	344
2015-07-02	326
2015-07-03	296
2015-07-04	354
2015-07-05	324
2015-07-06	350
2015-07-07	302
2015-07-08	303
2015-07-09	318
2015-07-10	283
2015-07-11	327
2015-07-12	318
2015-07-13	345
2015-07-14	309
2015-07-15	310
2015-07-16	283
2015-07-17	332
2015-07-18	354
2015-07-19	357
2015-07-20	489
2015-07-21	402
2015-07-22	344
2015-07-23	438
2015-07-24	330
2015-07-25	309
2015-07-26	343
2015-07-27	362
2015-07-28	356
2015-07-29	439
2015-07-30	454
2015-07-31	425
2015-08-01	352
2015-08-02	400
2015-08-03	1238
2015-08-04	544
2015-08-05	373
2015-08-06	415
2015-08-07	338
2015-08-08	331
2015-08-09	367
2015-08-10	323
2015-08-11	351
2015-08-12	353
2015-08-13	391
2015-08-14	351
2015-08-15	414
2015-08-16	355
2015-08-17	336
2015-08-18	377
2015-08-19	337
2015-08-20	382
2015-08-21	370
2015-08-22	357
2015-08-23	351
2015-08-24	328
2015-08-25	354
2015-08-26	335
2015-08-27	325
2015-08-28	336
2015-08-29	372
2015-08-30	408
2015-08-31	408
2015-09-01	335
2015-09-02	335
2015-09-03	334
2015-09-04	311
2015-09-05	332
2015-09-06	366
2015-09-07	371
2015-09-08	328
2015-09-09	380
2015-09-10	341
2015-09-11	418
2015-09-12	369
2015-09-13	425
2015-09-14	495
2015-09-15	588
2015-09-16	412
2015-09-17	355
2015-09-18	491
2015-09-19	318
2015-09-20	301
2015-09-21	320
2015-09-22	341
2015-09-23	308
2015-09-24	307
2015-09-25	338
2015-09-26	324
2015-09-27	366
2015-09-28	288
2015-09-29	266
2015-09-30	313
2015-10-01	281
2015-10-02	248
2015-10-03	305
2015-10-04	316
2015-10-05	311
2015-10-06	421
2015-10-07	301
2015-10-08	286
2015-10-09	311
2015-10-10	340
2015-10-11	392
2015-10-12	350
2015-10-13	283
2015-10-14	323
2015-10-15	298
2015-10-16	282
2015-10-17	384
2015-10-18	328
2015-10-19	293
2015-10-20	289
2015-10-21	320
2015-10-22	270
2015-10-23	309
2015-10-24	321
2015-10-25	371
2015-10-26	311
2015-10-27	338
2015-10-28	379
2015-10-29	339
2015-10-30	291
2015-10-31	359
2015-11-01	313
2015-11-02	367
2015-11-03	355
2015-11-04	303
2015-11-05	428
2015-11-06	375
2015-11-07	336
2015-11-08	337
2015-11-09	321
2015-11-10	334
2015-11-11	357
2015-11-12	352
2015-11-13	396
2015-11-14	334
2015-11-15	327
2015-11-16	307
2015-11-17	287
2015-11-18	248
2015-11-19	266
2015-11-20	296
2015-11-21	270
2015-11-22	365
2015-11-23	326
2015-11-24	298
2015-11-25	267
2015-11-26	316
2015-11-27	268
2015-11-28	322
2015-11-29	329
2015-11-30	352
2015-12-01	288
2015-12-02	288
2015-12-03	309
2015-12-04	347
2015-12-05	331
2015-12-06	369
2015-12-07	310
2015-12-08	258
2015-12-09	275
2015-12-10	428
2015-12-11	308
2015-12-12	329
2015-12-13	275
2015-12-14	295
2015-12-15	294
2015-12-16	847
2015-12-17	390
2015-12-18	315
2015-12-19	360
2015-12-20	337
2015-12-21	294
2015-12-22	850
2015-12-23	572
2015-12-24	472
2015-12-25	309
2015-12-26	272
2015-12-27	275
2015-12-28	351
2015-12-29	286
2015-12-30	241
2015-12-31	292
2016-01-01	242
2016-01-02	283
2016-01-03	413
2016-01-04	266
2016-01-05	295
2016-01-06	274
2016-01-07	354
2016-01-08	286
2016-01-09	356
2016-01-10	391
2016-01-11	318
2016-01-12	302
2016-01-13	248
2016-01-14	252
2016-01-15	261
2016-01-16	330
2016-01-17	297
2016-01-18	275
2016-01-19	278
2016-01-20	312
2016-01-21	306
2016-01-22	316
2016-01-23	333
2016-01-24	325
2016-01-25	311
2016-01-26	333
2016-01-27	310
2016-01-28	337
2016-01-29	327
2016-01-30	348
2016-01-31	382
2016-02-01	579
2016-02-02	423
2016-02-03	344
2016-02-04	320
2016-02-05	328
2016-02-06	306
2016-02-07	353
2016-02-08	283
2016-02-09	328
2016-02-10	339
2016-02-11	581
2016-02-12	570
2016-02-13	660
2016-02-14	451
2016-02-15	450
2016-02-16	495
2016-02-17	427
2016-02-18	378
2016-02-19	460
2016-02-20	523
2016-02-21	568
2016-02-22	386
2016-02-23	428
2016-02-24	403
2016-02-25	434
2016-02-26	380
2016-02-27	387
2016-02-28	460
2016-02-29	353
2016-03-01	334
2016-03-02	383
2016-03-03	333
2016-03-04	316
2016-03-05	375
2016-03-06	445
2016-03-07	370
2016-03-08	434
2016-03-09	404
2016-03-10	322
2016-03-11	332
2016-03-12	308
2016-03-13	369
2016-03-14	300
2016-03-15	316
2016-03-16	302
2016-03-17	341
2016-03-18	288
2016-03-19	1170
2016-03-20	509
2016-03-21	475
2016-03-22	432
2016-03-23	364
2016-03-24	453
2016-03-25	377
2016-03-26	353
2016-03-27	320
2016-03-28	316
2016-03-29	310
2016-03-30	327
2016-03-31	302
2016-04-01	428
2016-04-02	310
2016-04-03	281
2016-04-04	307
2016-04-05	287
2016-04-06	301
2016-04-07	357
2016-04-08	362
2016-04-09	332
2016-04-10	319
2016-04-11	303
2016-04-12	276
2016-04-13	321
2016-04-14	304
2016-04-15	249
2016-04-16	247
2016-04-17	300
2016-04-18	248
2016-04-19	254
2016-04-20	291
2016-04-21	258
2016-04-22	261
2016-04-23	277
2016-04-24	330
2016-04-25	331
2016-04-26	360
2016-04-27	274
2016-04-28	250
2016-04-29	250
2016-04-30	294
2016-05-01	372
2016-05-02	272
2016-05-03	272
2016-05-04	323
2016-05-05	331
2016-05-06	306
2016-05-07	302
2016-05-08	372
2016-05-09	632
2016-05-10	287
2016-05-11	360
2016-05-12	297
2016-05-13	303
2016-05-14	345
2016-05-15	346
2016-05-16	288
2016-05-17	301
2016-05-18	326
2016-05-19	312
2016-05-20	351
2016-05-21	292
2016-05-22	417
2016-05-23	350
2016-05-24	249
2016-05-25	268
2016-05-26	263
2016-05-27	229
2016-05-28	268
2016-05-29	292
2016-05-30	250
2016-05-31	236
