date	freq
2015-06-01	978
2015-06-02	993
2015-06-03	1062
2015-06-04	1048
2015-06-05	1028
2015-06-06	955
2015-06-07	951
2015-06-08	1130
2015-06-09	1110
2015-06-10	1068
2015-06-11	1040
2015-06-12	971
2015-06-13	957
2015-06-14	882
2015-06-15	992
2015-06-16	1032
2015-06-17	1010
2015-06-18	1011
2015-06-19	953
2015-06-20	884
2015-06-21	862
2015-06-22	969
2015-06-23	1083
2015-06-24	1050
2015-06-25	1006
2015-06-26	1049
2015-06-27	934
2015-06-28	879
2015-06-29	1056
2015-06-30	1011
2015-07-01	1062
2015-07-02	1030
2015-07-03	1056
2015-07-04	923
2015-07-05	1035
2015-07-06	1030
2015-07-07	1046
2015-07-08	1054
2015-07-09	1083
2015-07-10	925
2015-07-11	868
2015-07-12	879
2015-07-13	977
2015-07-14	967
2015-07-15	1034
2015-07-16	969
2015-07-17	869
2015-07-18	843
2015-07-19	804
2015-07-20	903
2015-07-21	892
2015-07-22	997
2015-07-23	993
2015-07-24	966
2015-07-25	919
2015-07-26	844
2015-07-27	837
2015-07-28	889
2015-07-29	946
2015-07-30	935
2015-07-31	836
2015-08-01	778
2015-08-02	756
2015-08-03	923
2015-08-04	957
2015-08-05	925
2015-08-06	847
2015-08-07	816
2015-08-08	763
2015-08-09	738
2015-08-10	818
2015-08-11	877
2015-08-12	857
2015-08-13	807
2015-08-14	798
2015-08-15	727
2015-08-16	774
2015-08-17	833
2015-08-18	900
2015-08-19	898
2015-08-20	958
2015-08-21	906
2015-08-22	883
2015-08-23	854
2015-08-24	897
2015-08-25	918
2015-08-26	966
2015-08-27	948
2015-08-28	928
2015-08-29	877
2015-08-30	865
2015-08-31	960
2015-09-01	970
2015-09-02	1013
2015-09-03	1020
2015-09-04	1054
2015-09-05	973
2015-09-06	1020
2015-09-07	1027
2015-09-08	1027
2015-09-09	994
2015-09-10	876
2015-09-11	900
2015-09-12	833
2015-09-13	821
2015-09-14	956
2015-09-15	1016
2015-09-16	956
2015-09-17	937
2015-09-18	847
2015-09-19	778
2015-09-20	789
2015-09-21	832
2015-09-22	829
2015-09-23	939
2015-09-24	943
2015-09-25	976
2015-09-26	894
2015-09-27	893
2015-09-28	886
2015-09-29	945
2015-09-30	946
2015-10-01	1012
2015-10-02	938
2015-10-03	870
2015-10-04	947
2015-10-05	954
2015-10-06	1014
2015-10-07	990
2015-10-08	982
2015-10-09	966
2015-10-10	863
2015-10-11	850
2015-10-12	879
2015-10-13	946
2015-10-14	927
2015-10-15	900
2015-10-16	931
2015-10-17	927
2015-10-18	838
2015-10-19	1046
2015-10-20	978
2015-10-21	982
2015-10-22	951
2015-10-23	919
2015-10-24	967
2015-10-25	871
2015-10-26	1021
2015-10-27	936
2015-10-28	1279
2015-10-29	1112
2015-10-30	1044
