date	freq
2015-06-01	420
2015-06-02	432
2015-06-03	453
2015-06-04	433
2015-06-05	395
2015-06-06	432
2015-06-07	416
2015-06-08	185
2015-06-09	445
2015-06-10	393
2015-06-11	427
2015-06-12	415
2015-06-13	468
2015-06-14	469
2015-06-15	486
2015-06-16	407
2015-06-17	401
2015-06-18	407
2015-06-19	393
2015-06-20	417
2015-06-21	440
2015-06-22	426
2015-06-23	445
2015-06-24	419
2015-06-25	468
2015-06-26	411
2015-06-27	441
2015-06-28	398
2015-06-29	428
2015-06-30	424
2015-07-01	408
2015-07-02	402
2015-07-03	354
2015-07-04	359
2015-07-05	388
2015-07-06	365
2015-07-07	397
2015-07-08	347
2015-07-09	428
2015-07-10	345
2015-07-11	317
2015-07-12	408
2015-07-13	327
2015-07-14	357
2015-07-15	335
2015-07-16	361
2015-07-17	377
2015-07-18	406
2015-07-19	349
2015-07-20	334
2015-07-21	338
2015-07-22	383
2015-07-23	385
2015-07-24	333
2015-07-25	454
2015-07-26	411
2015-07-27	369
2015-07-28	673
2015-07-29	383
2015-07-30	374
2015-07-31	377
2015-08-01	358
2015-08-02	321
2015-08-03	395
2015-08-04	476
2015-08-05	704
2015-08-06	427
2015-08-07	418
2015-08-08	370
2015-08-09	405
2015-08-10	494
2015-08-11	389
2015-08-12	367
2015-08-13	401
2015-08-14	377
2015-08-15	343
2015-08-16	381
2015-08-17	388
2015-08-18	417
2015-08-19	390
2015-08-20	472
2015-08-21	412
2015-08-22	443
2015-08-23	415
2015-08-24	444
2015-08-25	396
2015-08-26	424
2015-08-27	354
2015-08-28	400
2015-08-29	388
2015-08-30	425
2015-08-31	327
2015-09-01	344
2015-09-02	391
2015-09-03	466
2015-09-04	403
2015-09-05	468
2015-09-06	430
2015-09-07	497
2015-09-08	480
2015-09-09	392
2015-09-10	436
2015-09-11	364
2015-09-12	360
2015-09-13	838
2015-09-14	792
2015-09-15	481
2015-09-16	374
2015-09-17	421
2015-09-18	552
2015-09-19	342
2015-09-20	381
2015-09-21	397
2015-09-22	341
2015-09-23	430
2015-09-24	322
2015-09-25	325
2015-09-26	350
2015-09-27	1186
2015-09-28	783
2015-09-29	408
2015-09-30	388
2015-10-01	373
2015-10-02	368
2015-10-03	408
2015-10-04	388
2015-10-05	394
2015-10-06	500
2015-10-07	462
2015-10-08	842
2015-10-09	904
2015-10-10	451
2015-10-11	387
2015-10-12	379
2015-10-13	423
2015-10-14	427
2015-10-15	338
2015-10-16	414
2015-10-17	625
2015-10-18	503
2015-10-19	513
2015-10-20	442
2015-10-21	375
2015-10-22	362
2015-10-23	423
2015-10-24	395
2015-10-25	383
2015-10-26	389
2015-10-27	377
2015-10-28	389
2015-10-29	354
2015-10-30	358
2015-10-31	428
2015-11-01	345
2015-11-02	322
2015-11-03	486
2015-11-04	364
2015-11-05	334
2015-11-06	344
2015-11-07	420
2015-11-08	334
2015-11-09	318
2015-11-10	367
2015-11-11	369
2015-11-12	375
2015-11-13	314
2015-11-14	426
2015-11-15	311
2015-11-16	508
2015-11-17	412
2015-11-18	369
2015-11-19	317
2015-11-20	283
2015-11-21	347
2015-11-22	367
2015-11-23	371
2015-11-24	338
2015-11-25	364
2015-11-26	368
2015-11-27	329
2015-11-28	367
2015-11-29	386
2015-11-30	322
2015-12-01	339
2015-12-02	313
2015-12-03	303
2015-12-04	294
2015-12-05	337
2015-12-06	381
2015-12-07	339
2015-12-08	319
2015-12-09	350
2015-12-10	336
2015-12-11	346
2015-12-12	269
2015-12-13	417
2015-12-14	497
2015-12-15	415
2015-12-16	404
2015-12-17	316
2015-12-18	310
2015-12-19	378
2015-12-20	706
2015-12-21	425
2015-12-22	519
2015-12-23	390
2015-12-24	336
2015-12-25	257
2015-12-26	304
2015-12-27	338
2015-12-28	339
2015-12-29	387
2015-12-30	300
2015-12-31	343
2016-01-01	286
2016-01-02	282
2016-01-03	322
2016-01-04	284
2016-01-05	342
2016-01-06	296
2016-01-07	324
2016-01-08	298
2016-01-09	307
2016-01-10	294
2016-01-11	350
2016-01-12	282
2016-01-13	359
2016-01-14	323
2016-01-15	306
2016-01-16	264
2016-01-17	342
2016-01-18	535
2016-01-19	320
2016-01-20	272
2016-01-21	338
2016-01-22	269
