date	freq
2015-06-01	23
2015-06-02	25
2015-06-03	18
2015-06-04	25
2015-06-05	13
2015-06-06	28
2015-06-07	18
2015-06-08	24
2015-06-09	22
2015-06-10	19
2015-06-11	22
2015-06-12	36
2015-06-13	18
2015-06-14	18
2015-06-15	32
2015-06-16	30
2015-06-17	26
2015-06-18	26
2015-06-19	27
2015-06-20	38
2015-06-21	22
2015-06-22	20
2015-06-23	38
2015-06-24	29
2015-06-25	20
2015-06-26	23
2015-06-27	20
2015-06-28	29
2015-06-29	26
2015-06-30	27
2015-07-01	21
2015-07-02	18
2015-07-03	16
2015-07-04	24
2015-07-05	27
2015-07-06	22
2015-07-07	17
2015-07-08	29
2015-07-09	23
2015-07-10	19
2015-07-11	16
2015-07-12	19
2015-07-13	33
2015-07-14	19
2015-07-15	32
2015-07-16	23
2015-07-17	16
2015-07-18	26
2015-07-19	15
2015-07-20	28
2015-07-21	18
2015-07-22	29
2015-07-23	31
2015-07-24	23
2015-07-25	21
2015-07-26	22
2015-07-27	22
2015-07-28	28
2015-07-29	24
2015-07-30	22
2015-07-31	35
2015-08-01	15
2015-08-02	20
2015-08-03	23
2015-08-04	35
2015-08-05	25
2015-08-06	19
2015-08-07	22
2015-08-08	17
2015-08-09	22
2015-08-10	19
2015-08-11	29
2015-08-12	18
2015-08-13	12
2015-08-14	27
2015-08-15	20
2015-08-16	18
2015-08-17	25
2015-08-18	24
2015-08-19	19
2015-08-20	31
2015-08-21	23
2015-08-22	21
2015-08-23	26
2015-08-24	21
2015-08-25	28
2015-08-26	18
2015-08-27	23
2015-08-28	27
2015-08-29	25
2015-08-30	32
2015-08-31	27
2015-09-01	34
2015-09-02	27
2015-09-03	27
2015-09-04	28
2015-09-05	16
2015-09-06	21
2015-09-07	33
2015-09-08	27
2015-09-09	27
2015-09-10	21
2015-09-11	24
2015-09-12	24
2015-09-13	22
2015-09-14	33
2015-09-15	24
2015-09-16	29
2015-09-17	29
2015-09-18	17
2015-09-19	23
2015-09-20	24
2015-09-21	17
2015-09-22	16
2015-09-23	21
2015-09-24	18
2015-09-25	41
2015-09-26	25
2015-09-27	22
2015-09-28	23
2015-09-29	28
2015-09-30	16
2015-10-01	21
2015-10-02	24
2015-10-03	29
2015-10-04	20
2015-10-05	27
2015-10-06	37
2015-10-07	17
2015-10-08	17
2015-10-09	20
2015-10-10	30
2015-10-11	34
2015-10-12	25
2015-10-13	26
2015-10-14	35
2015-10-15	28
2015-10-16	16
2015-10-17	29
2015-10-18	29
2015-10-19	28
2015-10-20	25
2015-10-21	39
2015-10-22	37
2015-10-23	27
2015-10-24	23
2015-10-25	23
2015-10-26	31
2015-10-27	47
2015-10-28	35
2015-10-29	37
2015-10-30	40
2015-10-31	26
2015-11-01	37
2015-11-02	37
2015-11-03	32
2015-11-04	43
2015-11-05	29
2015-11-06	37
2015-11-07	31
2015-11-08	34
2015-11-09	35
2015-11-10	34
2015-11-11	41
2015-11-12	27
2015-11-13	40
2015-11-14	35
2015-11-15	31
2015-11-16	35
2015-11-17	47
2015-11-18	33
2015-11-19	28
2015-11-20	32
2015-11-21	28
2015-11-22	30
2015-11-23	35
2015-11-24	22
2015-11-25	41
2015-11-26	41
2015-11-27	26
2015-11-28	36
2015-11-29	33
2015-11-30	40
2015-12-01	34
2015-12-02	35
2015-12-03	47
2015-12-04	44
2015-12-05	42
2015-12-06	58
2015-12-07	54
2015-12-08	46
2015-12-09	27
2015-12-10	28
2015-12-11	25
2015-12-12	33
2015-12-13	39
2015-12-14	43
2015-12-15	35
2015-12-16	20
2015-12-17	26
2015-12-18	17
2015-12-19	26
2015-12-20	30
2015-12-21	36
2015-12-22	28
2015-12-23	30
2015-12-24	24
2015-12-25	27
2015-12-26	31
2015-12-27	18
2015-12-28	25
2015-12-29	26
2015-12-30	18
2015-12-31	28
2016-01-01	20
2016-01-02	22
2016-01-03	23
2016-01-04	21
2016-01-05	23
2016-01-06	23
2016-01-07	31
2016-01-08	28
2016-01-09	30
2016-01-10	41
2016-01-11	31
2016-01-12	33
2016-01-13	27
2016-01-14	27
2016-01-15	22
2016-01-16	33
2016-01-17	32
2016-01-18	28
2016-01-19	31
2016-01-20	30
2016-01-21	28
2016-01-22	27
2016-01-23	45
2016-01-24	34
2016-01-25	30
2016-01-26	38
2016-01-27	27
2016-01-28	38
2016-01-29	32
2016-01-30	23
2016-01-31	52
2016-02-01	31
2016-02-02	36
2016-02-03	14
2016-02-04	32
2016-02-05	26
2016-02-06	27
2016-02-07	29
2016-02-08	31
2016-02-09	39
2016-02-10	22
2016-02-11	53
2016-02-12	35
2016-02-13	38
2016-02-14	35
2016-02-15	30
2016-02-16	32
2016-02-17	20
2016-02-18	25
2016-02-19	23
2016-02-20	23
2016-02-21	32
2016-02-22	34
2016-02-23	33
2016-02-24	34
2016-02-25	33
2016-02-26	34
2016-02-27	30
2016-02-28	24
2016-02-29	44
2016-03-01	35
2016-03-02	31
2016-03-03	35
2016-03-04	35
2016-03-05	25
2016-03-06	22
2016-03-07	24
2016-03-08	28
2016-03-09	21
2016-03-10	28
2016-03-11	22
2016-03-12	27
2016-03-13	27
2016-03-14	28
2016-03-15	32
2016-03-16	20
2016-03-17	28
2016-03-18	29
2016-03-19	12
2016-03-20	26
2016-03-21	21
2016-03-22	27
2016-03-23	27
2016-03-24	20
2016-03-25	27
2016-03-26	23
2016-03-27	27
2016-03-28	26
2016-03-29	27
2016-03-30	23
2016-03-31	25
2016-04-01	16
2016-04-02	36
2016-04-03	17
2016-04-04	28
2016-04-05	22
2016-04-06	22
2016-04-07	36
2016-04-08	17
2016-04-09	16
2016-04-10	29
2016-04-11	26
2016-04-12	37
2016-04-13	24
2016-04-14	29
2016-04-15	26
2016-04-16	26
2016-04-17	31
2016-04-18	36
2016-04-19	18
2016-04-20	31
2016-04-21	26
2016-04-22	38
2016-04-23	28
2016-04-24	30
2016-04-25	48
2016-04-26	33
2016-04-27	35
2016-04-28	23
2016-04-29	21
2016-04-30	24
2016-05-01	18
2016-05-02	34
2016-05-03	31
2016-05-04	15
2016-05-05	19
2016-05-06	23
2016-05-07	21
2016-05-08	17
2016-05-09	25
2016-05-10	18
2016-05-11	21
2016-05-12	26
2016-05-13	21
2016-05-14	21
2016-05-15	17
2016-05-16	23
2016-05-17	25
2016-05-18	19
2016-05-19	36
2016-05-20	29
2016-05-21	23
2016-05-22	28
2016-05-23	26
2016-05-24	20
2016-05-25	36
2016-05-26	18
2016-05-27	44
2016-05-28	46
2016-05-29	24
2016-05-30	32
2016-05-31	26
