date	freq
2015-06-01	46
2015-06-02	66
2015-06-03	57
2015-06-04	47
2015-06-05	56
2015-06-06	55
2015-06-07	50
2015-06-08	68
2015-06-09	63
2015-06-10	72
2015-06-11	58
2015-06-12	50
2015-06-13	42
2015-06-14	77
2015-06-15	49
2015-06-16	64
2015-06-17	75
2015-06-18	75
2015-06-19	66
2015-06-20	56
2015-06-21	50
2015-06-22	71
2015-06-23	57
2015-06-24	55
2015-06-25	53
2015-06-26	60
2015-06-27	42
2015-06-28	53
2015-06-29	54
2015-06-30	59
2015-07-01	64
2015-07-02	72
2015-07-03	73
2015-07-04	46
2015-07-05	46
2015-07-06	54
2015-07-07	46
2015-07-08	60
2015-07-09	50
2015-07-10	46
2015-07-11	53
2015-07-12	69
2015-07-13	63
2015-07-14	78
2015-07-15	51
2015-07-16	65
2015-07-17	57
2015-07-18	60
2015-07-19	53
2015-07-20	96
2015-07-21	42
2015-07-22	46
2015-07-23	54
2015-07-24	62
2015-07-25	52
2015-07-26	52
2015-07-27	50
2015-07-28	73
2015-07-29	46
2015-07-30	72
2015-07-31	43
2015-08-01	45
2015-08-02	38
2015-08-03	45
2015-08-04	47
2015-08-05	48
2015-08-06	50
2015-08-07	51
2015-08-08	61
2015-08-09	55
2015-08-10	44
2015-08-11	49
2015-08-12	49
2015-08-13	44
2015-08-14	33
2015-08-15	54
2015-08-16	58
2015-08-17	51
2015-08-18	62
2015-08-19	51
2015-08-20	49
2015-08-21	59
2015-08-22	60
2015-08-23	56
2015-08-24	53
2015-08-25	66
2015-08-26	56
2015-08-27	69
2015-08-28	51
2015-08-29	42
2015-08-30	54
2015-08-31	62
2015-09-01	51
2015-09-02	65
2015-09-03	61
2015-09-04	65
2015-09-05	46
2015-09-06	53
2015-09-07	58
2015-09-08	58
2015-09-09	47
2015-09-10	55
2015-09-11	60
2015-09-12	59
2015-09-13	60
2015-09-14	48
2015-09-15	65
2015-09-16	50
2015-09-17	41
2015-09-18	53
2015-09-19	64
2015-09-20	47
2015-09-21	53
2015-09-22	45
2015-09-23	50
2015-09-24	57
2015-09-25	72
2015-09-26	63
2015-09-27	51
2015-09-28	68
2015-09-29	49
2015-09-30	47
2015-10-01	56
2015-10-02	66
2015-10-03	61
2015-10-04	57
2015-10-05	61
2015-10-06	54
2015-10-07	72
2015-10-08	72
2015-10-09	62
2015-10-10	59
2015-10-11	56
2015-10-12	60
2015-10-13	57
2015-10-14	62
