date	freq
2015-06-01	3003
2015-06-02	3173
2015-06-03	3149
2015-06-04	3068
2015-06-05	2903
2015-06-06	2896
2015-06-07	2973
2015-06-08	3211
2015-06-09	3177
2015-06-10	3116
2015-06-11	3157
2015-06-12	2841
2015-06-13	2944
2015-06-14	3055
2015-06-15	3222
2015-06-16	3046
2015-06-17	3170
2015-06-18	3044
2015-06-19	2992
2015-06-20	2814
2015-06-21	3053
2015-06-22	3018
2015-06-23	3030
2015-06-24	2970
2015-06-25	3050
2015-06-26	3049
2015-06-27	2863
2015-06-28	2978
2015-06-29	3243
2015-06-30	3019
2015-07-01	3129
2015-07-02	3357
2015-07-03	3381
2015-07-04	2925
2015-07-05	3032
2015-07-06	2999
2015-07-07	2977
2015-07-08	3082
2015-07-09	2905
2015-07-10	2886
2015-07-11	2822
2015-07-12	2913
2015-07-13	2880
2015-07-14	3005
2015-07-15	2810
2015-07-16	2881
2015-07-17	2809
2015-07-18	2672
2015-07-19	2610
2015-07-20	2880
2015-07-21	2848
2015-07-22	2832
2015-07-23	2899
2015-07-24	2775
2015-07-25	2645
2015-07-26	2819
2015-07-27	2787
2015-07-28	2899
2015-07-29	2878
2015-07-30	2815
2015-07-31	2637
2015-08-01	2577
2015-08-02	2630
2015-08-03	2716
2015-08-04	2768
2015-08-05	2743
2015-08-06	2583
2015-08-07	2681
2015-08-08	2629
2015-08-09	2668
2015-08-10	2708
2015-08-11	2660
2015-08-12	2541
2015-08-13	2621
2015-08-14	2588
2015-08-15	2491
2015-08-16	2764
2015-08-17	2815
2015-08-18	2781
2015-08-19	2825
2015-08-20	2821
2015-08-21	2836
2015-08-22	2610
2015-08-23	2853
2015-08-24	2847
2015-08-25	2932
2015-08-26	2956
2015-08-27	2923
2015-08-28	2907
2015-08-29	2837
2015-08-30	2932
2015-08-31	3082
2015-09-01	3044
2015-09-02	3149
2015-09-03	3026
2015-09-04	3063
2015-09-05	3086
2015-09-06	3172
2015-09-07	3242
2015-09-08	3091
2015-09-09	3152
2015-09-10	2836
2015-09-11	2769
2015-09-12	2819
2015-09-13	3179
2015-09-14	3040
2015-09-15	3077
2015-09-16	3216
2015-09-17	3025
2015-09-18	2947
2015-09-19	2865
2015-09-20	2862
2015-09-21	3046
2015-09-22	3108
2015-09-23	3323
2015-09-24	3233
2015-09-25	3321
2015-09-26	3341
2015-09-27	3506
2015-09-28	3221
2015-09-29	3055
2015-09-30	3120
2015-10-01	3151
2015-10-02	2873
2015-10-03	2909
2015-10-04	3054
2015-10-05	3064
2015-10-06	3044
2015-10-07	3050
2015-10-08	3015
2015-10-09	2872
2015-10-10	2767
2015-10-11	2946
2015-10-12	3183
2015-10-13	3023
2015-10-14	2935
2015-10-15	2958
2015-10-16	2971
2015-10-17	2991
2015-10-18	2942
2015-10-19	3111
2015-10-20	2962
2015-10-21	3059
2015-10-22	2990
2015-10-23	2721
2015-10-24	2789
2015-10-25	2994
2015-10-26	2956
2015-10-27	3014
2015-10-28	3140
2015-10-29	3009
2015-10-30	2860
2015-10-31	2794
2015-11-01	2841
2015-11-02	2953
2015-11-03	3030
2015-11-04	2910
2015-11-05	3033
2015-11-06	2966
2015-11-07	3063
2015-11-08	3256
2015-11-09	3260
2015-11-10	3072
2015-11-11	3084
2015-11-12	2911
2015-11-13	2824
2015-11-14	2814
2015-11-15	2851
2015-11-16	2965
2015-11-17	3044
2015-11-18	3072
2015-11-19	2900
2015-11-20	2774
2015-11-21	2703
2015-11-22	2712
2015-11-23	3084
2015-11-24	2971
2015-11-25	2793
2015-11-26	2855
2015-11-27	2648
2015-11-28	2510
2015-11-29	2826
2015-11-30	2776
2015-12-01	2766
2015-12-02	2945
2015-12-03	3076
2015-12-04	2753
2015-12-05	2543
2015-12-06	2740
2015-12-07	2796
2015-12-08	2700
2015-12-09	2712
2015-12-10	2623
2015-12-11	2635
2015-12-12	2524
2015-12-13	2776
2015-12-14	2651
2015-12-15	2562
2015-12-16	2526
2015-12-17	2590
2015-12-18	2454
2015-12-19	2349
2015-12-20	2565
2015-12-21	2523
2015-12-22	2456
2015-12-23	2635
2015-12-24	2157
2015-12-25	2212
2015-12-26	2370
2015-12-27	2604
2015-12-28	2383
2015-12-29	2478
2015-12-30	2677
2015-12-31	2597
2016-01-01	2197
2016-01-02	2406
2016-01-03	2529
2016-01-04	2601
2016-01-05	2539
2016-01-06	2803
2016-01-07	2799
2016-01-08	2843
2016-01-09	2629
2016-01-10	2708
2016-01-11	3068
2016-01-12	2716
2016-01-13	2758
2016-01-14	2690
2016-01-15	2645
2016-01-16	2701
2016-01-17	2794
2016-01-18	2624
2016-01-19	2692
2016-01-20	2687
2016-01-21	2763
2016-01-22	2662
2016-01-23	2660
2016-01-24	2831
2016-01-25	2706
2016-01-26	2707
2016-01-27	2737
2016-01-28	2582
2016-01-29	2539
2016-01-30	2648
2016-01-31	2745
2016-02-01	2730
2016-02-02	2639
2016-02-03	2673
2016-02-04	2737
2016-02-05	2637
2016-02-06	2625
2016-02-07	2884
2016-02-08	2759
2016-02-09	2852
2016-02-10	2491
2016-02-11	2599
2016-02-12	2559
2016-02-13	2628
2016-02-14	2773
2016-02-15	2638
2016-02-16	2566
2016-02-17	2641
2016-02-18	2674
2016-02-19	2420
2016-02-20	2564
2016-02-21	2742
2016-02-22	2629
2016-02-23	2593
2016-02-24	2562
2016-02-25	2610
2016-02-26	2569
2016-02-27	2438
2016-02-28	2611
2016-02-29	2542
2016-03-01	2516
2016-03-02	2466
2016-03-03	2461
2016-03-04	2412
2016-03-05	2334
2016-03-06	2563
2016-03-07	2427
2016-03-08	2423
2016-03-09	2491
2016-03-10	2345
2016-03-11	2175
2016-03-12	2310
2016-03-13	2393
2016-03-14	2367
2016-03-15	2242
2016-03-16	2359
2016-03-17	2292
2016-03-18	2256
2016-03-19	2260
2016-03-20	2368
2016-03-21	2384
2016-03-22	2411
2016-03-23	2384
2016-03-24	2286
2016-03-25	2260
2016-03-26	2184
2016-03-27	2504
2016-03-28	2428
2016-03-29	2476
2016-03-30	2458
2016-03-31	2544
2016-04-01	2334
2016-04-02	2463
2016-04-03	2745
2016-04-04	2684
2016-04-05	2758
2016-04-06	2547
2016-04-07	2623
2016-04-08	2483
2016-04-09	2487
2016-04-10	2770
2016-04-11	2784
2016-04-12	3016
2016-04-13	2764
2016-04-14	2746
2016-04-15	2377
2016-04-16	2287
2016-04-17	2479
2016-04-18	2476
2016-04-19	2532
2016-04-20	2590
2016-04-21	2598
2016-04-22	2461
2016-04-23	2612
2016-04-24	2809
2016-04-25	2734
2016-04-26	2611
2016-04-27	2690
2016-04-28	2613
2016-04-29	2526
2016-04-30	2629
2016-05-01	2624
2016-05-02	2709
2016-05-03	2511
2016-05-04	2579
2016-05-05	2760
2016-05-06	2965
2016-05-07	2787
2016-05-08	2845
2016-05-09	2743
2016-05-10	2797
2016-05-11	2686
2016-05-12	2751
2016-05-13	2545
2016-05-14	2546
2016-05-15	2596
2016-05-16	2674
2016-05-17	2662
2016-05-18	2485
2016-05-19	2636
2016-05-20	2573
2016-05-21	2469
2016-05-22	2522
2016-05-23	2543
2016-05-24	2608
2016-05-25	2623
2016-05-26	2613
2016-05-27	2559
2016-05-28	2450
2016-05-29	2559
2016-05-30	2707
2016-05-31	2580
