date	freq
2015-06-01	176
2015-06-02	177
2015-06-03	191
2015-06-04	192
2015-06-05	175
2015-06-06	157
2015-06-07	183
2015-06-08	187
2015-06-09	185
2015-06-10	197
2015-06-11	162
2015-06-12	173
2015-06-13	151
2015-06-14	192
2015-06-15	206
2015-06-16	185
2015-06-17	147
2015-06-18	154
2015-06-19	159
2015-06-20	159
2015-06-21	144
2015-06-22	162
2015-06-23	161
2015-06-24	149
2015-06-25	156
2015-06-26	143
2015-06-27	141
2015-06-28	159
2015-06-29	158
2015-06-30	138
2015-07-01	145
2015-07-02	137
2015-07-03	162
2015-07-04	153
2015-07-05	168
2015-07-06	216
2015-07-07	146
2015-07-08	156
2015-07-09	169
2015-07-10	168
2015-07-11	129
2015-07-12	138
2015-07-13	142
2015-07-14	143
2015-07-15	123
2015-07-16	136
2015-07-17	176
2015-07-18	117
2015-07-19	137
2015-07-20	124
2015-07-21	155
2015-07-22	184
2015-07-23	172
2015-07-24	160
2015-07-25	116
2015-07-26	142
2015-07-27	138
2015-07-28	151
2015-07-29	157
2015-07-30	148
2015-07-31	130
2015-08-01	140
2015-08-02	143
2015-08-03	168
2015-08-04	151
2015-08-05	152
2015-08-06	166
2015-08-07	135
2015-08-08	143
2015-08-09	129
2015-08-10	155
2015-08-11	166
2015-08-12	142
2015-08-13	127
2015-08-14	125
2015-08-15	111
2015-08-16	132
2015-08-17	138
2015-08-18	143
2015-08-19	145
2015-08-20	156
2015-08-21	130
2015-08-22	120
2015-08-23	148
2015-08-24	160
2015-08-25	143
2015-08-26	170
2015-08-27	172
2015-08-28	163
2015-08-29	126
2015-08-30	168
2015-08-31	137
2015-09-01	175
2015-09-02	173
2015-09-03	160
2015-09-04	185
2015-09-05	172
2015-09-06	160
2015-09-07	190
2015-09-08	197
2015-09-09	163
2015-09-10	146
2015-09-11	140
2015-09-12	167
2015-09-13	150
2015-09-14	169
2015-09-15	164
2015-09-16	176
2015-09-17	205
2015-09-18	185
2015-09-19	199
2015-09-20	180
2015-09-21	191
2015-09-22	189
2015-09-23	200
2015-09-24	244
2015-09-25	197
2015-09-26	195
2015-09-27	195
2015-09-28	191
2015-09-29	208
2015-09-30	173
2015-10-01	200
2015-10-02	177
2015-10-03	156
2015-10-04	195
2015-10-05	201
2015-10-06	211
2015-10-07	192
2015-10-08	165
2015-10-09	183
2015-10-10	156
2015-10-11	156
2015-10-12	182
2015-10-13	168
2015-10-14	173
2015-10-15	189
2015-10-16	160
2015-10-17	144
2015-10-18	171
2015-10-19	170
2015-10-20	176
2015-10-21	181
2015-10-22	192
2015-10-23	153
2015-10-24	173
2015-10-25	169
2015-10-26	177
2015-10-27	186
2015-10-28	166
2015-10-29	165
2015-10-30	167
2015-10-31	142
2015-11-01	150
2015-11-02	155
2015-11-03	165
2015-11-04	146
2015-11-05	176
2015-11-06	149
2015-11-07	140
2015-11-08	176
2015-11-09	172
2015-11-10	178
2015-11-11	166
2015-11-12	194
2015-11-13	162
2015-11-14	184
2015-11-15	160
2015-11-16	165
2015-11-17	211
2015-11-18	180
2015-11-19	141
2015-11-20	162
2015-11-21	159
2015-11-22	153
2015-11-23	155
2015-11-24	184
2015-11-25	224
2015-11-26	198
2015-11-27	166
2015-11-28	160
2015-11-29	165
2015-11-30	206
2015-12-01	204
2015-12-02	174
2015-12-03	179
2015-12-04	185
2015-12-05	182
2015-12-06	184
2015-12-07	200
2015-12-08	196
2015-12-09	180
2015-12-10	180
2015-12-11	221
2015-12-12	219
2015-12-13	227
2015-12-14	226
2015-12-15	186
2015-12-16	210
2015-12-17	203
2015-12-18	216
2015-12-19	209
2015-12-20	251
2015-12-21	282
2015-12-22	284
2015-12-23	236
2015-12-24	221
2015-12-25	198
2015-12-26	265
2015-12-27	280
2015-12-28	327
2015-12-29	362
2015-12-30	346
2015-12-31	296
2016-01-01	110
2016-01-02	137
2016-01-03	147
2016-01-04	162
2016-01-05	186
2016-01-06	187
2016-01-07	202
2016-01-08	176
2016-01-09	184
2016-01-10	170
2016-01-11	189
2016-01-12	184
2016-01-13	168
2016-01-14	163
2016-01-15	217
2016-01-16	163
2016-01-17	149
2016-01-18	183
2016-01-19	174
2016-01-20	220
2016-01-21	204
2016-01-22	191
2016-01-23	159
2016-01-24	150
2016-01-25	117
2016-01-26	142
2016-01-27	150
2016-01-28	164
2016-01-29	148
2016-01-30	145
2016-01-31	142
2016-02-01	191
2016-02-02	196
2016-02-03	160
2016-02-04	159
2016-02-05	161
2016-02-06	162
2016-02-07	170
2016-02-08	148
2016-02-09	191
2016-02-10	193
2016-02-11	182
2016-02-12	184
2016-02-13	167
2016-02-14	156
2016-02-15	179
2016-02-16	156
2016-02-17	168
2016-02-18	166
2016-02-19	149
2016-02-20	143
2016-02-21	166
2016-02-22	181
2016-02-23	172
2016-02-24	156
2016-02-25	176
2016-02-26	144
2016-02-27	152
2016-02-28	148
2016-02-29	164
2016-03-01	157
2016-03-02	173
2016-03-03	151
2016-03-04	129
2016-03-05	139
2016-03-06	129
2016-03-07	182
2016-03-08	219
2016-03-09	170
2016-03-10	158
2016-03-11	121
2016-03-12	128
2016-03-13	144
2016-03-14	135
2016-03-15	131
2016-03-16	148
2016-03-17	120
2016-03-18	109
2016-03-19	154
2016-03-20	161
2016-03-21	132
2016-03-22	160
2016-03-23	181
2016-03-24	125
2016-03-25	129
2016-03-26	143
2016-03-27	170
2016-03-28	171
2016-03-29	159
2016-03-30	175
2016-03-31	189
2016-04-01	164
2016-04-02	162
2016-04-03	152
2016-04-04	172
2016-04-05	183
2016-04-06	193
2016-04-07	494
2016-04-08	415
2016-04-09	576
2016-04-10	211
2016-04-11	182
2016-04-12	200
2016-04-13	185
2016-04-14	258
2016-04-15	371
2016-04-16	326
2016-04-17	258
2016-04-18	197
2016-04-19	188
2016-04-20	165
2016-04-21	183
2016-04-22	185
2016-04-23	155
2016-04-24	157
2016-04-25	158
2016-04-26	215
2016-04-27	199
2016-04-28	170
2016-04-29	183
2016-04-30	185
2016-05-01	188
2016-05-02	160
2016-05-03	188
