date	freq
2015-06-01	110
2015-06-02	95
2015-06-03	80
2015-06-04	88
2015-06-05	89
2015-06-06	66
2015-06-07	116
2015-06-08	58
2015-06-09	87
2015-06-10	79
2015-06-11	92
2015-06-12	91
2015-06-13	99
2015-06-14	91
2015-06-15	86
2015-06-16	82
2015-06-17	105
2015-06-18	115
2015-06-19	74
2015-06-20	86
2015-06-21	73
2015-06-22	91
2015-06-23	78
2015-06-24	82
2015-06-25	78
2015-06-26	96
2015-06-27	80
2015-06-28	91
2015-06-29	64
2015-06-30	61
2015-07-01	68
2015-07-02	70
2015-07-03	67
2015-07-04	75
2015-07-05	76
2015-07-06	67
2015-07-07	88
2015-07-08	62
2015-07-09	75
2015-07-10	64
2015-07-11	53
2015-07-12	81
2015-07-13	83
2015-07-14	77
2015-07-15	80
2015-07-16	66
2015-07-17	62
2015-07-18	60
2015-07-19	164
2015-07-20	134
2015-07-21	82
2015-07-22	104
2015-07-23	100
2015-07-24	94
2015-07-25	76
2015-07-26	65
2015-07-27	65
2015-07-28	75
2015-07-29	79
2015-07-30	65
2015-07-31	156
2015-08-01	84
2015-08-02	81
2015-08-03	67
2015-08-04	74
2015-08-05	77
2015-08-06	96
2015-08-07	68
2015-08-08	58
2015-08-09	71
2015-08-10	72
2015-08-11	58
2015-08-12	61
2015-08-13	66
2015-08-14	79
2015-08-15	68
2015-08-16	87
2015-08-17	63
2015-08-18	71
2015-08-19	58
2015-08-20	80
2015-08-21	108
2015-08-22	75
2015-08-23	84
2015-08-24	75
2015-08-25	76
2015-08-26	60
2015-08-27	64
2015-08-28	88
2015-08-29	81
2015-08-30	82
2015-08-31	66
2015-09-01	54
2015-09-02	79
2015-09-03	67
2015-09-04	72
2015-09-05	76
2015-09-06	75
2015-09-07	71
2015-09-08	67
2015-09-09	76
2015-09-10	69
2015-09-11	64
2015-09-12	65
2015-09-13	66
2015-09-14	100
2015-09-15	58
2015-09-16	59
2015-09-17	68
2015-09-18	129
2015-09-19	53
2015-09-20	76
2015-09-21	56
2015-09-22	98
2015-09-23	121
2015-09-24	81
2015-09-25	63
2015-09-26	68
2015-09-27	77
2015-09-28	79
2015-09-29	72
2015-09-30	69
2015-10-01	67
2015-10-02	73
2015-10-03	58
2015-10-04	70
2015-10-05	66
2015-10-06	61
2015-10-07	71
2015-10-08	66
2015-10-09	105
2015-10-10	66
2015-10-11	76
2015-10-12	61
2015-10-13	94
2015-10-14	67
2015-10-15	88
2015-10-16	71
2015-10-17	57
2015-10-18	67
2015-10-19	89
2015-10-20	91
2015-10-21	56
2015-10-22	70
2015-10-23	79
2015-10-24	60
2015-10-25	74
2015-10-26	93
2015-10-27	66
2015-10-28	61
2015-10-29	80
2015-10-30	126
2015-10-31	68
2015-11-01	57
2015-11-02	56
2015-11-03	66
2015-11-04	69
2015-11-05	101
2015-11-06	87
2015-11-07	93
2015-11-08	84
2015-11-09	71
2015-11-10	85
2015-11-11	88
2015-11-12	79
2015-11-13	110
2015-11-14	95
2015-11-15	67
2015-11-16	75
2015-11-17	66
2015-11-18	57
2015-11-19	61
2015-11-20	57
2015-11-21	61
2015-11-22	66
2015-11-23	82
2015-11-24	75
2015-11-25	67
2015-11-26	70
2015-11-27	58
2015-11-28	64
2015-11-29	74
2015-11-30	61
2015-12-01	68
2015-12-02	91
2015-12-03	57
2015-12-04	61
2015-12-05	70
2015-12-06	92
2015-12-07	71
2015-12-08	78
2015-12-09	74
2015-12-10	81
2015-12-11	90
2015-12-12	57
2015-12-13	63
2015-12-14	67
2015-12-15	66
2015-12-16	82
2015-12-17	58
2015-12-18	64
2015-12-19	111
2015-12-20	112
2015-12-21	89
2015-12-22	79
