date	freq
2015-06-01	41
2015-06-02	34
2015-06-03	37
2015-06-04	41
2015-06-05	42
2015-06-06	30
2015-06-07	56
2015-06-08	42
2015-06-09	22
2015-06-10	58
2015-06-11	43
2015-06-12	42
2015-06-13	61
2015-06-14	32
2015-06-15	29
2015-06-16	45
2015-06-17	32
2015-06-18	53
2015-06-19	59
2015-06-20	44
2015-06-21	52
2015-06-22	53
2015-06-23	31
2015-06-24	33
2015-06-25	29
2015-06-26	41
2015-06-27	44
2015-06-28	78
2015-06-29	57
2015-06-30	37
2015-07-01	41
2015-07-02	38
2015-07-03	39
2015-07-04	67
2015-07-05	41
2015-07-06	49
2015-07-07	48
2015-07-08	22
2015-07-09	35
2015-07-10	44
2015-07-11	48
2015-07-12	55
2015-07-13	49
2015-07-14	50
2015-07-15	45
2015-07-16	38
2015-07-17	37
2015-07-18	41
2015-07-19	39
2015-07-20	44
2015-07-21	49
2015-07-22	42
2015-07-23	46
2015-07-24	50
2015-07-25	58
2015-07-26	46
2015-07-27	64
2015-07-28	62
2015-07-29	47
2015-07-30	50
2015-07-31	66
2015-08-01	60
2015-08-02	52
2015-08-03	60
2015-08-04	160
2015-08-05	48
2015-08-06	50
2015-08-07	58
2015-08-08	42
2015-08-09	38
2015-08-10	48
2015-08-11	54
2015-08-12	44
2015-08-13	37
2015-08-14	34
2015-08-15	42
2015-08-16	50
2015-08-17	36
2015-08-18	54
2015-08-19	43
2015-08-20	43
2015-08-21	46
2015-08-22	54
2015-08-23	53
2015-08-24	44
2015-08-25	74
2015-08-26	41
2015-08-27	50
2015-08-28	41
2015-08-29	56
2015-08-30	49
2015-08-31	54
2015-09-01	46
2015-09-02	38
2015-09-03	42
2015-09-04	76
2015-09-05	69
2015-09-06	42
2015-09-07	51
2015-09-08	40
2015-09-09	34
2015-09-10	44
2015-09-11	28
2015-09-12	49
2015-09-13	60
2015-09-14	42
2015-09-15	33
2015-09-16	40
2015-09-17	43
2015-09-18	37
2015-09-19	54
2015-09-20	47
2015-09-21	40
2015-09-22	75
2015-09-23	50
2015-09-24	38
2015-09-25	29
2015-09-26	50
2015-09-27	47
2015-09-28	49
2015-09-29	32
2015-09-30	41
2015-10-01	38
2015-10-02	35
2015-10-03	56
2015-10-04	39
2015-10-05	27
2015-10-06	25
2015-10-07	37
2015-10-08	41
2015-10-09	28
2015-10-10	28
2015-10-11	46
2015-10-12	48
2015-10-13	48
2015-10-14	24
2015-10-15	33
2015-10-16	46
2015-10-17	51
2015-10-18	47
2015-10-19	41
2015-10-20	42
2015-10-21	36
2015-10-22	30
2015-10-23	40
2015-10-24	41
2015-10-25	49
2015-10-26	38
