date	freq
2015-06-01	55
2015-06-02	31
2015-06-03	48
2015-06-04	51
2015-06-05	73
2015-06-06	54
2015-06-07	55
2015-06-08	66
2015-06-09	32
2015-06-10	31
2015-06-11	52
2015-06-12	63
2015-06-13	48
2015-06-14	48
2015-06-15	47
2015-06-16	64
2015-06-17	47
2015-06-18	61
2015-06-19	56
2015-06-20	49
2015-06-21	42
2015-06-22	48
2015-06-23	51
2015-06-24	59
2015-06-25	75
2015-06-26	42
2015-06-27	53
2015-06-28	70
2015-06-29	49
2015-06-30	53
2015-07-01	59
2015-07-02	52
2015-07-03	56
2015-07-04	55
2015-07-05	69
2015-07-06	69
2015-07-07	60
2015-07-08	53
2015-07-09	37
2015-07-10	49
2015-07-11	50
2015-07-12	71
2015-07-13	72
2015-07-14	57
2015-07-15	71
2015-07-16	76
2015-07-17	65
2015-07-18	68
2015-07-19	90
2015-07-20	69
2015-07-21	56
2015-07-22	41
2015-07-23	62
2015-07-24	60
2015-07-25	48
2015-07-26	51
2015-07-27	75
2015-07-28	74
2015-07-29	62
2015-07-30	74
2015-07-31	52
2015-08-01	50
2015-08-02	76
2015-08-03	67
2015-08-04	57
2015-08-05	63
2015-08-06	55
2015-08-07	54
2015-08-08	57
2015-08-09	77
2015-08-10	98
2015-08-11	84
2015-08-12	64
2015-08-13	88
2015-08-14	55
2015-08-15	58
2015-08-16	55
2015-08-17	44
2015-08-18	70
2015-08-19	48
2015-08-20	59
2015-08-21	57
2015-08-22	54
2015-08-23	64
2015-08-24	62
2015-08-25	46
2015-08-26	74
2015-08-27	55
2015-08-28	57
2015-08-29	60
2015-08-30	60
2015-08-31	51
2015-09-01	82
2015-09-02	55
2015-09-03	48
2015-09-04	54
2015-09-05	42
2015-09-06	56
2015-09-07	71
2015-09-08	54
2015-09-09	38
2015-09-10	61
2015-09-11	61
2015-09-12	44
2015-09-13	54
2015-09-14	61
2015-09-15	51
2015-09-16	73
2015-09-17	51
2015-09-18	34
2015-09-19	69
2015-09-20	45
2015-09-21	47
2015-09-22	51
2015-09-23	49
2015-09-24	55
2015-09-25	48
2015-09-26	49
2015-09-27	55
2015-09-28	38
2015-09-29	58
2015-09-30	60
2015-10-01	46
2015-10-02	44
2015-10-03	60
2015-10-04	70
2015-10-05	52
2015-10-06	63
2015-10-07	50
2015-10-08	56
2015-10-09	49
2015-10-10	65
2015-10-11	42
2015-10-12	53
2015-10-13	54
2015-10-14	50
2015-10-15	52
2015-10-16	50
2015-10-17	38
2015-10-18	53
2015-10-19	38
2015-10-20	92
2015-10-21	44
2015-10-22	45
2015-10-23	43
2015-10-24	54
2015-10-25	36
2015-10-26	81
2015-10-27	36
2015-10-28	45
2015-10-29	67
2015-10-30	57
2015-10-31	71
2015-11-01	36
2015-11-02	48
2015-11-03	28
2015-11-04	47
2015-11-05	72
2015-11-06	51
2015-11-07	37
2015-11-08	28
2015-11-09	64
2015-11-10	32
2015-11-11	37
2015-11-12	44
2015-11-13	54
2015-11-14	53
2015-11-15	37
2015-11-16	44
2015-11-17	39
2015-11-18	27
2015-11-19	48
2015-11-20	41
2015-11-21	44
2015-11-22	28
2015-11-23	39
2015-11-24	45
2015-11-25	35
2015-11-26	45
2015-11-27	33
2015-11-28	48
2015-11-29	32
2015-11-30	45
2015-12-01	36
2015-12-02	49
2015-12-03	46
2015-12-04	33
2015-12-05	57
2015-12-06	36
2015-12-07	33
2015-12-08	43
2015-12-09	36
2015-12-10	46
2015-12-11	60
2015-12-12	29
2015-12-13	45
2015-12-14	70
2015-12-15	36
2015-12-16	43
2015-12-17	47
2015-12-18	52
2015-12-19	45
2015-12-20	37
2015-12-21	51
2015-12-22	49
2015-12-23	75
2015-12-24	39
2015-12-25	41
2015-12-26	45
2015-12-27	44
2015-12-28	41
2015-12-29	40
2015-12-30	37
2015-12-31	46
2016-01-01	43
2016-01-02	45
2016-01-03	54
2016-01-04	40
2016-01-05	25
2016-01-06	28
2016-01-07	42
2016-01-08	41
2016-01-09	53
2016-01-10	29
2016-01-11	33
2016-01-12	35
2016-01-13	36
2016-01-14	35
2016-01-15	30
2016-01-16	32
2016-01-17	44
2016-01-18	39
2016-01-19	28
2016-01-20	43
2016-01-21	47
2016-01-22	31
2016-01-23	56
2016-01-24	42
2016-01-25	40
2016-01-26	34
2016-01-27	62
2016-01-28	41
2016-01-29	46
2016-01-30	39
2016-01-31	30
2016-02-01	52
2016-02-02	50
2016-02-03	31
2016-02-04	45
2016-02-05	36
2016-02-06	36
2016-02-07	40
2016-02-08	39
2016-02-09	32
2016-02-10	34
2016-02-11	57
2016-02-12	34
2016-02-13	59
2016-02-14	45
2016-02-15	45
2016-02-16	39
2016-02-17	55
2016-02-18	43
2016-02-19	44
2016-02-20	32
2016-02-21	42
2016-02-22	39
2016-02-23	41
2016-02-24	40
2016-02-25	48
2016-02-26	43
2016-02-27	33
2016-02-28	81
2016-02-29	44
2016-03-01	32
2016-03-02	48
2016-03-03	38
2016-03-04	24
2016-03-05	38
2016-03-06	27
2016-03-07	36
2016-03-08	42
2016-03-09	50
2016-03-10	52
2016-03-11	50
2016-03-12	41
2016-03-13	40
2016-03-14	52
2016-03-15	82
2016-03-16	48
2016-03-17	48
2016-03-18	35
2016-03-19	36
2016-03-20	31
2016-03-21	32
2016-03-22	57
2016-03-23	34
2016-03-24	48
2016-03-25	43
2016-03-26	37
2016-03-27	53
2016-03-28	50
2016-03-29	55
2016-03-30	49
2016-03-31	86
2016-04-01	72
2016-04-02	43
2016-04-03	42
2016-04-04	48
2016-04-05	42
2016-04-06	45
2016-04-07	51
2016-04-08	49
2016-04-09	44
2016-04-10	54
2016-04-11	47
2016-04-12	38
2016-04-13	35
2016-04-14	55
2016-04-15	48
2016-04-16	47
2016-04-17	43
2016-04-18	45
2016-04-19	36
2016-04-20	39
2016-04-21	37
2016-04-22	36
2016-04-23	27
2016-04-24	38
2016-04-25	123
2016-04-26	88
2016-04-27	28
2016-04-28	35
2016-04-29	42
2016-04-30	38
2016-05-01	36
2016-05-02	46
2016-05-03	30
2016-05-04	44
2016-05-05	38
2016-05-06	34
2016-05-07	47
2016-05-08	38
2016-05-09	44
2016-05-10	28
2016-05-11	45
2016-05-12	57
2016-05-13	47
2016-05-14	47
2016-05-15	33
2016-05-16	55
2016-05-17	37
2016-05-18	36
2016-05-19	43
2016-05-20	42
2016-05-21	42
2016-05-22	44
2016-05-23	48
2016-05-24	57
2016-05-25	56
2016-05-26	53
2016-05-27	70
2016-05-28	38
2016-05-29	36
2016-05-30	39
2016-05-31	32
