date	freq
2015-06-01	892
2015-06-02	966
2015-06-03	864
2015-06-04	874
2015-06-05	920
2015-06-06	719
2015-06-07	766
2015-06-08	767
2015-06-09	829
2015-06-10	864
2015-06-11	743
2015-06-12	802
2015-06-13	662
2015-06-14	851
2015-06-15	804
2015-06-16	820
2015-06-17	678
2015-06-18	765
2015-06-19	821
2015-06-20	707
2015-06-21	608
2015-06-22	830
2015-06-23	935
2015-06-24	915
2015-06-25	760
2015-06-26	807
2015-06-27	991
2015-06-28	801
2015-06-29	1022
2015-06-30	660
2015-07-01	660
2015-07-02	766
2015-07-03	718
2015-07-04	770
2015-07-05	791
2015-07-06	711
2015-07-07	732
2015-07-08	771
2015-07-09	827
2015-07-10	768
2015-07-11	703
2015-07-12	604
2015-07-13	725
2015-07-14	655
2015-07-15	673
2015-07-16	756
2015-07-17	725
2015-07-18	691
2015-07-19	621
2015-07-20	567
2015-07-21	748
2015-07-22	841
2015-07-23	909
2015-07-24	819
2015-07-25	638
2015-07-26	551
2015-07-27	822
2015-07-28	787
2015-07-29	824
2015-07-30	776
2015-07-31	671
2015-08-01	544
2015-08-02	568
2015-08-03	733
2015-08-04	737
2015-08-05	909
2015-08-06	754
2015-08-07	753
2015-08-08	584
2015-08-09	552
2015-08-10	737
2015-08-11	695
2015-08-12	798
2015-08-13	736
2015-08-14	592
2015-08-15	640
2015-08-16	643
2015-08-17	708
2015-08-18	771
2015-08-19	755
2015-08-20	750
2015-08-21	694
2015-08-22	617
2015-08-23	629
2015-08-24	657
2015-08-25	858
2015-08-26	783
2015-08-27	800
2015-08-28	742
2015-08-29	640
2015-08-30	696
2015-08-31	788
2015-09-01	810
2015-09-02	898
2015-09-03	817
2015-09-04	842
2015-09-05	798
2015-09-06	777
2015-09-07	844
2015-09-08	761
2015-09-09	830
2015-09-10	719
2015-09-11	691
2015-09-12	742
2015-09-13	711
2015-09-14	813
2015-09-15	1070
2015-09-16	818
2015-09-17	754
2015-09-18	863
2015-09-19	685
2015-09-20	696
2015-09-21	712
2015-09-22	764
2015-09-23	913
2015-09-24	785
2015-09-25	834
2015-09-26	1007
2015-09-27	862
2015-09-28	750
2015-09-29	883
2015-09-30	933
2015-10-01	1018
2015-10-02	753
2015-10-03	836
2015-10-04	760
2015-10-05	948
2015-10-06	1004
2015-10-07	931
2015-10-08	808
2015-10-09	842
2015-10-10	657
2015-10-11	847
2015-10-12	760
2015-10-13	996
2015-10-14	774
2015-10-15	999
2015-10-16	998
2015-10-17	864
2015-10-18	829
2015-10-19	851
2015-10-20	1027
2015-10-21	1095
2015-10-22	1265
2015-10-23	849
2015-10-24	803
2015-10-25	827
2015-10-26	1003
2015-10-27	944
2015-10-28	1043
2015-10-29	956
2015-10-30	888
2015-10-31	896
2015-11-01	758
2015-11-02	748
2015-11-03	926
2015-11-04	964
2015-11-05	825
2015-11-06	775
2015-11-07	838
2015-11-08	870
2015-11-09	1077
2015-11-10	896
2015-11-11	896
2015-11-12	798
2015-11-13	770
2015-11-14	684
2015-11-15	768
2015-11-16	746
2015-11-17	882
2015-11-18	872
2015-11-19	958
2015-11-20	779
2015-11-21	808
2015-11-22	848
2015-11-23	925
2015-11-24	764
2015-11-25	764
2015-11-26	864
2015-11-27	874
2015-11-28	679
2015-11-29	659
2015-11-30	789
2015-12-01	802
2015-12-02	852
2015-12-03	833
2015-12-04	779
2015-12-05	785
2015-12-06	673
2015-12-07	777
2015-12-08	834
2015-12-09	807
2015-12-10	729
2015-12-11	840
2015-12-12	831
2015-12-13	770
2015-12-14	679
2015-12-15	757
2015-12-16	712
2015-12-17	742
2015-12-18	805
2015-12-19	652
2015-12-20	630
2015-12-21	712
2015-12-22	752
2015-12-23	675
2015-12-24	559
2015-12-25	652
2015-12-26	659
2015-12-27	563
2015-12-28	591
2015-12-29	630
2015-12-30	628
2015-12-31	621
2016-01-01	478
2016-01-02	551
2016-01-03	594
2016-01-04	675
2016-01-05	754
2016-01-06	884
2016-01-07	980
2016-01-08	906
2016-01-09	813
2016-01-10	727
2016-01-11	941
2016-01-12	929
2016-01-13	1006
2016-01-14	867
2016-01-15	832
2016-01-16	752
2016-01-17	700
2016-01-18	806
2016-01-19	925
2016-01-20	820
2016-01-21	880
2016-01-22	904
2016-01-23	870
2016-01-24	861
2016-01-25	996
2016-01-26	882
2016-01-27	860
2016-01-28	846
2016-01-29	852
2016-01-30	854
2016-01-31	985
2016-02-01	847
2016-02-02	951
2016-02-03	979
2016-02-04	1028
2016-02-05	989
2016-02-06	844
2016-02-07	859
2016-02-08	880
2016-02-09	994
2016-02-10	974
2016-02-11	887
2016-02-12	920
2016-02-13	825
2016-02-14	869
2016-02-15	808
2016-02-16	844
2016-02-17	1003
2016-02-18	1101
2016-02-19	848
2016-02-20	926
2016-02-21	682
2016-02-22	827
2016-02-23	788
2016-02-24	865
2016-02-25	903
2016-02-26	800
2016-02-27	716
2016-02-28	822
2016-02-29	900
2016-03-01	917
2016-03-02	919
2016-03-03	860
2016-03-04	867
2016-03-05	708
2016-03-06	754
2016-03-07	753
2016-03-08	824
2016-03-09	860
2016-03-10	898
2016-03-11	713
2016-03-12	622
2016-03-13	715
2016-03-14	947
2016-03-15	723
2016-03-16	707
2016-03-17	828
2016-03-18	845
2016-03-19	738
2016-03-20	639
2016-03-21	660
2016-03-22	803
2016-03-23	738
2016-03-24	676
2016-03-25	729
2016-03-26	668
2016-03-27	699
2016-03-28	690
2016-03-29	822
2016-03-30	821
2016-03-31	875
2016-04-01	791
2016-04-02	722
2016-04-03	734
2016-04-04	885
2016-04-05	947
2016-04-06	1131
2016-04-07	1534
2016-04-08	1195
2016-04-09	1785
2016-04-10	1019
2016-04-11	818
2016-04-12	917
2016-04-13	937
2016-04-14	961
2016-04-15	1258
2016-04-16	710
2016-04-17	750
2016-04-18	768
2016-04-19	825
2016-04-20	1010
2016-04-21	1280
2016-04-22	939
2016-04-23	724
2016-04-24	859
2016-04-25	1024
2016-04-26	866
2016-04-27	1235
2016-04-28	790
2016-04-29	873
2016-04-30	762
2016-05-01	705
2016-05-02	1066
2016-05-03	931
2016-05-04	740
2016-05-05	747
2016-05-06	781
2016-05-07	917
2016-05-08	1182
2016-05-09	920
2016-05-10	959
2016-05-11	1604
2016-05-12	1073
2016-05-13	1214
2016-05-14	1586
2016-05-15	1577
2016-05-16	1518
2016-05-17	1173
2016-05-18	1766
2016-05-19	1307
2016-05-20	1365
2016-05-21	1090
2016-05-22	830
2016-05-23	776
2016-05-24	1160
2016-05-25	921
2016-05-26	1133
2016-05-27	1018
2016-05-28	704
2016-05-29	860
2016-05-30	1088
2016-05-31	1052
