date	freq
2015-06-01	277
2015-06-02	284
2015-06-03	291
2015-06-04	261
2015-06-05	289
2015-06-06	278
2015-06-07	260
2015-06-08	269
2015-06-09	127
2015-06-10	161
2015-06-11	297
2015-06-12	276
2015-06-13	302
2015-06-14	273
2015-06-15	288
2015-06-16	295
2015-06-17	279
2015-06-18	283
2015-06-19	291
2015-06-20	297
2015-06-21	275
2015-06-22	286
2015-06-23	351
2015-06-24	291
2015-06-25	262
2015-06-26	268
2015-06-27	264
2015-06-28	271
2015-06-29	247
2015-06-30	279
2015-07-01	280
2015-07-02	286
2015-07-03	281
2015-07-04	275
2015-07-05	316
2015-07-06	254
2015-07-07	270
2015-07-08	273
2015-07-09	262
2015-07-10	314
2015-07-11	258
2015-07-12	268
2015-07-13	286
2015-07-14	282
2015-07-15	313
2015-07-16	307
2015-07-17	280
2015-07-18	271
2015-07-19	246
2015-07-20	288
2015-07-21	331
2015-07-22	298
2015-07-23	318
2015-07-24	345
2015-07-25	316
2015-07-26	290
2015-07-27	341
2015-07-28	315
2015-07-29	275
2015-07-30	302
2015-07-31	286
2015-08-01	310
2015-08-02	281
2015-08-03	281
2015-08-04	262
2015-08-05	304
2015-08-06	272
2015-08-07	244
2015-08-08	276
2015-08-09	273
2015-08-10	276
2015-08-11	275
2015-08-12	279
2015-08-13	316
2015-08-14	278
2015-08-15	262
2015-08-16	261
2015-08-17	263
2015-08-18	320
2015-08-19	305
2015-08-20	279
2015-08-21	319
2015-08-22	308
2015-08-23	305
2015-08-24	319
2015-08-25	324
2015-08-26	279
2015-08-27	360
2015-08-28	312
2015-08-29	321
2015-08-30	305
2015-08-31	337
2015-09-01	359
2015-09-02	338
2015-09-03	334
2015-09-04	348
2015-09-05	329
2015-09-06	309
2015-09-07	328
2015-09-08	406
2015-09-09	463
2015-09-10	340
2015-09-11	336
2015-09-12	322
2015-09-13	313
2015-09-14	349
2015-09-15	364
2015-09-16	308
2015-09-17	271
2015-09-18	267
2015-09-19	273
2015-09-20	283
2015-09-21	287
2015-09-22	276
2015-09-23	267
2015-09-24	304
2015-09-25	260
2015-09-26	275
2015-09-27	281
2015-09-28	269
2015-09-29	306
2015-09-30	265
2015-10-01	253
2015-10-02	191
2015-10-03	259
2015-10-04	256
2015-10-05	266
2015-10-06	283
2015-10-07	249
2015-10-08	271
2015-10-09	244
2015-10-10	253
2015-10-11	249
2015-10-12	243
2015-10-13	251
2015-10-14	293
2015-10-15	286
2015-10-16	280
2015-10-17	251
2015-10-18	242
2015-10-19	253
2015-10-20	271
2015-10-21	301
2015-10-22	264
2015-10-23	273
2015-10-24	251
2015-10-25	280
2015-10-26	234
2015-10-27	251
2015-10-28	254
2015-10-29	249
2015-10-30	245
2015-10-31	225
2015-11-01	220
2015-11-02	202
2015-11-03	207
2015-11-04	213
2015-11-05	286
2015-11-06	249
2015-11-07	236
2015-11-08	218
2015-11-09	230
2015-11-10	237
2015-11-11	234
2015-11-12	215
2015-11-13	231
2015-11-14	209
2015-11-15	205
2015-11-16	205
2015-11-17	237
2015-11-18	199
2015-11-19	183
2015-11-20	209
2015-11-21	206
2015-11-22	237
2015-11-23	207
2015-11-24	198
2015-11-25	234
2015-11-26	231
2015-11-27	248
2015-11-28	182
2015-11-29	231
2015-11-30	215
2015-12-01	231
2015-12-02	202
2015-12-03	201
2015-12-04	224
2015-12-05	236
2015-12-06	220
2015-12-07	217
2015-12-08	201
2015-12-09	196
2015-12-10	220
2015-12-11	197
2015-12-12	193
2015-12-13	229
2015-12-14	187
2015-12-15	233
2015-12-16	212
2015-12-17	207
2015-12-18	202
2015-12-19	209
2015-12-20	186
2015-12-21	208
2015-12-22	208
2015-12-23	187
2015-12-24	202
2015-12-25	210
2015-12-26	179
2015-12-27	211
2015-12-28	191
2015-12-29	228
2015-12-30	217
2015-12-31	213
2016-01-01	212
2016-01-02	195
2016-01-03	192
2016-01-04	194
2016-01-05	221
2016-01-06	209
2016-01-07	233
2016-01-08	206
2016-01-09	232
2016-01-10	220
2016-01-11	240
2016-01-12	244
2016-01-13	315
2016-01-14	265
2016-01-15	240
2016-01-16	212
2016-01-17	239
2016-01-18	199
2016-01-19	190
2016-01-20	200
2016-01-21	183
2016-01-22	221
2016-01-23	218
2016-01-24	196
2016-01-25	216
2016-01-26	244
2016-01-27	230
2016-01-28	249
2016-01-29	214
2016-01-30	200
2016-01-31	247
2016-02-01	223
2016-02-02	200
2016-02-03	201
2016-02-04	223
2016-02-05	193
2016-02-06	219
2016-02-07	202
2016-02-08	233
2016-02-09	258
2016-02-10	216
2016-02-11	221
2016-02-12	314
2016-02-13	219
2016-02-14	411
2016-02-15	236
2016-02-16	230
2016-02-17	190
2016-02-18	390
2016-02-19	343
2016-02-20	223
2016-02-21	214
2016-02-22	231
2016-02-23	211
2016-02-24	206
2016-02-25	217
2016-02-26	199
2016-02-27	208
2016-02-28	213
2016-02-29	208
2016-03-01	219
2016-03-02	180
2016-03-03	227
2016-03-04	226
2016-03-05	198
2016-03-06	198
2016-03-07	221
2016-03-08	218
2016-03-09	222
2016-03-10	235
2016-03-11	174
2016-03-12	212
2016-03-13	214
2016-03-14	221
2016-03-15	217
2016-03-16	229
2016-03-17	208
2016-03-18	188
2016-03-19	206
2016-03-20	214
2016-03-21	159
2016-03-22	207
2016-03-23	247
2016-03-24	258
2016-03-25	179
2016-03-26	193
2016-03-27	203
2016-03-28	211
2016-03-29	247
2016-03-30	220
2016-03-31	237
2016-04-01	250
2016-04-02	239
2016-04-03	208
2016-04-04	234
2016-04-05	204
2016-04-06	330
2016-04-07	286
2016-04-08	240
2016-04-09	212
2016-04-10	211
2016-04-11	245
2016-04-12	221
2016-04-13	236
2016-04-14	195
2016-04-15	187
2016-04-16	213
2016-04-17	204
2016-04-18	217
2016-04-19	238
2016-04-20	236
2016-04-21	203
2016-04-22	199
2016-04-23	214
2016-04-24	209
2016-04-25	207
2016-04-26	206
2016-04-27	207
2016-04-28	179
2016-04-29	178
2016-04-30	240
2016-05-01	237
2016-05-02	226
2016-05-03	216
2016-05-04	204
2016-05-05	260
2016-05-06	207
2016-05-07	231
2016-05-08	265
2016-05-09	232
2016-05-10	285
2016-05-11	254
2016-05-12	218
2016-05-13	237
2016-05-14	238
2016-05-15	237
2016-05-16	228
2016-05-17	206
2016-05-18	277
2016-05-19	326
2016-05-20	246
2016-05-21	213
2016-05-22	213
2016-05-23	181
2016-05-24	252
2016-05-25	199
2016-05-26	233
2016-05-27	203
2016-05-28	201
2016-05-29	211
2016-05-30	216
2016-05-31	282
