date	freq
2015-06-01	19
2015-06-02	17
2015-06-03	24
2015-06-04	14
2015-06-05	15
2015-06-06	20
2015-06-07	22
2015-06-08	15
2015-06-09	21
2015-06-10	26
2015-06-11	27
2015-06-12	17
2015-06-13	13
2015-06-14	20
2015-06-15	17
2015-06-16	14
2015-06-17	22
2015-06-18	19
2015-06-19	19
2015-06-20	23
2015-06-21	11
2015-06-22	17
2015-06-23	19
2015-06-24	20
2015-06-25	19
2015-06-26	9
2015-06-27	12
2015-06-28	19
2015-06-29	19
2015-06-30	18
2015-07-01	31
2015-07-02	21
2015-07-03	17
2015-07-04	16
2015-07-05	15
2015-07-06	13
2015-07-07	16
2015-07-08	24
2015-07-09	23
2015-07-10	14
2015-07-11	11
2015-07-12	15
2015-07-13	13
2015-07-14	22
2015-07-15	19
2015-07-16	20
2015-07-17	15
2015-07-18	23
2015-07-19	16
2015-07-20	17
2015-07-21	15
2015-07-22	18
2015-07-23	21
2015-07-24	18
2015-07-25	19
2015-07-26	10
2015-07-27	13
2015-07-28	18
2015-07-29	19
2015-07-30	17
2015-07-31	18
2015-08-01	8
2015-08-02	13
2015-08-03	10
2015-08-04	12
2015-08-05	16
2015-08-06	17
2015-08-07	18
2015-08-08	22
2015-08-09	20
2015-08-10	19
2015-08-11	22
2015-08-12	10
2015-08-13	19
2015-08-14	14
2015-08-15	12
2015-08-16	15
2015-08-17	24
2015-08-18	32
2015-08-19	16
2015-08-20	18
2015-08-21	16
2015-08-22	17
2015-08-23	20
2015-08-24	15
2015-08-25	15
2015-08-26	17
2015-08-27	11
2015-08-28	15
2015-08-29	10
2015-08-30	12
2015-08-31	10
2015-09-01	20
2015-09-02	25
2015-09-03	16
2015-09-04	27
2015-09-05	20
2015-09-06	21
2015-09-07	10
2015-09-08	9
2015-09-09	19
2015-09-10	18
2015-09-11	19
2015-09-12	16
2015-09-13	23
2015-09-14	17
2015-09-15	17
2015-09-16	22
2015-09-17	14
2015-09-18	15
2015-09-19	15
2015-09-20	13
2015-09-21	15
2015-09-22	15
2015-09-23	19
2015-09-24	18
2015-09-25	22
2015-09-26	19
2015-09-27	23
2015-09-28	10
2015-09-29	15
2015-09-30	13
2015-10-01	21
2015-10-02	12
2015-10-03	17
2015-10-04	16
2015-10-05	16
2015-10-06	22
2015-10-07	17
2015-10-08	14
2015-10-09	9
2015-10-10	17
2015-10-11	15
2015-10-12	19
2015-10-13	16
2015-10-14	21
2015-10-15	10
2015-10-16	14
2015-10-17	26
2015-10-18	12
2015-10-19	11
2015-10-20	11
2015-10-21	20
2015-10-22	12
2015-10-23	11
2015-10-24	13
2015-10-25	13
2015-10-26	19
2015-10-27	16
2015-10-28	12
2015-10-29	18
2015-10-30	14
2015-10-31	19
2015-11-01	24
2015-11-02	18
2015-11-03	16
2015-11-04	22
2015-11-05	24
2015-11-06	15
2015-11-07	26
2015-11-08	22
2015-11-09	11
2015-11-10	26
2015-11-11	14
2015-11-12	20
2015-11-13	16
2015-11-14	16
2015-11-15	18
2015-11-16	22
2015-11-17	22
2015-11-18	23
2015-11-19	27
2015-11-20	9
2015-11-21	16
2015-11-22	20
2015-11-23	16
2015-11-24	23
2015-11-25	13
2015-11-26	14
2015-11-27	17
2015-11-28	13
2015-11-29	13
2015-11-30	16
2015-12-01	17
2015-12-02	6
2015-12-03	11
2015-12-04	15
2015-12-05	16
2015-12-06	15
2015-12-07	19
2015-12-08	16
2015-12-09	11
2015-12-10	13
2015-12-11	13
2015-12-12	10
2015-12-13	15
2015-12-14	18
2015-12-15	17
2015-12-16	12
2015-12-17	16
2015-12-18	14
2015-12-19	18
2015-12-20	9
2015-12-21	16
2015-12-22	13
2015-12-23	24
2015-12-24	12
2015-12-25	13
2015-12-26	6
2015-12-27	12
2015-12-28	20
2015-12-29	21
2015-12-30	17
2015-12-31	16
2016-01-01	6
2016-01-02	8
2016-01-03	10
2016-01-04	9
2016-01-05	16
2016-01-06	8
2016-01-07	11
2016-01-08	17
2016-01-09	14
2016-01-10	16
2016-01-11	14
2016-01-12	8
2016-01-13	18
2016-01-14	22
2016-01-15	13
2016-01-16	14
2016-01-17	22
2016-01-18	10
2016-01-19	21
2016-01-20	11
2016-01-21	12
2016-01-22	12
2016-01-23	21
2016-01-24	14
2016-01-25	14
2016-01-26	19
2016-01-27	9
2016-01-28	13
2016-01-29	15
2016-01-30	23
2016-01-31	20
2016-02-01	16
2016-02-02	16
2016-02-03	11
2016-02-04	12
2016-02-05	17
2016-02-06	14
2016-02-07	15
2016-02-08	19
2016-02-09	18
2016-02-10	18
2016-02-11	11
2016-02-12	12
2016-02-13	15
2016-02-14	12
2016-02-15	15
2016-02-16	18
2016-02-17	26
2016-02-18	12
2016-02-19	12
2016-02-20	17
2016-02-21	20
2016-02-22	16
2016-02-23	17
2016-02-24	13
2016-02-25	12
2016-02-26	15
2016-02-27	13
2016-02-28	15
2016-02-29	13
2016-03-01	13
2016-03-02	16
2016-03-03	17
2016-03-04	7
2016-03-05	15
2016-03-06	14
2016-03-07	13
2016-03-08	10
