date	freq
2015-06-01	121
2015-06-02	126
2015-06-03	138
2015-06-04	120
2015-06-05	117
2015-06-06	108
2015-06-07	151
2015-06-08	202
2015-06-09	58
2015-06-10	91
2015-06-11	211
2015-06-12	161
2015-06-13	182
2015-06-14	186
2015-06-15	263
2015-06-16	173
2015-06-17	136
2015-06-18	166
2015-06-19	243
2015-06-20	208
2015-06-21	207
2015-06-22	120
2015-06-23	225
2015-06-24	201
2015-06-25	139
2015-06-26	228
2015-06-27	209
2015-06-28	184
2015-06-29	210
2015-06-30	111
2015-07-01	239
2015-07-02	223
2015-07-03	105
2015-07-04	217
2015-07-05	256
2015-07-06	189
2015-07-07	197
2015-07-08	139
2015-07-09	365
2015-07-10	247
2015-07-11	165
2015-07-12	252
2015-07-13	249
2015-07-14	256
2015-07-15	204
2015-07-16	154
2015-07-17	219
2015-07-18	246
2015-07-19	168
2015-07-20	270
2015-07-21	288
2015-07-22	235
2015-07-23	234
2015-07-24	163
2015-07-25	216
2015-07-26	242
2015-07-27	203
2015-07-28	240
2015-07-29	273
2015-07-30	222
2015-07-31	210
2015-08-01	153
2015-08-02	225
2015-08-03	213
2015-08-04	162
2015-08-05	242
2015-08-06	303
2015-08-07	250
2015-08-08	201
2015-08-09	180
2015-08-10	204
2015-08-11	174
2015-08-12	127
2015-08-13	219
2015-08-14	302
2015-08-15	185
2015-08-16	214
2015-08-17	127
2015-08-18	157
2015-08-19	135
2015-08-20	127
2015-08-21	218
2015-08-22	181
2015-08-23	178
2015-08-24	161
2015-08-25	164
2015-08-26	153
2015-08-27	143
2015-08-28	175
2015-08-29	233
2015-08-30	166
2015-08-31	200
2015-09-01	164
2015-09-02	133
2015-09-03	174
2015-09-04	148
2015-09-05	135
2015-09-06	276
2015-09-07	160
2015-09-08	178
2015-09-09	181
2015-09-10	158
2015-09-11	154
2015-09-12	141
2015-09-13	146
2015-09-14	244
2015-09-15	191
2015-09-16	174
2015-09-17	161
2015-09-18	151
2015-09-19	194
2015-09-20	131
2015-09-21	148
2015-09-22	247
2015-09-23	192
2015-09-24	165
2015-09-25	171
2015-09-26	159
2015-09-27	137
2015-09-28	129
2015-09-29	147
2015-09-30	272
2015-10-01	160
2015-10-02	190
2015-10-03	181
2015-10-04	157
2015-10-05	152
2015-10-06	158
2015-10-07	148
2015-10-08	264
2015-10-09	172
2015-10-10	182
2015-10-11	159
2015-10-12	170
2015-10-13	173
2015-10-14	122
2015-10-15	132
2015-10-16	232
2015-10-17	144
2015-10-18	141
2015-10-19	159
2015-10-20	144
2015-10-21	148
2015-10-22	132
2015-10-23	144
2015-10-24	193
2015-10-25	133
2015-10-26	151
2015-10-27	202
2015-10-28	136
2015-10-29	168
2015-10-30	106
2015-10-31	155
2015-11-01	212
2015-11-02	182
2015-11-03	181
2015-11-04	176
2015-11-05	147
2015-11-06	142
2015-11-07	88
2015-11-08	106
2015-11-09	237
2015-11-10	195
2015-11-11	162
2015-11-12	135
2015-11-13	120
2015-11-14	126
2015-11-15	112
2015-11-16	106
2015-11-17	198
2015-11-18	194
2015-11-19	160
2015-11-20	140
2015-11-21	117
2015-11-22	144
2015-11-23	158
2015-11-24	105
2015-11-25	165
2015-11-26	142
2015-11-27	149
2015-11-28	172
2015-11-29	122
2015-11-30	148
2015-12-01	89
2015-12-02	106
2015-12-03	203
2015-12-04	134
2015-12-05	147
2015-12-06	131
2015-12-07	116
2015-12-08	102
2015-12-09	101
2015-12-10	92
2015-12-11	174
2015-12-12	140
2015-12-13	127
2015-12-14	116
2015-12-15	272
2015-12-16	202
2015-12-17	88
2015-12-18	89
2015-12-19	159
2015-12-20	146
2015-12-21	117
2015-12-22	125
2015-12-23	123
2015-12-24	123
2015-12-25	96
2015-12-26	84
2015-12-27	146
2015-12-28	140
2015-12-29	145
2015-12-30	125
2015-12-31	128
2016-01-01	126
2016-01-02	98
2016-01-03	86
2016-01-04	144
2016-01-05	187
2016-01-06	203
2016-01-07	226
2016-01-08	209
2016-01-09	164
2016-01-10	105
2016-01-11	135
2016-01-12	169
2016-01-13	152
2016-01-14	130
2016-01-15	175
2016-01-16	124
2016-01-17	98
2016-01-18	122
2016-01-19	104
2016-01-20	122
2016-01-21	159
2016-01-22	134
2016-01-23	97
2016-01-24	108
2016-01-25	1626
2016-01-26	140
2016-01-27	100
2016-01-28	128
2016-01-29	158
2016-01-30	134
2016-01-31	173
2016-02-01	123
2016-02-02	137
2016-02-03	94
2016-02-04	121
2016-02-05	94
2016-02-06	117
2016-02-07	101
2016-02-08	104
2016-02-09	119
2016-02-10	118
2016-02-11	82
2016-02-12	90
2016-02-13	93
2016-02-14	117
2016-02-15	121
2016-02-16	95
2016-02-17	122
2016-02-18	107
2016-02-19	87
2016-02-20	81
2016-02-21	131
2016-02-22	108
2016-02-23	123
2016-02-24	121
2016-02-25	135
2016-02-26	107
2016-02-27	88
2016-02-28	81
2016-02-29	123
2016-03-01	159
2016-03-02	116
2016-03-03	131
2016-03-04	96
2016-03-05	116
2016-03-06	124
2016-03-07	112
2016-03-08	86
2016-03-09	112
2016-03-10	139
2016-03-11	109
2016-03-12	133
2016-03-13	135
2016-03-14	78
2016-03-15	70
2016-03-16	89
2016-03-17	99
2016-03-18	88
2016-03-19	113
2016-03-20	85
2016-03-21	94
2016-03-22	116
2016-03-23	98
2016-03-24	104
2016-03-25	118
2016-03-26	94
2016-03-27	171
2016-03-28	147
2016-03-29	102
2016-03-30	101
2016-03-31	84
2016-04-01	121
2016-04-02	154
2016-04-03	113
2016-04-04	120
2016-04-05	97
2016-04-06	110
2016-04-07	99
2016-04-08	74
2016-04-09	105
2016-04-10	95
2016-04-11	104
2016-04-12	106
2016-04-13	150
2016-04-14	97
2016-04-15	74
2016-04-16	76
2016-04-17	79
2016-04-18	144
2016-04-19	95
2016-04-20	121
2016-04-21	98
2016-04-22	104
2016-04-23	96
2016-04-24	114
2016-04-25	109
2016-04-26	97
2016-04-27	91
2016-04-28	104
2016-04-29	108
2016-04-30	103
2016-05-01	87
2016-05-02	94
2016-05-03	80
2016-05-04	121
2016-05-05	90
2016-05-06	119
2016-05-07	84
2016-05-08	99
2016-05-09	107
2016-05-10	101
2016-05-11	95
2016-05-12	102
2016-05-13	103
2016-05-14	113
2016-05-15	131
2016-05-16	93
2016-05-17	171
2016-05-18	127
2016-05-19	111
2016-05-20	152
2016-05-21	93
2016-05-22	93
2016-05-23	111
2016-05-24	115
2016-05-25	91
2016-05-26	104
2016-05-27	132
2016-05-28	76
2016-05-29	118
2016-05-30	88
2016-05-31	121
