date	freq
2015-06-01	171
2015-06-02	175
2015-06-03	178
2015-06-04	142
2015-06-05	165
2015-06-06	168
2015-06-07	153
2015-06-08	180
2015-06-09	163
2015-06-10	174
2015-06-11	163
2015-06-12	181
2015-06-13	172
2015-06-14	167
2015-06-15	216
2015-06-16	200
2015-06-17	177
2015-06-18	185
2015-06-19	171
2015-06-20	165
2015-06-21	175
2015-06-22	184
2015-06-23	169
2015-06-24	190
2015-06-25	162
2015-06-26	169
2015-06-27	181
2015-06-28	176
2015-06-29	169
2015-06-30	166
2015-07-01	185
2015-07-02	182
2015-07-03	186
2015-07-04	203
2015-07-05	199
2015-07-06	196
2015-07-07	199
2015-07-08	202
2015-07-09	163
2015-07-10	169
2015-07-11	164
2015-07-12	158
2015-07-13	164
2015-07-14	201
2015-07-15	181
2015-07-16	174
2015-07-17	168
2015-07-18	177
2015-07-19	160
2015-07-20	173
2015-07-21	195
2015-07-22	191
2015-07-23	183
2015-07-24	167
2015-07-25	164
2015-07-26	174
2015-07-27	169
2015-07-28	166
2015-07-29	152
2015-07-30	166
2015-07-31	180
2015-08-01	129
2015-08-02	148
2015-08-03	148
2015-08-04	157
2015-08-05	137
2015-08-06	156
2015-08-07	178
2015-08-08	175
2015-08-09	150
2015-08-10	167
2015-08-11	179
2015-08-12	147
2015-08-13	141
2015-08-14	159
2015-08-15	154
2015-08-16	164
2015-08-17	164
2015-08-18	183
2015-08-19	167
2015-08-20	153
2015-08-21	160
2015-08-22	152
2015-08-23	156
2015-08-24	170
2015-08-25	181
2015-08-26	160
2015-08-27	163
2015-08-28	168
2015-08-29	161
2015-08-30	198
2015-08-31	171
2015-09-01	195
2015-09-02	186
2015-09-03	178
2015-09-04	175
2015-09-05	219
2015-09-06	211
2015-09-07	166
2015-09-08	166
2015-09-09	182
2015-09-10	149
2015-09-11	175
2015-09-12	202
2015-09-13	187
2015-09-14	182
2015-09-15	188
2015-09-16	157
2015-09-17	181
2015-09-18	155
2015-09-19	152
2015-09-20	144
2015-09-21	164
2015-09-22	173
2015-09-23	174
2015-09-24	183
2015-09-25	174
2015-09-26	176
2015-09-27	190
2015-09-28	160
2015-09-29	156
2015-09-30	158
2015-10-01	215
2015-10-02	156
2015-10-03	150
2015-10-04	174
2015-10-05	145
2015-10-06	172
2015-10-07	144
2015-10-08	155
2015-10-09	155
2015-10-10	160
2015-10-11	160
2015-10-12	180
2015-10-13	146
2015-10-14	142
2015-10-15	155
2015-10-16	141
2015-10-17	146
2015-10-18	167
2015-10-19	172
2015-10-20	146
2015-10-21	190
2015-10-22	166
2015-10-23	137
2015-10-24	152
2015-10-25	154
2015-10-26	157
2015-10-27	147
2015-10-28	273
2015-10-29	161
2015-10-30	189
2015-10-31	196
2015-11-01	164
2015-11-02	172
2015-11-03	170
2015-11-04	198
2015-11-05	172
2015-11-06	171
2015-11-07	156
2015-11-08	166
2015-11-09	201
2015-11-10	164
2015-11-11	133
2015-11-12	174
2015-11-13	171
2015-11-14	199
2015-11-15	183
2015-11-16	180
2015-11-17	182
2015-11-18	179
2015-11-19	149
2015-11-20	155
2015-11-21	151
2015-11-22	150
2015-11-23	184
2015-11-24	200
2015-11-25	187
2015-11-26	187
2015-11-27	158
2015-11-28	146
2015-11-29	159
2015-11-30	162
2015-12-01	151
2015-12-02	170
2015-12-03	192
2015-12-04	134
2015-12-05	155
2015-12-06	155
2015-12-07	148
2015-12-08	189
2015-12-09	180
2015-12-10	154
2015-12-11	151
2015-12-12	158
2015-12-13	179
2015-12-14	167
2015-12-15	184
2015-12-16	145
2015-12-17	159
2015-12-18	154
2015-12-19	122
2015-12-20	149
2015-12-21	153
2015-12-22	176
2015-12-23	149
2015-12-24	166
2015-12-25	171
2015-12-26	161
2015-12-27	167
2015-12-28	145
2015-12-29	151
2015-12-30	133
2015-12-31	131
2016-01-01	86
2016-01-02	102
2016-01-03	126
2016-01-04	134
2016-01-05	158
2016-01-06	144
2016-01-07	156
2016-01-08	146
2016-01-09	165
2016-01-10	148
2016-01-11	171
2016-01-12	170
2016-01-13	158
2016-01-14	161
2016-01-15	174
2016-01-16	168
2016-01-17	201
2016-01-18	154
2016-01-19	169
2016-01-20	171
2016-01-21	166
2016-01-22	193
2016-01-23	180
2016-01-24	166
2016-01-25	141
2016-01-26	154
2016-01-27	203
2016-01-28	155
2016-01-29	186
2016-01-30	281
2016-01-31	182
2016-02-01	188
2016-02-02	170
2016-02-03	156
2016-02-04	124
2016-02-05	136
2016-02-06	163
2016-02-07	160
2016-02-08	188
2016-02-09	210
2016-02-10	244
2016-02-11	188
2016-02-12	151
2016-02-13	165
2016-02-14	138
2016-02-15	158
2016-02-16	157
2016-02-17	136
2016-02-18	132
2016-02-19	116
2016-02-20	155
2016-02-21	151
2016-02-22	142
2016-02-23	191
2016-02-24	143
2016-02-25	149
2016-02-26	145
2016-02-27	133
2016-02-28	162
2016-02-29	191
2016-03-01	150
2016-03-02	130
2016-03-03	141
2016-03-04	137
2016-03-05	134
2016-03-06	161
2016-03-07	129
2016-03-08	166
2016-03-09	147
2016-03-10	143
2016-03-11	157
2016-03-12	133
2016-03-13	142
2016-03-14	168
2016-03-15	150
2016-03-16	140
2016-03-17	153
2016-03-18	127
2016-03-19	135
2016-03-20	164
2016-03-21	188
2016-03-22	146
2016-03-23	139
2016-03-24	160
2016-03-25	128
2016-03-26	140
2016-03-27	152
2016-03-28	157
2016-03-29	141
2016-03-30	132
2016-03-31	140
2016-04-01	135
2016-04-02	142
2016-04-03	154
2016-04-04	166
2016-04-05	129
2016-04-06	133
2016-04-07	167
2016-04-08	140
2016-04-09	151
2016-04-10	176
2016-04-11	148
2016-04-12	149
2016-04-13	137
2016-04-14	132
2016-04-15	141
2016-04-16	84
2016-04-17	119
2016-04-18	126
2016-04-19	126
2016-04-20	123
2016-04-21	146
2016-04-22	150
2016-04-23	127
2016-04-24	133
2016-04-25	172
2016-04-26	156
2016-04-27	136
2016-04-28	118
2016-04-29	127
2016-04-30	144
2016-05-01	126
2016-05-02	124
2016-05-03	161
2016-05-04	124
2016-05-05	158
2016-05-06	121
2016-05-07	123
2016-05-08	140
2016-05-09	123
2016-05-10	133
2016-05-11	125
2016-05-12	142
2016-05-13	145
2016-05-14	125
2016-05-15	166
2016-05-16	180
2016-05-17	128
2016-05-18	140
2016-05-19	219
2016-05-20	137
2016-05-21	173
2016-05-22	148
2016-05-23	144
2016-05-24	113
2016-05-25	152
2016-05-26	132
2016-05-27	158
2016-05-28	153
2016-05-29	127
2016-05-30	142
2016-05-31	165
