date	freq
2015-06-01	101
2015-06-02	79
2015-06-03	90
2015-06-04	96
2015-06-05	95
2015-06-06	100
2015-06-07	104
2015-06-08	75
2015-06-09	38
2015-06-10	91
2015-06-11	102
2015-06-12	74
2015-06-13	100
2015-06-14	106
2015-06-15	83
2015-06-16	86
2015-06-17	96
2015-06-18	82
2015-06-19	78
2015-06-20	79
2015-06-21	85
2015-06-22	97
2015-06-23	105
2015-06-24	105
2015-06-25	98
2015-06-26	106
2015-06-27	108
2015-06-28	105
2015-06-29	97
2015-06-30	131
2015-07-01	98
2015-07-02	100
2015-07-03	90
2015-07-04	90
2015-07-05	117
2015-07-06	95
2015-07-07	98
2015-07-08	89
2015-07-09	83
2015-07-10	92
2015-07-11	75
2015-07-12	96
2015-07-13	105
2015-07-14	86
2015-07-15	118
2015-07-16	74
2015-07-17	98
2015-07-18	106
2015-07-19	90
2015-07-20	113
2015-07-21	105
2015-07-22	88
2015-07-23	103
2015-07-24	94
2015-07-25	82
2015-07-26	91
2015-07-27	88
2015-07-28	88
2015-07-29	91
2015-07-30	87
2015-07-31	81
2015-08-01	72
2015-08-02	83
2015-08-03	98
2015-08-04	81
2015-08-05	96
2015-08-06	91
2015-08-07	89
2015-08-08	70
2015-08-09	85
2015-08-10	65
2015-08-11	75
2015-08-12	106
2015-08-13	95
2015-08-14	105
2015-08-15	100
2015-08-16	136
2015-08-17	121
2015-08-18	68
2015-08-19	77
2015-08-20	102
2015-08-21	118
2015-08-22	130
2015-08-23	106
2015-08-24	105
2015-08-25	101
2015-08-26	75
2015-08-27	140
2015-08-28	102
2015-08-29	124
2015-08-30	118
2015-08-31	103
2015-09-01	91
2015-09-02	126
2015-09-03	104
2015-09-04	106
2015-09-05	102
2015-09-06	97
2015-09-07	115
2015-09-08	114
2015-09-09	133
2015-09-10	90
2015-09-11	89
2015-09-12	100
2015-09-13	90
2015-09-14	77
2015-09-15	102
2015-09-16	72
2015-09-17	62
2015-09-18	83
2015-09-19	81
2015-09-20	97
2015-09-21	81
2015-09-22	93
2015-09-23	95
2015-09-24	86
2015-09-25	96
2015-09-26	89
2015-09-27	86
2015-09-28	69
2015-09-29	111
2015-09-30	116
2015-10-01	181
2015-10-02	70
2015-10-03	69
2015-10-04	99
2015-10-05	80
2015-10-06	91
2015-10-07	86
2015-10-08	71
2015-10-09	82
2015-10-10	90
2015-10-11	86
2015-10-12	76
2015-10-13	85
2015-10-14	76
2015-10-15	89
2015-10-16	79
2015-10-17	81
2015-10-18	81
2015-10-19	88
2015-10-20	73
2015-10-21	98
2015-10-22	84
2015-10-23	73
2015-10-24	82
2015-10-25	84
2015-10-26	87
2015-10-27	82
2015-10-28	125
2015-10-29	89
2015-10-30	89
2015-10-31	104
2015-11-01	68
2015-11-02	75
2015-11-03	89
2015-11-04	113
2015-11-05	77
2015-11-06	81
2015-11-07	99
2015-11-08	74
2015-11-09	96
2015-11-10	93
2015-11-11	124
2015-11-12	88
2015-11-13	75
2015-11-14	82
2015-11-15	67
2015-11-16	68
2015-11-17	78
2015-11-18	79
2015-11-19	75
2015-11-20	76
2015-11-21	61
2015-11-22	84
2015-11-23	66
2015-11-24	96
2015-11-25	85
2015-11-26	71
2015-11-27	72
2015-11-28	78
2015-11-29	83
