date	freq
2015-06-01	19
2015-06-02	12
2015-06-03	17
2015-06-04	9
2015-06-05	20
2015-06-06	16
2015-06-07	11
2015-06-08	8
2015-06-09	6
2015-06-10	6
2015-06-11	17
2015-06-12	18
2015-06-13	13
2015-06-14	12
2015-06-15	10
2015-06-16	14
2015-06-17	14
2015-06-18	14
2015-06-19	18
2015-06-20	16
2015-06-21	10
2015-06-22	10
2015-06-23	16
2015-06-24	17
2015-06-25	10
2015-06-26	16
2015-06-27	17
2015-06-28	18
2015-06-29	19
2015-06-30	13
2015-07-01	13
2015-07-02	11
2015-07-03	14
2015-07-04	9
2015-07-05	7
2015-07-06	15
2015-07-07	5
2015-07-08	13
2015-07-09	10
2015-07-10	9
2015-07-11	8
2015-07-12	10
2015-07-13	11
2015-07-14	11
2015-07-15	11
2015-07-16	17
2015-07-17	10
2015-07-18	9
2015-07-19	11
2015-07-20	10
2015-07-21	12
2015-07-22	8
2015-07-23	9
2015-07-24	12
2015-07-25	10
2015-07-26	10
2015-07-27	6
2015-07-28	8
2015-07-29	12
2015-07-30	10
2015-07-31	10
2015-08-01	10
2015-08-02	10
2015-08-03	7
2015-08-04	13
2015-08-05	11
2015-08-06	6
2015-08-07	11
2015-08-08	7
2015-08-09	8
2015-08-10	6
2015-08-11	8
2015-08-12	9
2015-08-13	10
2015-08-14	10
2015-08-15	8
2015-08-16	19
2015-08-17	5
2015-08-18	9
2015-08-19	8
2015-08-20	7
2015-08-21	12
2015-08-22	12
2015-08-23	15
2015-08-24	14
2015-08-25	16
2015-08-26	18
2015-08-27	29
2015-08-28	30
2015-08-29	38
2015-08-30	42
2015-08-31	41
2015-09-01	42
2015-09-02	21
2015-09-03	10
2015-09-04	23
2015-09-05	12
2015-09-06	27
2015-09-07	42
2015-09-08	36
2015-09-09	115
2015-09-10	50
2015-09-11	51
2015-09-12	53
2015-09-13	40
2015-09-14	40
2015-09-15	43
2015-09-16	36
2015-09-17	54
2015-09-18	14
2015-09-19	10
2015-09-20	11
2015-09-21	19
2015-09-22	21
2015-09-23	12
2015-09-24	10
2015-09-25	19
2015-09-26	23
2015-09-27	57
2015-09-28	45
2015-09-29	32
2015-09-30	31
2015-10-01	24
2015-10-02	17
2015-10-03	25
2015-10-04	13
2015-10-05	11
2015-10-06	14
2015-10-07	13
2015-10-08	15
2015-10-09	14
2015-10-10	19
2015-10-11	10
2015-10-12	8
2015-10-13	9
2015-10-14	15
2015-10-15	58
2015-10-16	12
2015-10-17	11
2015-10-18	56
2015-10-19	22
2015-10-20	20
2015-10-21	10
2015-10-22	8
2015-10-23	15
2015-10-24	4
2015-10-25	9
2015-10-26	13
2015-10-27	7
2015-10-28	20
2015-10-29	5
2015-10-30	5
2015-10-31	13
2015-11-01	13
2015-11-02	5
2015-11-03	7
2015-11-04	7
2015-11-05	7
2015-11-06	8
2015-11-07	10
2015-11-08	9
2015-11-09	12
2015-11-10	8
2015-11-11	4
2015-11-12	7
2015-11-13	6
2015-11-14	7
2015-11-15	12
2015-11-16	18
2015-11-17	5
2015-11-18	5
2015-11-19	10
2015-11-20	12
2015-11-21	5
2015-11-22	9
2015-11-23	4
2015-11-24	12
2015-11-25	11
2015-11-26	5
2015-11-27	10
2015-11-28	12
2015-11-29	8
2015-11-30	10
2015-12-01	9
2015-12-02	8
2015-12-03	14
2015-12-04	12
2015-12-05	6
2015-12-06	15
2015-12-07	10
2015-12-08	10
2015-12-09	8
2015-12-10	12
2015-12-11	8
2015-12-12	9
2015-12-13	9
2015-12-14	11
2015-12-15	9
2015-12-16	23
2015-12-17	5
2015-12-18	9
2015-12-19	63
2015-12-20	97
2015-12-21	24
2015-12-22	13
2015-12-23	16
2015-12-24	13
2015-12-25	8
2015-12-26	23
2015-12-27	10
2015-12-28	26
2015-12-29	5
2015-12-30	7
2015-12-31	10
2016-01-01	9
2016-01-02	6
2016-01-03	13
2016-01-04	13
2016-01-05	11
2016-01-06	13
2016-01-07	15
2016-01-08	11
2016-01-09	9
2016-01-10	7
2016-01-11	4
2016-01-12	11
2016-01-13	12
2016-01-14	10
2016-01-15	5
2016-01-16	14
2016-01-17	5
2016-01-18	7
2016-01-19	6
2016-01-20	12
2016-01-21	4
2016-01-22	11
2016-01-23	5
2016-01-24	7
2016-01-25	12
2016-01-26	10
2016-01-27	10
2016-01-28	9
2016-01-29	6
2016-01-30	5
2016-01-31	7
2016-02-01	8
2016-02-02	14
2016-02-03	6
2016-02-04	10
2016-02-05	30
2016-02-06	30
2016-02-07	9
2016-02-08	3
2016-02-09	12
2016-02-10	9
2016-02-11	9
2016-02-12	13
2016-02-13	2
2016-02-14	12
2016-02-15	11
2016-02-16	14
2016-02-17	9
2016-02-18	9
2016-02-19	11
2016-02-20	13
2016-02-21	10
2016-02-22	7
2016-02-23	6
2016-02-24	5
2016-02-25	11
2016-02-26	9
2016-02-27	11
2016-02-28	5
2016-02-29	8
2016-03-01	10
2016-03-02	7
2016-03-03	14
2016-03-04	9
2016-03-05	6
2016-03-06	9
2016-03-07	7
2016-03-08	9
2016-03-09	4
2016-03-10	11
2016-03-11	6
2016-03-12	7
2016-03-13	9
2016-03-14	6
2016-03-15	7
2016-03-16	3
2016-03-17	11
2016-03-18	15
2016-03-19	16
2016-03-20	5
2016-03-21	9
2016-03-22	12
2016-03-23	15
2016-03-24	11
2016-03-25	4
2016-03-26	5
2016-03-27	9
2016-03-28	19
2016-03-29	6
2016-03-30	9
2016-03-31	8
2016-04-01	15
2016-04-02	10
2016-04-03	9
2016-04-04	8
2016-04-05	12
2016-04-06	7
2016-04-07	7
2016-04-08	9
2016-04-09	11
2016-04-10	13
2016-04-11	6
2016-04-12	9
2016-04-13	12
2016-04-14	19
2016-04-15	7
2016-04-16	6
2016-04-17	3
2016-04-18	12
2016-04-19	10
2016-04-20	10
2016-04-21	9
2016-04-22	5
2016-04-23	8
2016-04-24	9
2016-04-25	7
2016-04-26	14
2016-04-27	7
2016-04-28	15
2016-04-29	6
2016-04-30	8
2016-05-01	8
2016-05-02	5
2016-05-03	5
2016-05-04	10
2016-05-05	11
2016-05-06	6
2016-05-07	7
2016-05-08	16
2016-05-09	12
2016-05-10	6
2016-05-11	7
2016-05-12	5
2016-05-13	8
2016-05-14	13
2016-05-15	11
2016-05-16	9
2016-05-17	17
2016-05-18	6
2016-05-19	5
2016-05-20	5
2016-05-21	9
2016-05-22	10
2016-05-23	5
2016-05-24	15
2016-05-25	4
2016-05-26	13
2016-05-27	10
2016-05-28	4
2016-05-29	6
2016-05-30	6
2016-05-31	8
