date	freq
2015-06-01	3
2015-06-02	0
2015-06-03	2
2015-06-04	2
2015-06-05	3
2015-06-06	4
2015-06-07	3
2015-06-08	3
2015-06-09	3
2015-06-10	8
2015-06-11	4
2015-06-12	2
2015-06-13	1
2015-06-14	4
2015-06-15	2
2015-06-16	5
2015-06-17	5
2015-06-18	8
2015-06-19	3
2015-06-20	4
2015-06-21	3
2015-06-22	6
2015-06-23	6
2015-06-24	6
2015-06-25	2
2015-06-26	4
2015-06-27	2
2015-06-28	5
2015-06-29	3
2015-06-30	3
2015-07-01	9
2015-07-02	6
2015-07-03	1
2015-07-04	6
2015-07-05	3
2015-07-06	3
2015-07-07	5
2015-07-08	0
2015-07-09	2
2015-07-10	3
2015-07-11	8
2015-07-12	4
2015-07-13	5
2015-07-14	4
2015-07-15	2
2015-07-16	2
2015-07-17	2
2015-07-18	1
2015-07-19	0
2015-07-20	2
2015-07-21	3
2015-07-22	6
2015-07-23	3
2015-07-24	3
2015-07-25	1
2015-07-26	4
2015-07-27	1
2015-07-28	3
2015-07-29	3
2015-07-30	6
2015-07-31	2
2015-08-01	2
2015-08-02	3
2015-08-03	2
2015-08-04	1
2015-08-05	4
2015-08-06	1
2015-08-07	3
2015-08-08	3
2015-08-09	1
2015-08-10	2
2015-08-11	4
2015-08-12	3
2015-08-13	1
2015-08-14	0
2015-08-15	2
2015-08-16	2
2015-08-17	3
2015-08-18	4
2015-08-19	4
2015-08-20	3
2015-08-21	6
2015-08-22	3
2015-08-23	3
2015-08-24	3
2015-08-25	3
2015-08-26	0
2015-08-27	2
2015-08-28	5
2015-08-29	2
2015-08-30	1
2015-08-31	1
2015-09-01	0
2015-09-02	6
2015-09-03	3
2015-09-04	3
2015-09-05	4
2015-09-06	4
2015-09-07	1
2015-09-08	2
2015-09-09	3
2015-09-10	2
2015-09-11	2
2015-09-12	2
2015-09-13	4
2015-09-14	3
2015-09-15	2
2015-09-16	3
2015-09-17	3
2015-09-18	2
2015-09-19	4
2015-09-20	5
2015-09-21	3
2015-09-22	5
2015-09-23	2
2015-09-24	4
2015-09-25	1
2015-09-26	0
2015-09-27	2
2015-09-28	5
2015-09-29	4
2015-09-30	1
2015-10-01	5
2015-10-02	4
2015-10-03	2
2015-10-04	0
2015-10-05	5
2015-10-06	3
2015-10-07	6
2015-10-08	1
2015-10-09	1
2015-10-10	4
