date	freq
2015-06-01	386
2015-06-02	383
2015-06-03	414
2015-06-04	446
2015-06-05	380
2015-06-06	350
2015-06-07	340
2015-06-08	392
2015-06-09	418
2015-06-10	414
2015-06-11	450
2015-06-12	383
2015-06-13	423
2015-06-14	397
2015-06-15	392
2015-06-16	431
2015-06-17	426
2015-06-18	456
2015-06-19	467
2015-06-20	387
2015-06-21	367
2015-06-22	431
2015-06-23	449
2015-06-24	434
2015-06-25	425
2015-06-26	484
2015-06-27	350
2015-06-28	318
2015-06-29	338
2015-06-30	361
2015-07-01	394
2015-07-02	407
2015-07-03	371
2015-07-04	362
2015-07-05	309
2015-07-06	369
2015-07-07	424
2015-07-08	382
2015-07-09	390
2015-07-10	371
2015-07-11	302
2015-07-12	291
2015-07-13	344
2015-07-14	327
2015-07-15	332
2015-07-16	357
2015-07-17	335
2015-07-18	296
2015-07-19	275
2015-07-20	280
2015-07-21	311
2015-07-22	314
2015-07-23	309
2015-07-24	332
2015-07-25	280
2015-07-26	270
2015-07-27	268
2015-07-28	306
2015-07-29	277
2015-07-30	316
2015-07-31	273
2015-08-01	243
2015-08-02	241
2015-08-03	317
2015-08-04	318
2015-08-05	306
2015-08-06	251
2015-08-07	269
2015-08-08	259
2015-08-09	250
2015-08-10	259
2015-08-11	306
2015-08-12	244
2015-08-13	266
2015-08-14	255
2015-08-15	226
2015-08-16	246
2015-08-17	274
2015-08-18	309
2015-08-19	303
2015-08-20	291
2015-08-21	282
2015-08-22	246
2015-08-23	299
2015-08-24	276
2015-08-25	303
2015-08-26	320
2015-08-27	292
2015-08-28	338
2015-08-29	283
2015-08-30	272
2015-08-31	320
2015-09-01	354
2015-09-02	337
2015-09-03	361
2015-09-04	320
2015-09-05	276
2015-09-06	313
2015-09-07	340
2015-09-08	307
2015-09-09	367
2015-09-10	346
2015-09-11	309
2015-09-12	340
2015-09-13	289
2015-09-14	288
2015-09-15	304
2015-09-16	319
2015-09-17	348
2015-09-18	346
2015-09-19	266
2015-09-20	234
2015-09-21	238
2015-09-22	278
2015-09-23	335
2015-09-24	327
2015-09-25	310
2015-09-26	298
2015-09-27	277
2015-09-28	300
2015-09-29	305
2015-09-30	332
2015-10-01	331
2015-10-02	371
2015-10-03	304
2015-10-04	295
2015-10-05	342
2015-10-06	322
2015-10-07	326
2015-10-08	388
2015-10-09	341
2015-10-10	293
2015-10-11	264
2015-10-12	282
2015-10-13	354
2015-10-14	338
2015-10-15	351
2015-10-16	318
2015-10-17	286
2015-10-18	326
2015-10-19	377
2015-10-20	343
2015-10-21	334
2015-10-22	358
2015-10-23	368
2015-10-24	302
2015-10-25	250
2015-10-26	316
2015-10-27	346
2015-10-28	394
2015-10-29	344
2015-10-30	316
2015-10-31	276
2015-11-01	286
2015-11-02	355
2015-11-03	307
2015-11-04	343
2015-11-05	370
2015-11-06	389
2015-11-07	316
2015-11-08	482
2015-11-09	379
2015-11-10	346
2015-11-11	306
2015-11-12	321
2015-11-13	305
2015-11-14	290
2015-11-15	290
2015-11-16	334
2015-11-17	364
2015-11-18	352
2015-11-19	342
2015-11-20	328
2015-11-21	281
2015-11-22	287
2015-11-23	297
2015-11-24	340
2015-11-25	311
2015-11-26	276
2015-11-27	293
2015-11-28	270
2015-11-29	280
2015-11-30	298
2015-12-01	339
2015-12-02	313
2015-12-03	306
2015-12-04	332
2015-12-05	250
2015-12-06	269
2015-12-07	301
2015-12-08	298
2015-12-09	276
2015-12-10	283
2015-12-11	341
2015-12-12	247
2015-12-13	263
2015-12-14	254
2015-12-15	277
2015-12-16	268
2015-12-17	331
2015-12-18	261
2015-12-19	239
2015-12-20	233
2015-12-21	259
2015-12-22	302
2015-12-23	229
2015-12-24	238
2015-12-25	229
2015-12-26	216
2015-12-27	213
2015-12-28	218
2015-12-29	193
2015-12-30	170
2015-12-31	168
2016-01-01	126
2016-01-02	141
2016-01-03	149
2016-01-04	167
2016-01-05	228
2016-01-06	249
2016-01-07	287
2016-01-08	290
2016-01-09	221
2016-01-10	215
2016-01-11	258
2016-01-12	277
2016-01-13	302
2016-01-14	280
2016-01-15	291
2016-01-16	264
2016-01-17	278
2016-01-18	309
2016-01-19	324
2016-01-20	321
2016-01-21	301
2016-01-22	325
2016-01-23	313
2016-01-24	285
2016-01-25	316
2016-01-26	300
2016-01-27	318
2016-01-28	327
2016-01-29	345
2016-01-30	298
2016-01-31	313
2016-02-01	349
2016-02-02	356
2016-02-03	302
2016-02-04	320
2016-02-05	327
2016-02-06	291
2016-02-07	284
2016-02-08	359
2016-02-09	340
2016-02-10	356
2016-02-11	310
2016-02-12	336
2016-02-13	353
2016-02-14	335
2016-02-15	367
2016-02-16	318
2016-02-17	336
2016-02-18	332
2016-02-19	313
2016-02-20	312
2016-02-21	296
2016-02-22	338
2016-02-23	363
2016-02-24	326
2016-02-25	374
2016-02-26	353
2016-02-27	328
2016-02-28	303
2016-02-29	336
2016-03-01	344
2016-03-02	323
2016-03-03	346
2016-03-04	300
2016-03-05	280
2016-03-06	320
2016-03-07	340
2016-03-08	326
2016-03-09	309
2016-03-10	314
2016-03-11	308
2016-03-12	254
2016-03-13	280
2016-03-14	328
2016-03-15	306
2016-03-16	303
2016-03-17	306
2016-03-18	316
2016-03-19	249
2016-03-20	237
2016-03-21	305
2016-03-22	294
2016-03-23	294
2016-03-24	314
2016-03-25	278
2016-03-26	236
2016-03-27	226
2016-03-28	293
2016-03-29	342
2016-03-30	300
2016-03-31	322
2016-04-01	327
2016-04-02	288
2016-04-03	300
2016-04-04	343
2016-04-05	341
2016-04-06	327
2016-04-07	334
2016-04-08	325
2016-04-09	294
2016-04-10	299
2016-04-11	338
2016-04-12	359
2016-04-13	363
2016-04-14	379
2016-04-15	309
2016-04-16	262
2016-04-17	250
2016-04-18	335
2016-04-19	329
2016-04-20	326
2016-04-21	346
2016-04-22	338
2016-04-23	259
2016-04-24	286
2016-04-25	321
2016-04-26	308
2016-04-27	311
2016-04-28	320
2016-04-29	254
2016-04-30	291
2016-05-01	255
2016-05-02	264
2016-05-03	221
2016-05-04	240
2016-05-05	270
2016-05-06	305
2016-05-07	261
2016-05-08	298
2016-05-09	304
2016-05-10	327
2016-05-11	336
2016-05-12	344
2016-05-13	348
2016-05-14	251
2016-05-15	283
2016-05-16	336
2016-05-17	297
2016-05-18	320
2016-05-19	316
2016-05-20	330
2016-05-21	272
2016-05-22	294
2016-05-23	330
2016-05-24	319
2016-05-25	357
2016-05-26	335
2016-05-27	302
2016-05-28	271
2016-05-29	254
2016-05-30	337
2016-05-31	317
