date	freq
2015-06-01	171
2015-06-02	188
2015-06-03	170
2015-06-04	228
2015-06-05	164
2015-06-06	195
2015-06-07	174
2015-06-08	93
2015-06-09	162
2015-06-10	178
2015-06-11	233
2015-06-12	171
2015-06-13	160
2015-06-14	156
2015-06-15	174
2015-06-16	178
2015-06-17	197
2015-06-18	208
2015-06-19	196
2015-06-20	195
2015-06-21	175
2015-06-22	149
2015-06-23	183
2015-06-24	173
2015-06-25	199
2015-06-26	174
2015-06-27	146
2015-06-28	160
2015-06-29	140
2015-06-30	156
2015-07-01	132
2015-07-02	210
2015-07-03	168
2015-07-04	171
2015-07-05	157
2015-07-06	155
2015-07-07	172
2015-07-08	193
2015-07-09	193
2015-07-10	158
2015-07-11	161
2015-07-12	160
2015-07-13	198
2015-07-14	173
2015-07-15	167
2015-07-16	191
2015-07-17	162
2015-07-18	180
2015-07-19	190
2015-07-20	162
2015-07-21	174
2015-07-22	216
2015-07-23	233
2015-07-24	206
2015-07-25	169
2015-07-26	160
2015-07-27	155
2015-07-28	179
2015-07-29	184
2015-07-30	202
2015-07-31	177
2015-08-01	181
2015-08-02	162
2015-08-03	181
2015-08-04	166
2015-08-05	165
2015-08-06	198
2015-08-07	164
2015-08-08	170
2015-08-09	187
2015-08-10	182
2015-08-11	156
2015-08-12	151
2015-08-13	186
2015-08-14	217
2015-08-15	160
2015-08-16	149
2015-08-17	181
2015-08-18	188
2015-08-19	242
2015-08-20	225
2015-08-21	152
2015-08-22	156
2015-08-23	179
2015-08-24	275
2015-08-25	166
2015-08-26	180
2015-08-27	186
2015-08-28	157
2015-08-29	214
2015-08-30	163
2015-08-31	185
2015-09-01	169
2015-09-02	165
2015-09-03	234
2015-09-04	164
2015-09-05	148
2015-09-06	177
2015-09-07	178
2015-09-08	140
2015-09-09	171
2015-09-10	189
2015-09-11	136
2015-09-12	174
2015-09-13	156
2015-09-14	147
2015-09-15	150
2015-09-16	191
2015-09-17	179
2015-09-18	152
2015-09-19	145
2015-09-20	122
2015-09-21	166
2015-09-22	178
2015-09-23	167
2015-09-24	215
2015-09-25	149
2015-09-26	154
2015-09-27	160
2015-09-28	157
2015-09-29	142
2015-09-30	141
2015-10-01	175
2015-10-02	165
2015-10-03	159
2015-10-04	148
2015-10-05	138
2015-10-06	162
2015-10-07	145
2015-10-08	179
2015-10-09	148
2015-10-10	165
2015-10-11	134
2015-10-12	136
2015-10-13	156
2015-10-14	151
2015-10-15	205
2015-10-16	146
2015-10-17	130
2015-10-18	157
2015-10-19	159
2015-10-20	176
2015-10-21	144
2015-10-22	230
2015-10-23	169
2015-10-24	136
2015-10-25	131
2015-10-26	130
2015-10-27	126
2015-10-28	179
2015-10-29	166
2015-10-30	131
2015-10-31	122
2015-11-01	133
2015-11-02	114
2015-11-03	141
2015-11-04	144
2015-11-05	143
2015-11-06	150
2015-11-07	128
2015-11-08	131
2015-11-09	124
2015-11-10	159
2015-11-11	119
2015-11-12	131
2015-11-13	136
2015-11-14	113
2015-11-15	128
2015-11-16	138
2015-11-17	144
2015-11-18	123
2015-11-19	141
2015-11-20	146
2015-11-21	129
2015-11-22	178
2015-11-23	118
2015-11-24	139
2015-11-25	117
2015-11-26	180
2015-11-27	118
2015-11-28	122
2015-11-29	129
2015-11-30	160
2015-12-01	137
2015-12-02	133
2015-12-03	154
2015-12-04	139
2015-12-05	135
2015-12-06	126
2015-12-07	117
2015-12-08	120
2015-12-09	111
2015-12-10	185
2015-12-11	124
2015-12-12	141
2015-12-13	116
2015-12-14	126
2015-12-15	103
2015-12-16	112
2015-12-17	139
2015-12-18	122
2015-12-19	122
2015-12-20	132
2015-12-21	127
2015-12-22	138
2015-12-23	123
2015-12-24	189
2015-12-25	108
2015-12-26	115
2015-12-27	102
2015-12-28	111
2015-12-29	129
2015-12-30	128
2015-12-31	186
2016-01-01	111
2016-01-02	122
2016-01-03	101
2016-01-04	142
2016-01-05	118
2016-01-06	140
2016-01-07	224
2016-01-08	117
2016-01-09	132
2016-01-10	140
2016-01-11	133
2016-01-12	114
2016-01-13	137
2016-01-14	133
2016-01-15	106
2016-01-16	132
2016-01-17	136
2016-01-18	161
2016-01-19	134
2016-01-20	140
2016-01-21	168
2016-01-22	131
2016-01-23	193
2016-01-24	205
2016-01-25	136
2016-01-26	149
2016-01-27	146
2016-01-28	203
2016-01-29	151
2016-01-30	152
2016-01-31	130
