date	freq
2015-06-01	11
2015-06-02	10
2015-06-03	7
2015-06-04	2
2015-06-05	11
2015-06-06	10
2015-06-07	12
2015-06-08	10
2015-06-09	6
2015-06-10	4
2015-06-11	8
2015-06-12	12
2015-06-13	10
2015-06-14	7
2015-06-15	8
2015-06-16	20
2015-06-17	7
2015-06-18	14
2015-06-19	13
2015-06-20	8
2015-06-21	10
2015-06-22	12
2015-06-23	7
2015-06-24	11
2015-06-25	5
2015-06-26	8
2015-06-27	5
2015-06-28	13
2015-06-29	6
2015-06-30	6
2015-07-01	17
2015-07-02	10
2015-07-03	8
2015-07-04	19
2015-07-05	14
2015-07-06	11
2015-07-07	5
2015-07-08	16
2015-07-09	5
2015-07-10	7
2015-07-11	7
2015-07-12	2
2015-07-13	11
2015-07-14	5
2015-07-15	10
2015-07-16	13
2015-07-17	12
2015-07-18	5
2015-07-19	10
2015-07-20	12
2015-07-21	10
2015-07-22	9
2015-07-23	4
2015-07-24	7
2015-07-25	8
2015-07-26	11
2015-07-27	9
2015-07-28	7
2015-07-29	11
2015-07-30	13
2015-07-31	10
2015-08-01	11
2015-08-02	10
2015-08-03	12
2015-08-04	4
2015-08-05	13
2015-08-06	14
2015-08-07	16
2015-08-08	3
2015-08-09	16
2015-08-10	6
2015-08-11	11
2015-08-12	13
2015-08-13	11
2015-08-14	16
2015-08-15	10
2015-08-16	21
2015-08-17	7
2015-08-18	15
2015-08-19	10
2015-08-20	14
2015-08-21	18
2015-08-22	25
2015-08-23	18
2015-08-24	13
2015-08-25	13
2015-08-26	19
2015-08-27	18
2015-08-28	18
2015-08-29	18
2015-08-30	17
2015-08-31	13
2015-09-01	17
2015-09-02	15
2015-09-03	11
2015-09-04	14
2015-09-05	10
2015-09-06	18
2015-09-07	12
2015-09-08	9
2015-09-09	12
2015-09-10	12
2015-09-11	29
2015-09-12	8
2015-09-13	16
2015-09-14	8
2015-09-15	14
2015-09-16	19
2015-09-17	15
2015-09-18	12
2015-09-19	10
2015-09-20	10
2015-09-21	20
2015-09-22	21
2015-09-23	13
2015-09-24	10
2015-09-25	14
2015-09-26	11
2015-09-27	24
2015-09-28	13
2015-09-29	16
2015-09-30	27
2015-10-01	13
2015-10-02	9
2015-10-03	8
2015-10-04	15
2015-10-05	8
2015-10-06	18
2015-10-07	10
2015-10-08	10
2015-10-09	10
2015-10-10	11
2015-10-11	16
2015-10-12	10
2015-10-13	10
2015-10-14	4
