date	freq
2015-06-01	10
2015-06-02	4
2015-06-03	14
2015-06-04	14
2015-06-05	11
2015-06-06	16
2015-06-07	3
2015-06-08	15
2015-06-09	7
2015-06-10	15
2015-06-11	13
2015-06-12	6
2015-06-13	10
2015-06-14	17
2015-06-15	17
2015-06-16	8
2015-06-17	15
2015-06-18	20
2015-06-19	7
2015-06-20	8
2015-06-21	12
2015-06-22	9
2015-06-23	12
2015-06-24	4
2015-06-25	10
2015-06-26	7
2015-06-27	12
2015-06-28	13
2015-06-29	9
2015-06-30	16
2015-07-01	10
2015-07-02	9
2015-07-03	3
2015-07-04	12
2015-07-05	6
2015-07-06	9
2015-07-07	6
2015-07-08	5
2015-07-09	14
2015-07-10	11
2015-07-11	12
2015-07-12	11
2015-07-13	15
2015-07-14	10
2015-07-15	6
2015-07-16	6
2015-07-17	17
2015-07-18	13
2015-07-19	11
2015-07-20	15
2015-07-21	10
2015-07-22	12
2015-07-23	5
2015-07-24	7
2015-07-25	4
2015-07-26	4
2015-07-27	6
2015-07-28	10
2015-07-29	11
2015-07-30	5
2015-07-31	9
2015-08-01	3
2015-08-02	7
2015-08-03	7
2015-08-04	6
2015-08-05	11
2015-08-06	7
2015-08-07	11
2015-08-08	11
2015-08-09	11
2015-08-10	8
2015-08-11	15
2015-08-12	8
2015-08-13	8
2015-08-14	17
2015-08-15	7
2015-08-16	8
2015-08-17	8
2015-08-18	8
2015-08-19	10
2015-08-20	11
2015-08-21	9
2015-08-22	7
2015-08-23	5
2015-08-24	4
2015-08-25	7
2015-08-26	17
2015-08-27	10
2015-08-28	8
2015-08-29	18
2015-08-30	12
2015-08-31	4
2015-09-01	7
2015-09-02	10
2015-09-03	12
2015-09-04	8
2015-09-05	7
2015-09-06	9
2015-09-07	8
2015-09-08	10
2015-09-09	8
2015-09-10	9
2015-09-11	9
2015-09-12	6
2015-09-13	5
2015-09-14	10
2015-09-15	7
2015-09-16	9
2015-09-17	5
2015-09-18	10
2015-09-19	13
2015-09-20	9
2015-09-21	8
2015-09-22	4
2015-09-23	8
2015-09-24	9
2015-09-25	12
2015-09-26	8
2015-09-27	12
2015-09-28	8
2015-09-29	14
2015-09-30	9
2015-10-01	10
2015-10-02	11
2015-10-03	13
2015-10-04	7
2015-10-05	9
2015-10-06	6
2015-10-07	8
2015-10-08	9
2015-10-09	7
2015-10-10	9
2015-10-11	8
2015-10-12	13
2015-10-13	12
2015-10-14	5
2015-10-15	12
2015-10-16	5
2015-10-17	7
2015-10-18	7
2015-10-19	5
2015-10-20	10
2015-10-21	6
2015-10-22	8
2015-10-23	9
2015-10-24	6
2015-10-25	7
2015-10-26	10
2015-10-27	9
2015-10-28	4
2015-10-29	9
2015-10-30	11
2015-10-31	8
2015-11-01	8
2015-11-02	12
2015-11-03	11
2015-11-04	14
2015-11-05	7
2015-11-06	12
2015-11-07	7
2015-11-08	10
2015-11-09	5
2015-11-10	19
2015-11-11	31
2015-11-12	12
2015-11-13	25
2015-11-14	11
2015-11-15	20
2015-11-16	24
2015-11-17	8
2015-11-18	17
2015-11-19	24
2015-11-20	18
2015-11-21	9
2015-11-22	10
2015-11-23	9
2015-11-24	16
2015-11-25	6
2015-11-26	16
2015-11-27	11
2015-11-28	12
2015-11-29	13
2015-11-30	22
2015-12-01	12
2015-12-02	14
2015-12-03	16
2015-12-04	4
2015-12-05	16
2015-12-06	12
2015-12-07	7
2015-12-08	13
2015-12-09	16
2015-12-10	7
2015-12-11	11
2015-12-12	17
2015-12-13	16
2015-12-14	10
2015-12-15	12
2015-12-16	8
2015-12-17	14
2015-12-18	12
2015-12-19	14
2015-12-20	15
2015-12-21	10
2015-12-22	7
2015-12-23	8
2015-12-24	16
2015-12-25	9
2015-12-26	6
2015-12-27	7
2015-12-28	12
2015-12-29	7
2015-12-30	9
2015-12-31	9
2016-01-01	1
2016-01-02	8
2016-01-03	14
2016-01-04	11
2016-01-05	15
2016-01-06	14
2016-01-07	15
2016-01-08	19
2016-01-09	12
2016-01-10	11
2016-01-11	13
2016-01-12	12
2016-01-13	14
2016-01-14	7
2016-01-15	16
2016-01-16	8
2016-01-17	20
2016-01-18	7
2016-01-19	19
2016-01-20	16
2016-01-21	14
2016-01-22	6
2016-01-23	9
2016-01-24	9
2016-01-25	20
2016-01-26	8
2016-01-27	12
2016-01-28	10
2016-01-29	11
2016-01-30	19
2016-01-31	13
2016-02-01	8
2016-02-02	12
2016-02-03	8
2016-02-04	13
2016-02-05	22
2016-02-06	19
2016-02-07	13
2016-02-08	23
2016-02-09	17
2016-02-10	9
2016-02-11	12
2016-02-12	16
2016-02-13	14
2016-02-14	6
2016-02-15	12
2016-02-16	8
2016-02-17	8
2016-02-18	13
2016-02-19	7
2016-02-20	14
2016-02-21	18
2016-02-22	24
2016-02-23	12
2016-02-24	9
2016-02-25	15
2016-02-26	9
2016-02-27	8
2016-02-28	6
2016-02-29	17
2016-03-01	10
2016-03-02	12
2016-03-03	14
2016-03-04	14
2016-03-05	6
2016-03-06	13
2016-03-07	13
2016-03-08	10
2016-03-09	13
2016-03-10	11
2016-03-11	7
2016-03-12	14
2016-03-13	18
2016-03-14	10
2016-03-15	9
2016-03-16	13
2016-03-17	7
2016-03-18	12
2016-03-19	12
2016-03-20	10
2016-03-21	9
2016-03-22	16
2016-03-23	12
2016-03-24	13
2016-03-25	9
2016-03-26	7
2016-03-27	7
2016-03-28	10
2016-03-29	8
2016-03-30	10
2016-03-31	12
2016-04-01	6
2016-04-02	3
2016-04-03	11
2016-04-04	14
2016-04-05	8
2016-04-06	13
2016-04-07	6
2016-04-08	13
2016-04-09	9
2016-04-10	11
2016-04-11	8
2016-04-12	5
2016-04-13	9
2016-04-14	8
2016-04-15	13
2016-04-16	7
2016-04-17	20
2016-04-18	4
2016-04-19	2
2016-04-20	9
2016-04-21	9
2016-04-22	11
2016-04-23	8
2016-04-24	11
2016-04-25	6
2016-04-26	8
2016-04-27	5
2016-04-28	14
2016-04-29	14
2016-04-30	10
2016-05-01	8
2016-05-02	4
2016-05-03	10
2016-05-04	11
2016-05-05	7
2016-05-06	8
2016-05-07	12
2016-05-08	9
2016-05-09	21
2016-05-10	6
2016-05-11	7
2016-05-12	10
2016-05-13	14
2016-05-14	12
2016-05-15	11
2016-05-16	5
2016-05-17	13
2016-05-18	12
2016-05-19	12
2016-05-20	12
2016-05-21	6
2016-05-22	11
2016-05-23	6
2016-05-24	17
2016-05-25	20
2016-05-26	10
2016-05-27	4
2016-05-28	5
2016-05-29	23
2016-05-30	13
2016-05-31	9
