date	freq
2015-06-01	600
2015-06-02	635
2015-06-03	555
2015-06-04	579
2015-06-05	601
2015-06-06	450
2015-06-07	545
2015-06-08	533
2015-06-09	547
2015-06-10	585
2015-06-11	527
2015-06-12	498
2015-06-13	452
2015-06-14	479
2015-06-15	559
2015-06-16	502
2015-06-17	548
2015-06-18	559
2015-06-19	547
2015-06-20	441
2015-06-21	482
2015-06-22	514
2015-06-23	554
2015-06-24	516
2015-06-25	537
2015-06-26	513
2015-06-27	421
2015-06-28	456
2015-06-29	512
2015-06-30	483
2015-07-01	482
2015-07-02	532
2015-07-03	500
2015-07-04	384
2015-07-05	427
2015-07-06	505
2015-07-07	464
2015-07-08	456
2015-07-09	543
2015-07-10	509
2015-07-11	393
2015-07-12	467
2015-07-13	498
2015-07-14	492
2015-07-15	486
2015-07-16	502
2015-07-17	446
2015-07-18	398
2015-07-19	378
2015-07-20	442
2015-07-21	466
2015-07-22	461
2015-07-23	451
2015-07-24	434
2015-07-25	393
2015-07-26	378
2015-07-27	430
2015-07-28	461
2015-07-29	459
2015-07-30	427
2015-07-31	431
2015-08-01	321
2015-08-02	368
2015-08-03	456
2015-08-04	438
2015-08-05	396
2015-08-06	384
2015-08-07	376
2015-08-08	373
2015-08-09	370
2015-08-10	408
2015-08-11	386
2015-08-12	385
2015-08-13	374
2015-08-14	356
2015-08-15	339
2015-08-16	413
2015-08-17	395
2015-08-18	440
2015-08-19	446
2015-08-20	486
2015-08-21	486
2015-08-22	411
2015-08-23	392
2015-08-24	388
2015-08-25	486
2015-08-26	475
2015-08-27	481
2015-08-28	474
2015-08-29	373
2015-08-30	403
2015-08-31	501
2015-09-01	492
2015-09-02	514
2015-09-03	563
2015-09-04	544
2015-09-05	489
2015-09-06	484
2015-09-07	561
2015-09-08	533
2015-09-09	558
2015-09-10	469
2015-09-11	448
2015-09-12	427
2015-09-13	441
2015-09-14	460
2015-09-15	498
2015-09-16	495
2015-09-17	483
2015-09-18	451
2015-09-19	440
2015-09-20	428
2015-09-21	487
2015-09-22	460
2015-09-23	525
2015-09-24	529
2015-09-25	591
2015-09-26	462
2015-09-27	544
2015-09-28	494
2015-09-29	512
2015-09-30	551
2015-10-01	532
2015-10-02	559
2015-10-03	490
2015-10-04	513
2015-10-05	611
2015-10-06	555
2015-10-07	547
2015-10-08	539
2015-10-09	536
2015-10-10	438
2015-10-11	476
2015-10-12	499
2015-10-13	531
2015-10-14	601
2015-10-15	529
2015-10-16	568
2015-10-17	524
2015-10-18	525
2015-10-19	641
2015-10-20	536
2015-10-21	584
2015-10-22	587
2015-10-23	514
2015-10-24	452
2015-10-25	496
