date	freq
2015-06-01	410
2015-06-02	390
2015-06-03	404
2015-06-04	461
2015-06-05	415
2015-06-06	466
2015-06-07	405
2015-06-08	390
2015-06-09	168
2015-06-10	579
2015-06-11	425
2015-06-12	374
2015-06-13	462
2015-06-14	462
2015-06-15	415
2015-06-16	386
2015-06-17	398
2015-06-18	513
2015-06-19	412
2015-06-20	487
2015-06-21	397
2015-06-22	409
2015-06-23	464
2015-06-24	445
2015-06-25	399
2015-06-26	392
2015-06-27	371
2015-06-28	417
2015-06-29	393
2015-06-30	375
2015-07-01	394
2015-07-02	389
2015-07-03	391
2015-07-04	380
2015-07-05	459
2015-07-06	430
2015-07-07	415
2015-07-08	383
2015-07-09	490
2015-07-10	412
2015-07-11	409
2015-07-12	386
2015-07-13	418
2015-07-14	431
2015-07-15	461
2015-07-16	438
2015-07-17	407
2015-07-18	454
2015-07-19	458
2015-07-20	427
2015-07-21	472
2015-07-22	442
2015-07-23	459
2015-07-24	478
2015-07-25	419
2015-07-26	425
2015-07-27	450
2015-07-28	457
2015-07-29	435
2015-07-30	470
2015-07-31	464
2015-08-01	416
2015-08-02	384
2015-08-03	390
2015-08-04	458
2015-08-05	416
2015-08-06	444
2015-08-07	390
2015-08-08	437
2015-08-09	486
2015-08-10	415
2015-08-11	400
2015-08-12	404
2015-08-13	450
2015-08-14	419
2015-08-15	414
2015-08-16	428
2015-08-17	415
2015-08-18	440
2015-08-19	414
2015-08-20	414
2015-08-21	419
2015-08-22	423
2015-08-23	417
2015-08-24	415
2015-08-25	449
2015-08-26	426
2015-08-27	431
2015-08-28	691
2015-08-29	498
2015-08-30	430
2015-08-31	442
2015-09-01	458
2015-09-02	420
2015-09-03	434
2015-09-04	391
2015-09-05	436
2015-09-06	399
2015-09-07	404
2015-09-08	454
2015-09-09	388
2015-09-10	408
2015-09-11	354
2015-09-12	344
2015-09-13	393
2015-09-14	388
2015-09-15	360
2015-09-16	373
2015-09-17	410
2015-09-18	362
2015-09-19	368
2015-09-20	394
2015-09-21	407
2015-09-22	426
2015-09-23	420
2015-09-24	511
2015-09-25	387
2015-09-26	382
2015-09-27	418
2015-09-28	358
2015-09-29	368
2015-09-30	335
2015-10-01	348
2015-10-02	732
2015-10-03	525
2015-10-04	329
2015-10-05	324
2015-10-06	447
