date	freq
2015-06-01	500
2015-06-02	508
2015-06-03	497
2015-06-04	530
2015-06-05	483
2015-06-06	409
2015-06-07	363
2015-06-08	492
2015-06-09	502
2015-06-10	494
2015-06-11	450
2015-06-12	485
2015-06-13	360
2015-06-14	411
2015-06-15	443
2015-06-16	465
2015-06-17	460
2015-06-18	469
2015-06-19	444
2015-06-20	351
2015-06-21	371
2015-06-22	438
2015-06-23	441
2015-06-24	421
2015-06-25	407
2015-06-26	409
2015-06-27	366
2015-06-28	335
2015-06-29	424
2015-06-30	426
2015-07-01	444
2015-07-02	432
2015-07-03	425
2015-07-04	342
2015-07-05	351
2015-07-06	445
2015-07-07	415
2015-07-08	425
2015-07-09	370
2015-07-10	380
2015-07-11	327
2015-07-12	342
2015-07-13	381
2015-07-14	396
2015-07-15	367
2015-07-16	382
2015-07-17	400
2015-07-18	306
2015-07-19	280
2015-07-20	348
2015-07-21	412
2015-07-22	374
2015-07-23	370
2015-07-24	339
2015-07-25	301
2015-07-26	273
2015-07-27	349
2015-07-28	359
2015-07-29	361
2015-07-30	351
2015-07-31	334
2015-08-01	295
2015-08-02	302
2015-08-03	334
2015-08-04	359
2015-08-05	350
2015-08-06	357
2015-08-07	325
2015-08-08	309
2015-08-09	278
2015-08-10	382
2015-08-11	346
2015-08-12	311
2015-08-13	307
2015-08-14	271
2015-08-15	282
2015-08-16	274
2015-08-17	369
2015-08-18	343
2015-08-19	369
2015-08-20	359
2015-08-21	373
2015-08-22	326
2015-08-23	323
2015-08-24	391
2015-08-25	361
2015-08-26	382
2015-08-27	389
2015-08-28	345
2015-08-29	312
2015-08-30	369
2015-08-31	454
2015-09-01	460
2015-09-02	509
2015-09-03	479
2015-09-04	430
2015-09-05	353
2015-09-06	382
2015-09-07	492
2015-09-08	485
2015-09-09	517
2015-09-10	417
2015-09-11	469
2015-09-12	364
2015-09-13	406
2015-09-14	490
2015-09-15	478
2015-09-16	535
2015-09-17	511
2015-09-18	471
2015-09-19	411
2015-09-20	352
2015-09-21	387
2015-09-22	373
2015-09-23	396
2015-09-24	510
2015-09-25	486
2015-09-26	398
2015-09-27	416
2015-09-28	499
2015-09-29	463
2015-09-30	494
2015-10-01	533
2015-10-02	526
2015-10-03	411
2015-10-04	439
2015-10-05	518
2015-10-06	536
2015-10-07	484
2015-10-08	524
2015-10-09	549
2015-10-10	440
2015-10-11	454
2015-10-12	487
2015-10-13	503
2015-10-14	489
2015-10-15	533
2015-10-16	515
2015-10-17	459
2015-10-18	468
2015-10-19	596
2015-10-20	525
2015-10-21	536
2015-10-22	521
2015-10-23	525
2015-10-24	411
2015-10-25	431
2015-10-26	531
2015-10-27	571
2015-10-28	526
2015-10-29	518
2015-10-30	431
2015-10-31	407
2015-11-01	399
2015-11-02	478
2015-11-03	473
2015-11-04	510
2015-11-05	520
2015-11-06	629
2015-11-07	505
2015-11-08	741
2015-11-09	577
2015-11-10	583
2015-11-11	530
2015-11-12	540
2015-11-13	546
2015-11-14	413
2015-11-15	439
2015-11-16	561
2015-11-17	585
2015-11-18	548
2015-11-19	556
2015-11-20	523
2015-11-21	415
2015-11-22	384
2015-11-23	492
2015-11-24	565
2015-11-25	553
2015-11-26	494
2015-11-27	527
2015-11-28	419
2015-11-29	436
2015-11-30	574
2015-12-01	608
2015-12-02	548
2015-12-03	622
2015-12-04	498
2015-12-05	455
2015-12-06	459
2015-12-07	518
2015-12-08	532
2015-12-09	530
2015-12-10	516
2015-12-11	539
2015-12-12	416
2015-12-13	416
2015-12-14	571
2015-12-15	534
2015-12-16	510
2015-12-17	473
2015-12-18	452
2015-12-19	423
2015-12-20	397
2015-12-21	537
2015-12-22	479
2015-12-23	400
2015-12-24	369
2015-12-25	284
2015-12-26	362
2015-12-27	390
2015-12-28	404
2015-12-29	501
2015-12-30	596
2015-12-31	757
2016-01-01	866
2016-01-02	753
2016-01-03	599
2016-01-04	581
2016-01-05	570
2016-01-06	533
2016-01-07	553
2016-01-08	558
2016-01-09	494
2016-01-10	473
2016-01-11	480
2016-01-12	582
2016-01-13	534
2016-01-14	513
2016-01-15	493
2016-01-16	418
2016-01-17	500
2016-01-18	543
2016-01-19	554
2016-01-20	526
2016-01-21	517
2016-01-22	521
2016-01-23	414
2016-01-24	433
2016-01-25	497
2016-01-26	465
2016-01-27	487
2016-01-28	459
2016-01-29	473
2016-01-30	429
2016-01-31	540
2016-02-01	552
2016-02-02	596
2016-02-03	505
2016-02-04	552
2016-02-05	553
2016-02-06	460
2016-02-07	424
2016-02-08	499
2016-02-09	460
2016-02-10	500
2016-02-11	467
2016-02-12	477
2016-02-13	416
2016-02-14	457
2016-02-15	525
2016-02-16	467
2016-02-17	473
2016-02-18	549
2016-02-19	493
2016-02-20	476
2016-02-21	398
2016-02-22	467
2016-02-23	463
2016-02-24	543
2016-02-25	453
2016-02-26	455
2016-02-27	411
2016-02-28	365
2016-02-29	486
2016-03-01	444
2016-03-02	453
2016-03-03	466
2016-03-04	425
2016-03-05	325
2016-03-06	409
2016-03-07	445
2016-03-08	445
2016-03-09	436
2016-03-10	412
2016-03-11	382
2016-03-12	351
2016-03-13	384
2016-03-14	469
2016-03-15	417
2016-03-16	408
2016-03-17	427
2016-03-18	387
2016-03-19	320
2016-03-20	326
2016-03-21	373
2016-03-22	421
2016-03-23	407
2016-03-24	424
2016-03-25	365
2016-03-26	359
2016-03-27	333
2016-03-28	407
2016-03-29	418
2016-03-30	425
2016-03-31	411
2016-04-01	377
2016-04-02	362
2016-04-03	372
2016-04-04	450
2016-04-05	447
2016-04-06	474
2016-04-07	399
2016-04-08	409
2016-04-09	371
2016-04-10	390
2016-04-11	447
2016-04-12	479
2016-04-13	464
2016-04-14	418
2016-04-15	409
2016-04-16	287
2016-04-17	388
2016-04-18	404
2016-04-19	423
2016-04-20	430
2016-04-21	509
2016-04-22	437
2016-04-23	334
2016-04-24	415
2016-04-25	499
2016-04-26	411
2016-04-27	497
2016-04-28	424
2016-04-29	342
2016-04-30	326
2016-05-01	313
2016-05-02	347
2016-05-03	311
2016-05-04	313
2016-05-05	348
2016-05-06	392
2016-05-07	359
2016-05-08	376
2016-05-09	457
2016-05-10	473
2016-05-11	473
2016-05-12	519
2016-05-13	439
2016-05-14	368
2016-05-15	483
2016-05-16	472
2016-05-17	477
2016-05-18	444
2016-05-19	422
2016-05-20	451
2016-05-21	440
2016-05-22	406
2016-05-23	461
2016-05-24	517
2016-05-25	454
2016-05-26	428
2016-05-27	510
2016-05-28	421
2016-05-29	456
2016-05-30	576
2016-05-31	461
