date	freq
2015-06-01	126
2015-06-02	135
2015-06-03	113
2015-06-04	127
2015-06-05	98
2015-06-06	114
2015-06-07	148
2015-06-08	126
2015-06-09	155
2015-06-10	111
2015-06-11	128
2015-06-12	137
2015-06-13	111
2015-06-14	121
2015-06-15	128
2015-06-16	137
2015-06-17	119
2015-06-18	132
2015-06-19	123
2015-06-20	118
2015-06-21	106
2015-06-22	121
2015-06-23	129
2015-06-24	125
2015-06-25	107
2015-06-26	133
2015-06-27	123
2015-06-28	117
2015-06-29	125
2015-06-30	104
2015-07-01	95
2015-07-02	104
2015-07-03	117
2015-07-04	106
2015-07-05	95
2015-07-06	117
2015-07-07	97
2015-07-08	111
2015-07-09	99
2015-07-10	142
2015-07-11	107
2015-07-12	130
2015-07-13	146
2015-07-14	121
2015-07-15	115
2015-07-16	111
2015-07-17	101
2015-07-18	121
2015-07-19	101
2015-07-20	115
2015-07-21	109
2015-07-22	121
2015-07-23	114
2015-07-24	110
2015-07-25	119
2015-07-26	128
2015-07-27	117
2015-07-28	101
2015-07-29	104
2015-07-30	141
2015-07-31	118
2015-08-01	119
2015-08-02	78
2015-08-03	99
2015-08-04	96
2015-08-05	127
2015-08-06	101
2015-08-07	95
2015-08-08	129
2015-08-09	117
2015-08-10	109
2015-08-11	112
2015-08-12	92
2015-08-13	91
2015-08-14	102
2015-08-15	99
2015-08-16	122
2015-08-17	150
2015-08-18	125
2015-08-19	118
2015-08-20	95
2015-08-21	114
2015-08-22	100
2015-08-23	148
2015-08-24	161
2015-08-25	179
2015-08-26	133
2015-08-27	114
2015-08-28	126
2015-08-29	130
2015-08-30	112
2015-08-31	137
2015-09-01	99
2015-09-02	111
2015-09-03	113
2015-09-04	133
2015-09-05	139
2015-09-06	99
2015-09-07	106
2015-09-08	115
2015-09-09	115
2015-09-10	96
2015-09-11	90
2015-09-12	91
2015-09-13	100
2015-09-14	81
2015-09-15	110
2015-09-16	105
2015-09-17	104
2015-09-18	101
2015-09-19	110
2015-09-20	100
2015-09-21	111
2015-09-22	104
2015-09-23	137
2015-09-24	116
2015-09-25	76
2015-09-26	120
2015-09-27	129
2015-09-28	123
2015-09-29	107
2015-09-30	84
2015-10-01	93
2015-10-02	85
2015-10-03	250
2015-10-04	84
2015-10-05	85
2015-10-06	83
2015-10-07	98
2015-10-08	78
2015-10-09	67
2015-10-10	59
2015-10-11	81
2015-10-12	98
2015-10-13	89
2015-10-14	83
2015-10-15	89
2015-10-16	100
2015-10-17	90
2015-10-18	92
2015-10-19	108
2015-10-20	84
2015-10-21	89
2015-10-22	108
2015-10-23	65
2015-10-24	61
2015-10-25	80
2015-10-26	91
2015-10-27	111
2015-10-28	121
2015-10-29	75
2015-10-30	90
2015-10-31	51
2015-11-01	200
2015-11-02	87
2015-11-03	120
2015-11-04	99
2015-11-05	95
2015-11-06	62
2015-11-07	84
2015-11-08	107
2015-11-09	81
2015-11-10	69
2015-11-11	82
2015-11-12	82
2015-11-13	63
2015-11-14	110
2015-11-15	97
2015-11-16	67
2015-11-17	91
2015-11-18	97
2015-11-19	81
2015-11-20	78
2015-11-21	100
2015-11-22	78
2015-11-23	92
2015-11-24	135
2015-11-25	111
2015-11-26	74
2015-11-27	72
2015-11-28	76
2015-11-29	88
2015-11-30	93
2015-12-01	84
2015-12-02	85
2015-12-03	81
2015-12-04	83
2015-12-05	86
2015-12-06	101
2015-12-07	68
2015-12-08	83
2015-12-09	79
2015-12-10	84
2015-12-11	106
2015-12-12	88
2015-12-13	84
2015-12-14	89
2015-12-15	72
2015-12-16	90
2015-12-17	86
2015-12-18	95
2015-12-19	87
2015-12-20	97
2015-12-21	76
2015-12-22	85
2015-12-23	89
2015-12-24	70
2015-12-25	69
2015-12-26	71
2015-12-27	71
2015-12-28	66
2015-12-29	83
2015-12-30	64
2015-12-31	89
2016-01-01	51
2016-01-02	63
2016-01-03	82
2016-01-04	73
2016-01-05	95
2016-01-06	76
2016-01-07	80
2016-01-08	102
2016-01-09	61
2016-01-10	76
2016-01-11	172
2016-01-12	75
2016-01-13	95
2016-01-14	93
2016-01-15	86
2016-01-16	73
2016-01-17	58
2016-01-18	73
2016-01-19	68
2016-01-20	58
2016-01-21	67
2016-01-22	55
2016-01-23	71
2016-01-24	76
2016-01-25	88
2016-01-26	80
2016-01-27	60
2016-01-28	75
2016-01-29	65
2016-01-30	82
2016-01-31	101
2016-02-01	77
2016-02-02	70
2016-02-03	72
2016-02-04	235
2016-02-05	66
2016-02-06	83
2016-02-07	86
2016-02-08	59
2016-02-09	78
2016-02-10	66
2016-02-11	63
2016-02-12	71
2016-02-13	82
2016-02-14	70
2016-02-15	57
2016-02-16	66
2016-02-17	78
2016-02-18	57
2016-02-19	57
2016-02-20	69
2016-02-21	85
2016-02-22	63
2016-02-23	71
2016-02-24	56
2016-02-25	56
2016-02-26	61
2016-02-27	74
2016-02-28	78
2016-02-29	61
2016-03-01	60
2016-03-02	70
2016-03-03	64
2016-03-04	71
2016-03-05	55
2016-03-06	51
2016-03-07	69
2016-03-08	61
2016-03-09	69
2016-03-10	75
2016-03-11	73
2016-03-12	47
2016-03-13	79
2016-03-14	77
2016-03-15	62
2016-03-16	63
2016-03-17	94
2016-03-18	67
2016-03-19	59
2016-03-20	50
2016-03-21	72
2016-03-22	70
2016-03-23	63
2016-03-24	78
2016-03-25	48
2016-03-26	52
2016-03-27	52
2016-03-28	46
2016-03-29	74
2016-03-30	73
2016-03-31	58
2016-04-01	43
2016-04-02	78
2016-04-03	60
2016-04-04	81
2016-04-05	90
2016-04-06	117
2016-04-07	123
2016-04-08	107
2016-04-09	102
2016-04-10	166
2016-04-11	144
2016-04-12	108
2016-04-13	128
2016-04-14	155
2016-04-15	114
2016-04-16	121
2016-04-17	123
2016-04-18	78
2016-04-19	291
2016-04-20	115
2016-04-21	89
2016-04-22	82
2016-04-23	115
2016-04-24	115
2016-04-25	78
2016-04-26	71
2016-04-27	84
2016-04-28	125
2016-04-29	127
2016-04-30	134
2016-05-01	81
2016-05-02	66
2016-05-03	77
2016-05-04	72
2016-05-05	78
2016-05-06	91
2016-05-07	102
2016-05-08	289
2016-05-09	107
2016-05-10	81
2016-05-11	156
2016-05-12	132
2016-05-13	134
2016-05-14	120
2016-05-15	265
2016-05-16	99
2016-05-17	101
2016-05-18	108
2016-05-19	109
2016-05-20	108
2016-05-21	156
2016-05-22	137
2016-05-23	143
2016-05-24	126
2016-05-25	122
2016-05-26	95
2016-05-27	94
2016-05-28	94
2016-05-29	134
2016-05-30	149
2016-05-31	116
