date	freq
2015-06-01	83
2015-06-02	96
2015-06-03	85
2015-06-04	91
2015-06-05	93
2015-06-06	76
2015-06-07	97
2015-06-08	97
2015-06-09	45
2015-06-10	50
2015-06-11	100
2015-06-12	106
2015-06-13	100
2015-06-14	132
2015-06-15	120
2015-06-16	100
2015-06-17	84
2015-06-18	108
2015-06-19	77
2015-06-20	100
2015-06-21	70
2015-06-22	104
2015-06-23	60
2015-06-24	92
2015-06-25	132
2015-06-26	100
2015-06-27	90
2015-06-28	76
2015-06-29	76
2015-06-30	90
2015-07-01	91
2015-07-02	74
2015-07-03	114
2015-07-04	65
2015-07-05	80
2015-07-06	73
2015-07-07	68
2015-07-08	85
2015-07-09	74
2015-07-10	83
2015-07-11	73
2015-07-12	79
2015-07-13	69
2015-07-14	67
2015-07-15	68
2015-07-16	83
2015-07-17	87
2015-07-18	61
2015-07-19	79
2015-07-20	74
2015-07-21	83
2015-07-22	73
2015-07-23	72
2015-07-24	58
2015-07-25	54
2015-07-26	50
2015-07-27	87
2015-07-28	68
2015-07-29	105
2015-07-30	110
2015-07-31	73
2015-08-01	60
2015-08-02	69
2015-08-03	60
2015-08-04	91
2015-08-05	83
2015-08-06	108
2015-08-07	86
2015-08-08	72
2015-08-09	73
2015-08-10	55
2015-08-11	54
2015-08-12	65
2015-08-13	55
2015-08-14	86
2015-08-15	56
2015-08-16	61
2015-08-17	63
2015-08-18	63
2015-08-19	58
2015-08-20	82
2015-08-21	54
2015-08-22	65
2015-08-23	75
2015-08-24	64
2015-08-25	53
2015-08-26	60
2015-08-27	57
2015-08-28	58
2015-08-29	52
2015-08-30	70
2015-08-31	36
2015-09-01	52
2015-09-02	59
2015-09-03	66
2015-09-04	115
2015-09-05	57
2015-09-06	58
2015-09-07	62
2015-09-08	45
2015-09-09	50
2015-09-10	37
2015-09-11	72
2015-09-12	51
2015-09-13	59
2015-09-14	49
2015-09-15	61
2015-09-16	59
2015-09-17	48
2015-09-18	56
2015-09-19	59
2015-09-20	64
2015-09-21	43
2015-09-22	69
2015-09-23	39
2015-09-24	66
2015-09-25	80
2015-09-26	45
2015-09-27	65
2015-09-28	66
2015-09-29	40
2015-09-30	45
2015-10-01	43
2015-10-02	48
2015-10-03	39
2015-10-04	42
2015-10-05	59
2015-10-06	61
2015-10-07	54
2015-10-08	49
2015-10-09	36
2015-10-10	39
2015-10-11	42
2015-10-12	48
2015-10-13	58
2015-10-14	18
2015-10-15	43
2015-10-16	45
2015-10-17	46
2015-10-18	38
2015-10-19	56
2015-10-20	53
2015-10-21	50
2015-10-22	37
2015-10-23	63
2015-10-24	60
2015-10-25	56
2015-10-26	42
2015-10-27	44
2015-10-28	47
2015-10-29	43
2015-10-30	44
2015-10-31	44
2015-11-01	42
2015-11-02	39
2015-11-03	44
2015-11-04	35
2015-11-05	36
2015-11-06	30
2015-11-07	23
2015-11-08	36
2015-11-09	36
2015-11-10	34
2015-11-11	37
2015-11-12	23
2015-11-13	47
2015-11-14	44
2015-11-15	34
2015-11-16	40
2015-11-17	43
2015-11-18	54
2015-11-19	34
2015-11-20	29
2015-11-21	28
2015-11-22	20
2015-11-23	51
2015-11-24	62
2015-11-25	35
2015-11-26	33
2015-11-27	30
2015-11-28	32
2015-11-29	37
2015-11-30	22
2015-12-01	25
2015-12-02	61
2015-12-03	30
2015-12-04	32
2015-12-05	39
2015-12-06	56
2015-12-07	45
2015-12-08	34
2015-12-09	37
2015-12-10	71
2015-12-11	27
2015-12-12	27
2015-12-13	29
2015-12-14	45
2015-12-15	50
2015-12-16	37
2015-12-17	37
2015-12-18	37
2015-12-19	35
2015-12-20	34
2015-12-21	27
2015-12-22	30
