date	freq
2015-06-01	25
2015-06-02	31
2015-06-03	39
2015-06-04	21
2015-06-05	39
2015-06-06	31
2015-06-07	29
2015-06-08	34
2015-06-09	42
2015-06-10	26
2015-06-11	31
2015-06-12	27
2015-06-13	12
2015-06-14	29
2015-06-15	37
2015-06-16	28
2015-06-17	35
2015-06-18	33
2015-06-19	35
2015-06-20	24
2015-06-21	29
2015-06-22	36
2015-06-23	32
2015-06-24	16
2015-06-25	33
2015-06-26	33
2015-06-27	23
2015-06-28	29
2015-06-29	27
2015-06-30	25
2015-07-01	36
2015-07-02	28
2015-07-03	20
2015-07-04	41
2015-07-05	25
2015-07-06	29
2015-07-07	22
2015-07-08	25
2015-07-09	43
2015-07-10	32
2015-07-11	29
2015-07-12	38
2015-07-13	42
2015-07-14	67
2015-07-15	54
2015-07-16	41
2015-07-17	35
2015-07-18	32
2015-07-19	33
2015-07-20	40
2015-07-21	36
2015-07-22	50
2015-07-23	40
2015-07-24	36
2015-07-25	34
2015-07-26	36
2015-07-27	35
2015-07-28	53
2015-07-29	45
2015-07-30	39
2015-07-31	54
2015-08-01	51
2015-08-02	31
2015-08-03	31
2015-08-04	32
2015-08-05	37
2015-08-06	27
2015-08-07	28
2015-08-08	35
2015-08-09	28
2015-08-10	44
2015-08-11	31
2015-08-12	28
2015-08-13	27
2015-08-14	31
2015-08-15	25
2015-08-16	29
2015-08-17	26
2015-08-18	26
2015-08-19	51
2015-08-20	42
2015-08-21	32
2015-08-22	29
2015-08-23	35
2015-08-24	35
2015-08-25	27
2015-08-26	35
2015-08-27	33
2015-08-28	21
2015-08-29	27
2015-08-30	49
2015-08-31	28
2015-09-01	30
2015-09-02	36
2015-09-03	25
2015-09-04	23
2015-09-05	24
2015-09-06	40
2015-09-07	37
2015-09-08	23
2015-09-09	34
2015-09-10	40
2015-09-11	34
2015-09-12	20
2015-09-13	29
2015-09-14	22
2015-09-15	24
2015-09-16	35
2015-09-17	37
2015-09-18	48
2015-09-19	61
2015-09-20	56
2015-09-21	30
2015-09-22	69
2015-09-23	135
2015-09-24	67
2015-09-25	74
2015-09-26	76
2015-09-27	112
2015-09-28	33
2015-09-29	53
2015-09-30	33
2015-10-01	111
2015-10-02	58
2015-10-03	46
2015-10-04	57
2015-10-05	37
2015-10-06	63
2015-10-07	104
2015-10-08	41
2015-10-09	32
2015-10-10	40
2015-10-11	35
2015-10-12	61
2015-10-13	41
2015-10-14	42
2015-10-15	52
2015-10-16	75
2015-10-17	52
2015-10-18	47
2015-10-19	64
2015-10-20	46
2015-10-21	69
2015-10-22	80
2015-10-23	45
2015-10-24	71
2015-10-25	65
2015-10-26	41
2015-10-27	41
2015-10-28	57
2015-10-29	79
2015-10-30	151
2015-10-31	69
2015-11-01	42
2015-11-02	85
2015-11-03	106
2015-11-04	78
2015-11-05	42
2015-11-06	44
2015-11-07	58
2015-11-08	32
2015-11-09	29
2015-11-10	53
2015-11-11	48
2015-11-12	35
2015-11-13	113
2015-11-14	105
2015-11-15	72
2015-11-16	81
2015-11-17	109
2015-11-18	109
2015-11-19	145
2015-11-20	63
2015-11-21	75
2015-11-22	58
2015-11-23	68
2015-11-24	94
2015-11-25	87
2015-11-26	60
2015-11-27	70
2015-11-28	61
2015-11-29	135
2015-11-30	125
2015-12-01	99
2015-12-02	98
2015-12-03	70
2015-12-04	35
2015-12-05	192
2015-12-06	60
2015-12-07	57
2015-12-08	45
2015-12-09	48
2015-12-10	44
2015-12-11	71
2015-12-12	67
2015-12-13	54
2015-12-14	35
2015-12-15	42
2015-12-16	58
2015-12-17	59
2015-12-18	45
2015-12-19	26
2015-12-20	34
2015-12-21	33
2015-12-22	52
2015-12-23	42
2015-12-24	33
2015-12-25	36
2015-12-26	17
2015-12-27	31
2015-12-28	33
2015-12-29	46
2015-12-30	37
2015-12-31	40
2016-01-01	25
2016-01-02	31
2016-01-03	24
2016-01-04	27
2016-01-05	51
2016-01-06	62
2016-01-07	42
2016-01-08	56
2016-01-09	32
2016-01-10	38
2016-01-11	24
2016-01-12	43
2016-01-13	35
2016-01-14	31
2016-01-15	47
2016-01-16	24
2016-01-17	49
2016-01-18	30
2016-01-19	59
2016-01-20	41
2016-01-21	36
2016-01-22	28
2016-01-23	33
2016-01-24	28
2016-01-25	46
2016-01-26	35
2016-01-27	33
2016-01-28	39
2016-01-29	51
2016-01-30	40
2016-01-31	48
2016-02-01	34
2016-02-02	33
2016-02-03	45
2016-02-04	53
2016-02-05	58
2016-02-06	52
2016-02-07	37
2016-02-08	38
2016-02-09	51
2016-02-10	36
2016-02-11	74
2016-02-12	23
2016-02-13	32
2016-02-14	51
2016-02-15	32
2016-02-16	65
2016-02-17	31
2016-02-18	64
2016-02-19	43
2016-02-20	105
2016-02-21	86
2016-02-22	66
2016-02-23	67
2016-02-24	68
2016-02-25	59
2016-02-26	58
2016-02-27	49
2016-02-28	69
2016-02-29	101
2016-03-01	101
2016-03-02	91
2016-03-03	76
2016-03-04	85
2016-03-05	41
2016-03-06	29
2016-03-07	57
2016-03-08	61
2016-03-09	65
2016-03-10	46
2016-03-11	54
2016-03-12	41
2016-03-13	40
2016-03-14	46
2016-03-15	54
2016-03-16	46
2016-03-17	59
2016-03-18	58
2016-03-19	33
2016-03-20	52
2016-03-21	35
2016-03-22	34
2016-03-23	35
2016-03-24	43
2016-03-25	34
2016-03-26	30
2016-03-27	38
2016-03-28	55
2016-03-29	55
2016-03-30	53
2016-03-31	41
2016-04-01	49
2016-04-02	51
2016-04-03	48
2016-04-04	35
2016-04-05	53
2016-04-06	35
2016-04-07	50
2016-04-08	31
2016-04-09	46
2016-04-10	29
2016-04-11	51
2016-04-12	181
2016-04-13	499
2016-04-14	159
2016-04-15	223
2016-04-16	24
2016-04-17	40
2016-04-18	43
2016-04-19	39
2016-04-20	55
2016-04-21	30
2016-04-22	45
2016-04-23	26
2016-04-24	36
2016-04-25	41
2016-04-26	55
2016-04-27	267
2016-04-28	42
2016-04-29	52
2016-04-30	40
2016-05-01	24
2016-05-02	96
2016-05-03	370
2016-05-04	164
2016-05-05	79
2016-05-06	190
2016-05-07	548
2016-05-08	67
2016-05-09	245
2016-05-10	109
2016-05-11	132
2016-05-12	326
2016-05-13	229
2016-05-14	216
2016-05-15	336
2016-05-16	165
2016-05-17	245
2016-05-18	164
2016-05-19	73
2016-05-20	106
2016-05-21	93
2016-05-22	143
2016-05-23	476
2016-05-24	464
2016-05-25	304
