date	freq
2015-06-01	58
2015-06-02	74
2015-06-03	67
2015-06-04	59
2015-06-05	53
2015-06-06	51
2015-06-07	53
2015-06-08	63
2015-06-09	54
2015-06-10	55
2015-06-11	51
2015-06-12	52
2015-06-13	36
2015-06-14	42
2015-06-15	36
2015-06-16	56
2015-06-17	63
2015-06-18	47
2015-06-19	41
2015-06-20	32
2015-06-21	45
2015-06-22	39
2015-06-23	44
2015-06-24	58
2015-06-25	48
2015-06-26	57
2015-06-27	28
2015-06-28	33
2015-06-29	32
2015-06-30	33
2015-07-01	31
2015-07-02	26
2015-07-03	31
2015-07-04	24
2015-07-05	20
2015-07-06	31
2015-07-07	33
2015-07-08	24
2015-07-09	32
2015-07-10	30
2015-07-11	24
2015-07-12	26
2015-07-13	34
2015-07-14	29
2015-07-15	29
2015-07-16	34
2015-07-17	17
2015-07-18	24
2015-07-19	20
2015-07-20	27
2015-07-21	59
2015-07-22	90
2015-07-23	75
2015-07-24	40
2015-07-25	35
2015-07-26	53
2015-07-27	41
2015-07-28	35
2015-07-29	42
2015-07-30	44
2015-07-31	39
2015-08-01	31
2015-08-02	38
2015-08-03	32
2015-08-04	33
2015-08-05	33
2015-08-06	33
2015-08-07	36
2015-08-08	28
2015-08-09	22
2015-08-10	47
2015-08-11	38
2015-08-12	33
2015-08-13	41
2015-08-14	44
2015-08-15	37
2015-08-16	42
2015-08-17	39
2015-08-18	33
2015-08-19	39
2015-08-20	36
2015-08-21	34
2015-08-22	31
2015-08-23	28
2015-08-24	29
2015-08-25	33
2015-08-26	28
2015-08-27	31
2015-08-28	28
2015-08-29	36
2015-08-30	25
2015-08-31	25
2015-09-01	37
2015-09-02	30
2015-09-03	38
2015-09-04	30
2015-09-05	93
2015-09-06	82
2015-09-07	68
2015-09-08	70
2015-09-09	65
2015-09-10	51
2015-09-11	37
2015-09-12	40
2015-09-13	45
2015-09-14	46
2015-09-15	39
2015-09-16	57
2015-09-17	48
2015-09-18	42
2015-09-19	40
2015-09-20	33
2015-09-21	34
2015-09-22	47
2015-09-23	34
2015-09-24	34
2015-09-25	39
2015-09-26	47
2015-09-27	33
2015-09-28	35
2015-09-29	44
2015-09-30	56
2015-10-01	45
2015-10-02	33
2015-10-03	43
2015-10-04	49
2015-10-05	38
2015-10-06	39
2015-10-07	53
2015-10-08	38
2015-10-09	36
2015-10-10	40
2015-10-11	29
2015-10-12	43
2015-10-13	41
2015-10-14	32
2015-10-15	39
2015-10-16	39
2015-10-17	43
2015-10-18	35
2015-10-19	38
2015-10-20	43
2015-10-21	41
2015-10-22	35
2015-10-23	36
2015-10-24	43
2015-10-25	46
2015-10-26	66
2015-10-27	44
2015-10-28	55
2015-10-29	39
2015-10-30	37
2015-10-31	28
2015-11-01	30
2015-11-02	38
2015-11-03	40
2015-11-04	35
2015-11-05	35
2015-11-06	39
2015-11-07	40
2015-11-08	39
2015-11-09	54
2015-11-10	51
2015-11-11	51
2015-11-12	42
2015-11-13	52
2015-11-14	25
2015-11-15	39
2015-11-16	41
2015-11-17	46
2015-11-18	46
2015-11-19	50
2015-11-20	40
2015-11-21	44
2015-11-22	32
2015-11-23	40
2015-11-24	42
2015-11-25	24
2015-11-26	33
2015-11-27	34
2015-11-28	30
2015-11-29	33
