date	freq
2015-06-01	131
2015-06-02	128
2015-06-03	123
2015-06-04	125
2015-06-05	118
2015-06-06	124
2015-06-07	175
2015-06-08	139
2015-06-09	109
2015-06-10	154
2015-06-11	109
2015-06-12	142
2015-06-13	133
2015-06-14	105
2015-06-15	130
2015-06-16	149
2015-06-17	126
2015-06-18	139
2015-06-19	126
2015-06-20	129
2015-06-21	135
2015-06-22	110
2015-06-23	119
2015-06-24	128
2015-06-25	116
2015-06-26	121
2015-06-27	130
2015-06-28	128
2015-06-29	130
2015-06-30	120
2015-07-01	118
2015-07-02	124
2015-07-03	125
2015-07-04	145
2015-07-05	148
2015-07-06	144
2015-07-07	118
2015-07-08	151
2015-07-09	108
2015-07-10	135
2015-07-11	116
2015-07-12	140
2015-07-13	147
2015-07-14	130
2015-07-15	117
2015-07-16	120
2015-07-17	122
2015-07-18	130
2015-07-19	127
2015-07-20	146
2015-07-21	122
2015-07-22	98
2015-07-23	145
2015-07-24	130
2015-07-25	110
2015-07-26	130
2015-07-27	120
2015-07-28	137
2015-07-29	133
2015-07-30	125
2015-07-31	112
2015-08-01	129
2015-08-02	139
2015-08-03	141
2015-08-04	134
2015-08-05	131
2015-08-06	115
2015-08-07	116
2015-08-08	114
2015-08-09	124
2015-08-10	109
2015-08-11	112
2015-08-12	116
2015-08-13	134
2015-08-14	146
2015-08-15	133
2015-08-16	131
2015-08-17	125
2015-08-18	131
2015-08-19	115
2015-08-20	121
2015-08-21	138
2015-08-22	121
2015-08-23	133
2015-08-24	119
2015-08-25	109
2015-08-26	152
2015-08-27	142
2015-08-28	121
2015-08-29	130
2015-08-30	123
2015-08-31	125
2015-09-01	150
2015-09-02	126
2015-09-03	138
2015-09-04	140
2015-09-05	124
2015-09-06	135
2015-09-07	130
2015-09-08	125
2015-09-09	131
2015-09-10	130
2015-09-11	125
2015-09-12	134
2015-09-13	127
2015-09-14	134
2015-09-15	142
2015-09-16	104
2015-09-17	114
2015-09-18	115
2015-09-19	103
2015-09-20	116
2015-09-21	137
2015-09-22	106
2015-09-23	127
2015-09-24	127
2015-09-25	126
2015-09-26	112
2015-09-27	125
2015-09-28	137
2015-09-29	135
2015-09-30	147
2015-10-01	134
2015-10-02	128
2015-10-03	124
2015-10-04	146
2015-10-05	132
2015-10-06	128
2015-10-07	125
2015-10-08	132
2015-10-09	118
2015-10-10	100
2015-10-11	198
2015-10-12	144
2015-10-13	130
2015-10-14	118
2015-10-15	128
2015-10-16	161
2015-10-17	124
2015-10-18	172
2015-10-19	131
2015-10-20	443
2015-10-21	150
2015-10-22	156
2015-10-23	133
2015-10-24	152
2015-10-25	198
2015-10-26	139
2015-10-27	158
2015-10-28	149
2015-10-29	117
2015-10-30	130
2015-10-31	99
2015-11-01	132
2015-11-02	192
2015-11-03	94
2015-11-04	136
2015-11-05	119
2015-11-06	153
2015-11-07	153
2015-11-08	130
2015-11-09	131
2015-11-10	124
2015-11-11	131
2015-11-12	152
2015-11-13	116
2015-11-14	117
2015-11-15	167
2015-11-16	153
2015-11-17	133
2015-11-18	166
2015-11-19	127
2015-11-20	130
2015-11-21	132
2015-11-22	193
2015-11-23	142
2015-11-24	132
2015-11-25	148
2015-11-26	124
2015-11-27	138
2015-11-28	182
2015-11-29	157
2015-11-30	137
2015-12-01	169
2015-12-02	145
2015-12-03	151
2015-12-04	156
2015-12-05	136
2015-12-06	169
2015-12-07	166
2015-12-08	172
2015-12-09	171
2015-12-10	145
2015-12-11	158
2015-12-12	203
2015-12-13	172
2015-12-14	171
2015-12-15	126
2015-12-16	160
2015-12-17	155
2015-12-18	190
2015-12-19	172
2015-12-20	179
2015-12-21	151
2015-12-22	124
2015-12-23	151
2015-12-24	119
2015-12-25	124
2015-12-26	137
2015-12-27	131
2015-12-28	128
2015-12-29	123
2015-12-30	131
2015-12-31	132
2016-01-01	92
2016-01-02	87
2016-01-03	115
2016-01-04	166
2016-01-05	133
2016-01-06	137
2016-01-07	96
2016-01-08	141
2016-01-09	90
2016-01-10	120
2016-01-11	132
2016-01-12	108
2016-01-13	106
2016-01-14	100
2016-01-15	97
2016-01-16	96
2016-01-17	104
2016-01-18	98
2016-01-19	101
2016-01-20	109
2016-01-21	89
2016-01-22	126
2016-01-23	107
2016-01-24	122
2016-01-25	104
2016-01-26	103
2016-01-27	121
2016-01-28	88
2016-01-29	94
2016-01-30	105
2016-01-31	126
2016-02-01	114
2016-02-02	109
2016-02-03	70
2016-02-04	87
2016-02-05	88
2016-02-06	105
2016-02-07	103
2016-02-08	79
2016-02-09	88
2016-02-10	111
2016-02-11	138
2016-02-12	128
2016-02-13	127
2016-02-14	120
2016-02-15	108
2016-02-16	104
2016-02-17	98
2016-02-18	89
2016-02-19	93
2016-02-20	90
2016-02-21	103
2016-02-22	110
2016-02-23	109
2016-02-24	91
2016-02-25	100
2016-02-26	124
2016-02-27	104
2016-02-28	108
2016-02-29	90
2016-03-01	115
2016-03-02	100
2016-03-03	84
2016-03-04	92
2016-03-05	137
2016-03-06	116
2016-03-07	137
2016-03-08	111
2016-03-09	107
2016-03-10	99
2016-03-11	130
2016-03-12	99
2016-03-13	85
2016-03-14	96
2016-03-15	88
2016-03-16	117
2016-03-17	133
2016-03-18	92
2016-03-19	115
2016-03-20	148
2016-03-21	112
2016-03-22	107
2016-03-23	94
2016-03-24	88
2016-03-25	110
2016-03-26	135
2016-03-27	133
2016-03-28	91
2016-03-29	110
2016-03-30	106
2016-03-31	113
2016-04-01	122
2016-04-02	110
2016-04-03	129
2016-04-04	115
2016-04-05	114
2016-04-06	117
2016-04-07	130
2016-04-08	143
2016-04-09	163
2016-04-10	189
2016-04-11	183
2016-04-12	187
2016-04-13	138
2016-04-14	157
2016-04-15	168
2016-04-16	135
2016-04-17	129
2016-04-18	143
2016-04-19	150
2016-04-20	153
2016-04-21	160
2016-04-22	147
2016-04-23	165
2016-04-24	159
2016-04-25	125
2016-04-26	146
2016-04-27	145
2016-04-28	115
2016-04-29	114
2016-04-30	138
2016-05-01	142
2016-05-02	130
2016-05-03	112
2016-05-04	93
2016-05-05	109
2016-05-06	142
2016-05-07	128
2016-05-08	130
2016-05-09	155
2016-05-10	130
2016-05-11	118
2016-05-12	110
2016-05-13	127
2016-05-14	145
2016-05-15	132
2016-05-16	124
2016-05-17	158
2016-05-18	147
2016-05-19	123
2016-05-20	139
2016-05-21	168
2016-05-22	166
2016-05-23	154
2016-05-24	173
2016-05-25	144
2016-05-26	101
2016-05-27	143
2016-05-28	140
2016-05-29	146
2016-05-30	164
2016-05-31	177
