date	freq
2015-06-01	15
2015-06-02	15
2015-06-03	17
2015-06-04	19
2015-06-05	16
2015-06-06	15
2015-06-07	17
2015-06-08	27
2015-06-09	18
2015-06-10	26
2015-06-11	20
2015-06-12	19
2015-06-13	13
2015-06-14	17
2015-06-15	16
2015-06-16	30
2015-06-17	21
2015-06-18	20
2015-06-19	17
2015-06-20	19
2015-06-21	19
2015-06-22	19
2015-06-23	15
2015-06-24	15
2015-06-25	11
2015-06-26	14
2015-06-27	14
2015-06-28	21
2015-06-29	23
2015-06-30	18
2015-07-01	12
2015-07-02	23
2015-07-03	22
2015-07-04	22
2015-07-05	18
2015-07-06	17
2015-07-07	23
2015-07-08	16
2015-07-09	17
2015-07-10	25
2015-07-11	26
2015-07-12	25
2015-07-13	14
2015-07-14	19
2015-07-15	14
2015-07-16	20
2015-07-17	18
2015-07-18	19
2015-07-19	16
2015-07-20	12
2015-07-21	24
2015-07-22	13
2015-07-23	22
2015-07-24	26
2015-07-25	21
2015-07-26	19
2015-07-27	19
2015-07-28	21
2015-07-29	36
2015-07-30	27
2015-07-31	16
2015-08-01	32
2015-08-02	19
2015-08-03	24
2015-08-04	14
2015-08-05	11
2015-08-06	19
2015-08-07	18
2015-08-08	21
2015-08-09	16
2015-08-10	33
2015-08-11	29
2015-08-12	17
2015-08-13	23
2015-08-14	33
2015-08-15	18
2015-08-16	18
2015-08-17	31
2015-08-18	45
2015-08-19	23
2015-08-20	23
2015-08-21	23
2015-08-22	23
2015-08-23	30
2015-08-24	28
2015-08-25	19
2015-08-26	15
2015-08-27	19
2015-08-28	24
2015-08-29	16
2015-08-30	14
2015-08-31	23
2015-09-01	23
2015-09-02	21
2015-09-03	25
2015-09-04	13
2015-09-05	15
2015-09-06	18
2015-09-07	25
2015-09-08	20
2015-09-09	25
2015-09-10	14
2015-09-11	19
2015-09-12	23
2015-09-13	21
2015-09-14	23
2015-09-15	14
2015-09-16	9
2015-09-17	22
2015-09-18	26
2015-09-19	22
2015-09-20	30
2015-09-21	27
2015-09-22	25
2015-09-23	14
2015-09-24	21
2015-09-25	20
2015-09-26	21
2015-09-27	16
2015-09-28	19
2015-09-29	19
2015-09-30	20
2015-10-01	21
2015-10-02	25
2015-10-03	21
2015-10-04	19
2015-10-05	18
2015-10-06	22
2015-10-07	13
2015-10-08	15
2015-10-09	16
2015-10-10	16
2015-10-11	23
2015-10-12	20
2015-10-13	16
2015-10-14	25
2015-10-15	15
2015-10-16	26
2015-10-17	22
2015-10-18	20
2015-10-19	11
2015-10-20	13
2015-10-21	18
2015-10-22	20
2015-10-23	15
2015-10-24	15
2015-10-25	18
2015-10-26	17
2015-10-27	17
2015-10-28	20
2015-10-29	19
2015-10-30	25
2015-10-31	16
2015-11-01	14
2015-11-02	16
2015-11-03	20
2015-11-04	23
2015-11-05	30
2015-11-06	24
2015-11-07	21
2015-11-08	25
2015-11-09	18
2015-11-10	27
2015-11-11	28
2015-11-12	30
2015-11-13	50
2015-11-14	39
2015-11-15	22
2015-11-16	36
2015-11-17	27
2015-11-18	23
2015-11-19	35
2015-11-20	23
2015-11-21	32
2015-11-22	17
2015-11-23	20
2015-11-24	12
2015-11-25	30
2015-11-26	20
2015-11-27	21
2015-11-28	28
2015-11-29	28
2015-11-30	37
2015-12-01	25
2015-12-02	30
2015-12-03	23
2015-12-04	15
2015-12-05	19
2015-12-06	35
2015-12-07	22
2015-12-08	34
2015-12-09	20
2015-12-10	45
2015-12-11	37
2015-12-12	34
2015-12-13	50
2015-12-14	72
2015-12-15	49
2015-12-16	40
2015-12-17	36
2015-12-18	26
2015-12-19	30
2015-12-20	20
2015-12-21	27
2015-12-22	12
2015-12-23	34
2015-12-24	14
2015-12-25	19
2015-12-26	23
2015-12-27	26
2015-12-28	27
2015-12-29	42
2015-12-30	33
2015-12-31	29
2016-01-01	17
2016-01-02	32
2016-01-03	37
2016-01-04	17
2016-01-05	14
2016-01-06	40
2016-01-07	32
2016-01-08	34
2016-01-09	14
2016-01-10	36
2016-01-11	23
2016-01-12	25
2016-01-13	41
2016-01-14	38
2016-01-15	41
2016-01-16	11
2016-01-17	42
2016-01-18	22
2016-01-19	14
2016-01-20	18
2016-01-21	29
2016-01-22	12
2016-01-23	35
2016-01-24	35
2016-01-25	22
2016-01-26	25
2016-01-27	11
2016-01-28	34
2016-01-29	15
2016-01-30	11
2016-01-31	44
2016-02-01	26
2016-02-02	13
2016-02-03	14
2016-02-04	36
2016-02-05	20
2016-02-06	16
2016-02-07	35
2016-02-08	19
