date	freq
2015-06-01	27
2015-06-02	29
2015-06-03	28
2015-06-04	33
2015-06-05	31
2015-06-06	29
2015-06-07	33
2015-06-08	23
2015-06-09	33
2015-06-10	26
2015-06-11	46
2015-06-12	23
2015-06-13	32
2015-06-14	40
2015-06-15	33
2015-06-16	29
2015-06-17	45
2015-06-18	29
2015-06-19	24
2015-06-20	25
2015-06-21	40
2015-06-22	39
2015-06-23	35
2015-06-24	27
2015-06-25	20
2015-06-26	32
2015-06-27	25
2015-06-28	17
2015-06-29	29
2015-06-30	24
2015-07-01	29
2015-07-02	36
2015-07-03	38
2015-07-04	25
2015-07-05	33
2015-07-06	34
2015-07-07	45
2015-07-08	45
2015-07-09	38
2015-07-10	32
2015-07-11	33
2015-07-12	27
2015-07-13	24
2015-07-14	41
2015-07-15	38
2015-07-16	33
2015-07-17	30
2015-07-18	37
2015-07-19	25
2015-07-20	23
2015-07-21	31
2015-07-22	28
2015-07-23	31
2015-07-24	28
2015-07-25	28
2015-07-26	25
2015-07-27	15
2015-07-28	22
2015-07-29	33
2015-07-30	26
2015-07-31	23
2015-08-01	23
2015-08-02	28
2015-08-03	25
2015-08-04	29
2015-08-05	22
2015-08-06	32
2015-08-07	24
2015-08-08	25
2015-08-09	47
2015-08-10	31
2015-08-11	17
2015-08-12	26
2015-08-13	18
2015-08-14	29
2015-08-15	32
2015-08-16	30
2015-08-17	58
2015-08-18	38
2015-08-19	46
2015-08-20	47
2015-08-21	27
2015-08-22	28
2015-08-23	36
2015-08-24	33
2015-08-25	20
2015-08-26	40
2015-08-27	33
2015-08-28	28
2015-08-29	43
2015-08-30	34
2015-08-31	26
2015-09-01	23
2015-09-02	35
2015-09-03	46
2015-09-04	42
2015-09-05	32
2015-09-06	40
2015-09-07	33
2015-09-08	36
2015-09-09	40
2015-09-10	24
2015-09-11	30
2015-09-12	24
2015-09-13	37
2015-09-14	43
2015-09-15	24
2015-09-16	27
2015-09-17	33
2015-09-18	35
2015-09-19	26
2015-09-20	23
2015-09-21	29
2015-09-22	24
2015-09-23	39
2015-09-24	31
2015-09-25	18
2015-09-26	26
2015-09-27	30
2015-09-28	32
2015-09-29	35
2015-09-30	34
2015-10-01	28
2015-10-02	43
2015-10-03	22
2015-10-04	29
2015-10-05	27
2015-10-06	30
2015-10-07	40
2015-10-08	38
2015-10-09	29
2015-10-10	32
2015-10-11	21
2015-10-12	28
2015-10-13	31
2015-10-14	17
2015-10-15	41
2015-10-16	34
2015-10-17	31
