date	freq
2015-06-01	7
2015-06-02	12
2015-06-03	9
2015-06-04	8
2015-06-05	3
2015-06-06	10
2015-06-07	11
2015-06-08	8
2015-06-09	6
2015-06-10	7
2015-06-11	9
2015-06-12	9
2015-06-13	8
2015-06-14	9
2015-06-15	12
2015-06-16	9
2015-06-17	13
2015-06-18	7
2015-06-19	6
2015-06-20	2
2015-06-21	7
2015-06-22	8
2015-06-23	10
2015-06-24	9
2015-06-25	8
2015-06-26	9
2015-06-27	7
2015-06-28	5
2015-06-29	11
2015-06-30	10
2015-07-01	7
2015-07-02	18
2015-07-03	11
2015-07-04	5
2015-07-05	9
2015-07-06	11
2015-07-07	21
2015-07-08	11
2015-07-09	2
2015-07-10	4
2015-07-11	13
2015-07-12	11
2015-07-13	2
2015-07-14	6
2015-07-15	5
2015-07-16	3
2015-07-17	9
2015-07-18	2
2015-07-19	11
2015-07-20	6
2015-07-21	3
2015-07-22	7
2015-07-23	13
2015-07-24	10
2015-07-25	10
2015-07-26	9
2015-07-27	8
2015-07-28	2
2015-07-29	4
2015-07-30	11
2015-07-31	11
2015-08-01	4
2015-08-02	3
2015-08-03	4
2015-08-04	9
2015-08-05	3
2015-08-06	6
2015-08-07	8
2015-08-08	5
2015-08-09	7
2015-08-10	4
2015-08-11	8
2015-08-12	4
2015-08-13	16
2015-08-14	10
2015-08-15	4
2015-08-16	8
2015-08-17	11
2015-08-18	3
2015-08-19	4
2015-08-20	6
2015-08-21	7
2015-08-22	5
2015-08-23	2
2015-08-24	8
2015-08-25	9
2015-08-26	2
2015-08-27	10
2015-08-28	8
2015-08-29	5
2015-08-30	11
2015-08-31	6
2015-09-01	9
2015-09-02	4
2015-09-03	5
2015-09-04	4
2015-09-05	5
2015-09-06	9
2015-09-07	6
2015-09-08	4
2015-09-09	6
2015-09-10	4
2015-09-11	3
2015-09-12	4
2015-09-13	6
2015-09-14	5
2015-09-15	8
2015-09-16	13
2015-09-17	4
2015-09-18	5
2015-09-19	5
2015-09-20	6
2015-09-21	11
2015-09-22	9
2015-09-23	4
2015-09-24	9
2015-09-25	14
2015-09-26	9
2015-09-27	3
2015-09-28	6
2015-09-29	6
2015-09-30	7
2015-10-01	6
2015-10-02	4
2015-10-03	4
2015-10-04	5
2015-10-05	3
2015-10-06	5
2015-10-07	7
2015-10-08	4
2015-10-09	4
2015-10-10	12
2015-10-11	11
2015-10-12	12
2015-10-13	7
2015-10-14	9
2015-10-15	8
2015-10-16	11
2015-10-17	8
2015-10-18	3
2015-10-19	7
2015-10-20	10
2015-10-21	11
2015-10-22	9
2015-10-23	10
2015-10-24	9
2015-10-25	4
2015-10-26	8
2015-10-27	6
2015-10-28	10
2015-10-29	7
2015-10-30	4
2015-10-31	7
2015-11-01	5
2015-11-02	4
2015-11-03	7
2015-11-04	8
2015-11-05	5
2015-11-06	5
2015-11-07	6
2015-11-08	6
2015-11-09	10
2015-11-10	28
2015-11-11	1
2015-11-12	5
2015-11-13	7
2015-11-14	6
2015-11-15	5
2015-11-16	10
2015-11-17	10
2015-11-18	6
2015-11-19	8
2015-11-20	9
2015-11-21	9
2015-11-22	7
2015-11-23	16
2015-11-24	7
2015-11-25	4
2015-11-26	3
2015-11-27	11
2015-11-28	9
2015-11-29	5
2015-11-30	10
2015-12-01	12
2015-12-02	9
2015-12-03	13
2015-12-04	6
2015-12-05	26
2015-12-06	10
2015-12-07	5
2015-12-08	7
2015-12-09	5
2015-12-10	6
2015-12-11	4
2015-12-12	11
2015-12-13	3
2015-12-14	5
2015-12-15	6
2015-12-16	8
2015-12-17	5
2015-12-18	2
2015-12-19	4
2015-12-20	5
2015-12-21	5
2015-12-22	13
2015-12-23	18
2015-12-24	27
2015-12-25	22
2015-12-26	26
2015-12-27	17
2015-12-28	31
2015-12-29	29
2015-12-30	15
2015-12-31	28
2016-01-01	23
2016-01-02	32
2016-01-03	30
2016-01-04	34
2016-01-05	28
2016-01-06	34
2016-01-07	31
2016-01-08	32
2016-01-09	30
2016-01-10	35
2016-01-11	33
2016-01-12	23
2016-01-13	29
2016-01-14	8
2016-01-15	11
2016-01-16	6
2016-01-17	4
2016-01-18	7
2016-01-19	4
2016-01-20	2
2016-01-21	6
2016-01-22	8
2016-01-23	3
2016-01-24	4
2016-01-25	10
2016-01-26	4
2016-01-27	5
2016-01-28	5
2016-01-29	4
2016-01-30	9
2016-01-31	6
2016-02-01	9
2016-02-02	7
2016-02-03	4
2016-02-04	7
2016-02-05	8
2016-02-06	10
2016-02-07	6
2016-02-08	4
2016-02-09	4
2016-02-10	9
2016-02-11	5
2016-02-12	5
2016-02-13	4
2016-02-14	2
2016-02-15	1
2016-02-16	4
2016-02-17	8
2016-02-18	8
2016-02-19	6
2016-02-20	6
2016-02-21	8
2016-02-22	10
2016-02-23	8
2016-02-24	6
2016-02-25	7
2016-02-26	5
2016-02-27	7
2016-02-28	4
2016-02-29	3
