date	freq
2015-06-01	0
2015-06-02	1
2015-06-03	2
2015-06-04	6
2015-06-05	2
2015-06-06	1
2015-06-07	1
2015-06-08	1
2015-06-09	2
2015-06-10	1
2015-06-11	0
2015-06-12	4
2015-06-13	0
2015-06-14	1
2015-06-15	9
2015-06-16	4
2015-06-17	2
2015-06-18	1
2015-06-19	2
2015-06-20	2
2015-06-21	0
2015-06-22	0
2015-06-23	0
2015-06-24	1
2015-06-25	1
2015-06-26	2
2015-06-27	0
2015-06-28	3
2015-06-29	1
2015-06-30	3
2015-07-01	6
2015-07-02	2
2015-07-03	13
2015-07-04	0
2015-07-05	1
2015-07-06	2
2015-07-07	1
2015-07-08	3
2015-07-09	6
2015-07-10	2
2015-07-11	2
2015-07-12	1
2015-07-13	2
2015-07-14	3
2015-07-15	2
2015-07-16	0
2015-07-17	0
2015-07-18	1
2015-07-19	4
2015-07-20	1
2015-07-21	2
2015-07-22	6
2015-07-23	2
2015-07-24	1
2015-07-25	2
2015-07-26	1
2015-07-27	3
2015-07-28	3
2015-07-29	2
2015-07-30	1
2015-07-31	3
2015-08-01	1
2015-08-02	2
2015-08-03	1
2015-08-04	5
2015-08-05	3
2015-08-06	8
2015-08-07	4
2015-08-08	4
2015-08-09	3
2015-08-10	1
2015-08-11	1
2015-08-12	6
2015-08-13	2
2015-08-14	1
2015-08-15	5
2015-08-16	3
2015-08-17	2
2015-08-18	1
2015-08-19	1
2015-08-20	1
2015-08-21	3
2015-08-22	3
2015-08-23	2
2015-08-24	5
2015-08-25	1
2015-08-26	4
2015-08-27	4
2015-08-28	4
2015-08-29	7
2015-08-30	1
2015-08-31	1
2015-09-01	1
2015-09-02	3
2015-09-03	2
2015-09-04	6
2015-09-05	7
2015-09-06	5
2015-09-07	12
2015-09-08	3
2015-09-09	1
2015-09-10	2
2015-09-11	0
2015-09-12	3
2015-09-13	2
2015-09-14	1
2015-09-15	3
2015-09-16	3
2015-09-17	1
2015-09-18	0
2015-09-19	0
2015-09-20	3
2015-09-21	7
2015-09-22	1
2015-09-23	3
2015-09-24	0
2015-09-25	2
2015-09-26	2
2015-09-27	1
2015-09-28	1
2015-09-29	5
