date	freq
2015-06-01	153
2015-06-02	179
2015-06-03	198
2015-06-04	166
2015-06-05	195
2015-06-06	160
2015-06-07	171
2015-06-08	202
2015-06-09	175
2015-06-10	187
2015-06-11	192
2015-06-12	217
2015-06-13	177
2015-06-14	160
2015-06-15	173
2015-06-16	175
2015-06-17	197
2015-06-18	190
2015-06-19	208
2015-06-20	175
2015-06-21	170
2015-06-22	160
2015-06-23	181
2015-06-24	178
2015-06-25	193
2015-06-26	156
2015-06-27	161
2015-06-28	147
2015-06-29	171
2015-06-30	171
2015-07-01	192
2015-07-02	192
2015-07-03	181
2015-07-04	154
2015-07-05	147
2015-07-06	174
2015-07-07	161
2015-07-08	188
2015-07-09	172
2015-07-10	164
2015-07-11	160
2015-07-12	135
2015-07-13	170
2015-07-14	150
2015-07-15	155
2015-07-16	155
2015-07-17	173
2015-07-18	140
2015-07-19	121
2015-07-20	157
2015-07-21	152
2015-07-22	151
2015-07-23	150
2015-07-24	138
2015-07-25	130
2015-07-26	119
2015-07-27	124
2015-07-28	144
2015-07-29	152
2015-07-30	161
2015-07-31	142
2015-08-01	129
2015-08-02	146
2015-08-03	143
2015-08-04	166
2015-08-05	155
2015-08-06	149
2015-08-07	132
2015-08-08	124
2015-08-09	122
2015-08-10	144
2015-08-11	127
2015-08-12	141
2015-08-13	147
2015-08-14	119
2015-08-15	107
2015-08-16	123
2015-08-17	151
2015-08-18	121
2015-08-19	147
2015-08-20	152
2015-08-21	147
2015-08-22	130
2015-08-23	136
2015-08-24	134
2015-08-25	163
2015-08-26	135
2015-08-27	141
2015-08-28	165
2015-08-29	121
2015-08-30	162
2015-08-31	155
2015-09-01	199
2015-09-02	185
2015-09-03	163
2015-09-04	150
2015-09-05	135
2015-09-06	132
2015-09-07	123
2015-09-08	158
2015-09-09	151
2015-09-10	147
2015-09-11	143
2015-09-12	138
2015-09-13	131
2015-09-14	136
2015-09-15	133
2015-09-16	148
2015-09-17	149
2015-09-18	161
2015-09-19	130
2015-09-20	149
2015-09-21	126
2015-09-22	107
2015-09-23	129
2015-09-24	130
2015-09-25	140
2015-09-26	138
2015-09-27	138
2015-09-28	128
2015-09-29	134
2015-09-30	164
2015-10-01	142
2015-10-02	148
2015-10-03	190
2015-10-04	106
2015-10-05	142
2015-10-06	140
2015-10-07	120
2015-10-08	134
2015-10-09	133
2015-10-10	114
2015-10-11	119
2015-10-12	127
2015-10-13	129
2015-10-14	124
2015-10-15	135
2015-10-16	171
2015-10-17	123
2015-10-18	119
2015-10-19	149
2015-10-20	134
2015-10-21	116
2015-10-22	117
2015-10-23	127
2015-10-24	108
2015-10-25	139
2015-10-26	165
2015-10-27	126
2015-10-28	164
2015-10-29	149
2015-10-30	129
2015-10-31	119
2015-11-01	112
2015-11-02	128
2015-11-03	142
2015-11-04	109
2015-11-05	130
2015-11-06	122
2015-11-07	128
2015-11-08	151
2015-11-09	121
2015-11-10	128
2015-11-11	136
2015-11-12	128
2015-11-13	151
2015-11-14	132
2015-11-15	135
2015-11-16	125
2015-11-17	132
2015-11-18	137
2015-11-19	112
2015-11-20	109
2015-11-21	107
2015-11-22	122
2015-11-23	109
2015-11-24	102
2015-11-25	115
2015-11-26	118
2015-11-27	95
2015-11-28	114
2015-11-29	100
2015-11-30	92
2015-12-01	93
2015-12-02	96
2015-12-03	122
2015-12-04	107
2015-12-05	111
2015-12-06	106
2015-12-07	101
2015-12-08	110
2015-12-09	86
2015-12-10	107
2015-12-11	94
2015-12-12	106
2015-12-13	89
2015-12-14	128
2015-12-15	109
2015-12-16	106
2015-12-17	98
2015-12-18	85
2015-12-19	96
2015-12-20	78
2015-12-21	94
2015-12-22	91
2015-12-23	98
2015-12-24	83
2015-12-25	75
2015-12-26	79
2015-12-27	70
2015-12-28	98
2015-12-29	74
2015-12-30	67
2015-12-31	71
2016-01-01	37
2016-01-02	52
2016-01-03	73
2016-01-04	92
2016-01-05	66
2016-01-06	113
2016-01-07	96
2016-01-08	105
2016-01-09	93
2016-01-10	92
2016-01-11	94
2016-01-12	93
2016-01-13	106
2016-01-14	104
2016-01-15	90
2016-01-16	87
2016-01-17	82
2016-01-18	98
2016-01-19	109
2016-01-20	115
2016-01-21	80
2016-01-22	108
2016-01-23	93
2016-01-24	122
2016-01-25	115
2016-01-26	122
2016-01-27	106
2016-01-28	129
2016-01-29	116
2016-01-30	128
2016-01-31	123
2016-02-01	122
2016-02-02	111
2016-02-03	115
2016-02-04	123
2016-02-05	126
2016-02-06	105
2016-02-07	158
2016-02-08	131
2016-02-09	111
2016-02-10	140
2016-02-11	141
2016-02-12	126
2016-02-13	155
2016-02-14	203
2016-02-15	154
2016-02-16	124
2016-02-17	111
2016-02-18	116
2016-02-19	116
2016-02-20	121
2016-02-21	117
2016-02-22	110
2016-02-23	105
2016-02-24	107
2016-02-25	122
2016-02-26	104
2016-02-27	111
2016-02-28	92
2016-02-29	117
2016-03-01	127
2016-03-02	102
2016-03-03	110
2016-03-04	112
2016-03-05	100
2016-03-06	103
2016-03-07	120
2016-03-08	108
2016-03-09	108
2016-03-10	111
2016-03-11	93
2016-03-12	104
2016-03-13	96
2016-03-14	119
2016-03-15	113
2016-03-16	125
2016-03-17	146
2016-03-18	106
2016-03-19	112
2016-03-20	93
2016-03-21	100
2016-03-22	117
2016-03-23	102
2016-03-24	95
2016-03-25	109
2016-03-26	109
2016-03-27	103
2016-03-28	110
2016-03-29	110
2016-03-30	109
2016-03-31	102
2016-04-01	110
2016-04-02	114
2016-04-03	103
2016-04-04	120
2016-04-05	120
2016-04-06	192
2016-04-07	145
2016-04-08	138
2016-04-09	140
2016-04-10	143
2016-04-11	172
2016-04-12	156
2016-04-13	169
2016-04-14	130
2016-04-15	133
2016-04-16	119
2016-04-17	129
2016-04-18	119
2016-04-19	126
2016-04-20	150
2016-04-21	138
2016-04-22	131
2016-04-23	129
2016-04-24	116
2016-04-25	122
2016-04-26	115
2016-04-27	128
2016-04-28	148
2016-04-29	108
2016-04-30	115
2016-05-01	98
2016-05-02	127
2016-05-03	112
2016-05-04	121
2016-05-05	127
2016-05-06	109
2016-05-07	115
2016-05-08	201
2016-05-09	104
2016-05-10	153
2016-05-11	154
2016-05-12	141
2016-05-13	153
2016-05-14	142
2016-05-15	180
2016-05-16	166
2016-05-17	156
2016-05-18	120
2016-05-19	140
2016-05-20	137
2016-05-21	120
2016-05-22	124
2016-05-23	147
2016-05-24	146
2016-05-25	143
2016-05-26	127
2016-05-27	124
2016-05-28	131
2016-05-29	129
2016-05-30	137
2016-05-31	151
