date	freq
2015-06-01	51
2015-06-02	56
2015-06-03	60
2015-06-04	77
2015-06-05	60
2015-06-06	73
2015-06-07	75
2015-06-08	44
2015-06-09	29
2015-06-10	64
2015-06-11	96
2015-06-12	68
2015-06-13	64
2015-06-14	96
2015-06-15	88
2015-06-16	80
2015-06-17	88
2015-06-18	82
2015-06-19	51
2015-06-20	74
2015-06-21	64
2015-06-22	76
2015-06-23	62
2015-06-24	62
2015-06-25	78
2015-06-26	70
2015-06-27	72
2015-06-28	96
2015-06-29	100
2015-06-30	66
2015-07-01	68
2015-07-02	85
2015-07-03	81
2015-07-04	80
2015-07-05	87
2015-07-06	89
2015-07-07	52
2015-07-08	79
2015-07-09	63
2015-07-10	59
2015-07-11	67
2015-07-12	64
2015-07-13	66
2015-07-14	58
2015-07-15	51
2015-07-16	54
2015-07-17	51
2015-07-18	66
2015-07-19	50
2015-07-20	63
2015-07-21	69
2015-07-22	49
2015-07-23	70
2015-07-24	58
2015-07-25	64
2015-07-26	63
2015-07-27	47
2015-07-28	70
2015-07-29	58
2015-07-30	60
2015-07-31	67
2015-08-01	47
2015-08-02	54
2015-08-03	55
2015-08-04	48
2015-08-05	57
2015-08-06	89
2015-08-07	79
2015-08-08	60
2015-08-09	57
2015-08-10	69
2015-08-11	46
2015-08-12	70
2015-08-13	60
2015-08-14	41
2015-08-15	51
2015-08-16	74
2015-08-17	53
2015-08-18	52
2015-08-19	66
2015-08-20	64
2015-08-21	64
2015-08-22	50
2015-08-23	53
2015-08-24	51
2015-08-25	71
2015-08-26	54
2015-08-27	65
2015-08-28	55
2015-08-29	114
2015-08-30	59
2015-08-31	79
2015-09-01	69
2015-09-02	61
2015-09-03	72
2015-09-04	166
2015-09-05	70
2015-09-06	85
2015-09-07	96
2015-09-08	107
2015-09-09	72
2015-09-10	67
2015-09-11	147
2015-09-12	71
2015-09-13	65
2015-09-14	53
2015-09-15	73
2015-09-16	60
2015-09-17	76
2015-09-18	53
2015-09-19	55
2015-09-20	73
2015-09-21	73
2015-09-22	71
2015-09-23	55
2015-09-24	64
2015-09-25	67
2015-09-26	61
2015-09-27	51
2015-09-28	66
2015-09-29	64
2015-09-30	46
2015-10-01	53
2015-10-02	50
2015-10-03	60
2015-10-04	64
2015-10-05	56
2015-10-06	69
2015-10-07	57
2015-10-08	68
2015-10-09	52
2015-10-10	59
2015-10-11	79
2015-10-12	64
2015-10-13	47
2015-10-14	80
2015-10-15	60
2015-10-16	66
2015-10-17	73
2015-10-18	69
2015-10-19	62
2015-10-20	45
2015-10-21	53
2015-10-22	77
2015-10-23	57
2015-10-24	55
2015-10-25	53
2015-10-26	56
2015-10-27	62
2015-10-28	57
2015-10-29	58
2015-10-30	51
2015-10-31	57
2015-11-01	43
2015-11-02	48
2015-11-03	59
2015-11-04	80
2015-11-05	62
2015-11-06	50
2015-11-07	60
2015-11-08	46
2015-11-09	49
2015-11-10	160
2015-11-11	55
2015-11-12	60
2015-11-13	47
2015-11-14	47
2015-11-15	55
2015-11-16	47
2015-11-17	70
2015-11-18	64
2015-11-19	45
2015-11-20	43
2015-11-21	46
2015-11-22	55
2015-11-23	78
2015-11-24	51
2015-11-25	42
2015-11-26	53
2015-11-27	62
2015-11-28	63
2015-11-29	49
2015-11-30	46
2015-12-01	65
2015-12-02	32
2015-12-03	39
2015-12-04	39
2015-12-05	48
2015-12-06	48
2015-12-07	48
2015-12-08	52
2015-12-09	36
2015-12-10	53
2015-12-11	36
2015-12-12	53
2015-12-13	49
2015-12-14	29
2015-12-15	41
2015-12-16	36
2015-12-17	35
2015-12-18	34
2015-12-19	38
2015-12-20	57
2015-12-21	38
2015-12-22	42
2015-12-23	53
2015-12-24	50
2015-12-25	32
2015-12-26	37
2015-12-27	40
2015-12-28	44
2015-12-29	39
2015-12-30	35
2015-12-31	25
2016-01-01	18
2016-01-02	33
2016-01-03	27
2016-01-04	34
2016-01-05	34
2016-01-06	33
2016-01-07	42
2016-01-08	41
2016-01-09	44
2016-01-10	40
2016-01-11	32
2016-01-12	38
2016-01-13	44
2016-01-14	37
2016-01-15	37
2016-01-16	40
2016-01-17	39
2016-01-18	42
2016-01-19	46
2016-01-20	35
2016-01-21	46
2016-01-22	46
2016-01-23	55
2016-01-24	53
2016-01-25	46
2016-01-26	48
2016-01-27	31
2016-01-28	59
2016-01-29	45
2016-01-30	53
2016-01-31	42
2016-02-01	45
2016-02-02	91
2016-02-03	52
2016-02-04	47
2016-02-05	55
2016-02-06	56
2016-02-07	50
2016-02-08	59
2016-02-09	69
2016-02-10	67
2016-02-11	79
2016-02-12	50
2016-02-13	85
2016-02-14	88
2016-02-15	57
2016-02-16	64
2016-02-17	64
2016-02-18	51
2016-02-19	45
2016-02-20	55
2016-02-21	50
2016-02-22	51
2016-02-23	44
2016-02-24	45
2016-02-25	62
