date	freq
2015-06-01	179
2015-06-02	186
2015-06-03	168
2015-06-04	181
2015-06-05	181
2015-06-06	173
2015-06-07	190
2015-06-08	181
2015-06-09	195
2015-06-10	181
2015-06-11	155
2015-06-12	177
2015-06-13	181
2015-06-14	206
2015-06-15	182
2015-06-16	160
2015-06-17	140
2015-06-18	139
2015-06-19	132
2015-06-20	163
2015-06-21	137
2015-06-22	145
2015-06-23	156
2015-06-24	166
2015-06-25	159
2015-06-26	208
2015-06-27	127
2015-06-28	145
2015-06-29	138
2015-06-30	126
2015-07-01	147
2015-07-02	143
2015-07-03	119
2015-07-04	128
2015-07-05	118
2015-07-06	143
2015-07-07	131
2015-07-08	156
2015-07-09	150
2015-07-10	126
2015-07-11	124
2015-07-12	122
2015-07-13	121
2015-07-14	136
2015-07-15	112
2015-07-16	124
2015-07-17	128
2015-07-18	109
2015-07-19	115
2015-07-20	107
2015-07-21	125
2015-07-22	136
2015-07-23	147
2015-07-24	130
2015-07-25	128
2015-07-26	105
2015-07-27	115
2015-07-28	95
2015-07-29	124
2015-07-30	158
2015-07-31	146
2015-08-01	114
2015-08-02	104
2015-08-03	107
2015-08-04	119
2015-08-05	105
2015-08-06	133
2015-08-07	148
2015-08-08	159
2015-08-09	123
2015-08-10	136
2015-08-11	119
2015-08-12	158
2015-08-13	117
2015-08-14	112
2015-08-15	109
2015-08-16	106
2015-08-17	130
2015-08-18	151
2015-08-19	152
2015-08-20	135
2015-08-21	145
2015-08-22	126
2015-08-23	128
2015-08-24	132
2015-08-25	142
2015-08-26	138
2015-08-27	186
2015-08-28	150
2015-08-29	129
2015-08-30	140
2015-08-31	130
2015-09-01	158
2015-09-02	160
2015-09-03	136
2015-09-04	161
2015-09-05	150
2015-09-06	141
2015-09-07	155
2015-09-08	151
2015-09-09	143
2015-09-10	127
2015-09-11	131
2015-09-12	136
2015-09-13	149
2015-09-14	157
2015-09-15	139
2015-09-16	140
2015-09-17	160
2015-09-18	152
2015-09-19	145
2015-09-20	155
2015-09-21	179
2015-09-22	154
2015-09-23	181
2015-09-24	154
2015-09-25	174
2015-09-26	191
2015-09-27	157
2015-09-28	181
2015-09-29	167
2015-09-30	176
2015-10-01	221
2015-10-02	197
2015-10-03	194
2015-10-04	213
2015-10-05	200
2015-10-06	221
2015-10-07	216
2015-10-08	193
2015-10-09	218
2015-10-10	178
2015-10-11	184
2015-10-12	216
2015-10-13	225
2015-10-14	193
2015-10-15	197
2015-10-16	257
2015-10-17	181
2015-10-18	176
2015-10-19	212
2015-10-20	187
2015-10-21	208
