date	freq
2015-06-01	90
2015-06-02	93
2015-06-03	93
2015-06-04	187
2015-06-05	93
2015-06-06	95
2015-06-07	92
2015-06-08	90
2015-06-09	95
2015-06-10	79
2015-06-11	96
2015-06-12	98
2015-06-13	116
2015-06-14	168
2015-06-15	208
2015-06-16	128
2015-06-17	112
2015-06-18	127
2015-06-19	76
2015-06-20	83
2015-06-21	109
2015-06-22	102
2015-06-23	91
2015-06-24	103
2015-06-25	74
2015-06-26	113
2015-06-27	94
2015-06-28	103
2015-06-29	112
2015-06-30	96
2015-07-01	117
2015-07-02	94
2015-07-03	74
2015-07-04	136
2015-07-05	100
2015-07-06	102
2015-07-07	83
2015-07-08	129
2015-07-09	78
2015-07-10	120
2015-07-11	96
2015-07-12	115
2015-07-13	70
2015-07-14	97
2015-07-15	72
2015-07-16	70
2015-07-17	72
2015-07-18	79
2015-07-19	119
2015-07-20	74
2015-07-21	65
2015-07-22	84
2015-07-23	81
2015-07-24	74
2015-07-25	79
2015-07-26	92
2015-07-27	74
2015-07-28	115
2015-07-29	77
2015-07-30	136
2015-07-31	95
2015-08-01	83
2015-08-02	65
2015-08-03	85
2015-08-04	84
2015-08-05	114
2015-08-06	93
2015-08-07	201
2015-08-08	109
2015-08-09	76
2015-08-10	88
2015-08-11	80
2015-08-12	103
2015-08-13	89
2015-08-14	101
2015-08-15	60
2015-08-16	84
2015-08-17	74
2015-08-18	136
2015-08-19	74
2015-08-20	85
2015-08-21	82
2015-08-22	76
2015-08-23	88
2015-08-24	80
2015-08-25	70
2015-08-26	96
2015-08-27	131
2015-08-28	94
2015-08-29	87
2015-08-30	91
2015-08-31	64
2015-09-01	64
2015-09-02	74
2015-09-03	72
2015-09-04	80
2015-09-05	81
2015-09-06	88
2015-09-07	91
2015-09-08	191
2015-09-09	100
2015-09-10	81
2015-09-11	91
2015-09-12	66
2015-09-13	88
2015-09-14	75
2015-09-15	89
2015-09-16	75
2015-09-17	82
2015-09-18	68
2015-09-19	92
2015-09-20	108
2015-09-21	79
2015-09-22	109
2015-09-23	107
2015-09-24	87
2015-09-25	69
2015-09-26	94
2015-09-27	97
2015-09-28	89
2015-09-29	114
2015-09-30	90
2015-10-01	89
2015-10-02	80
2015-10-03	89
2015-10-04	240
2015-10-05	84
2015-10-06	80
2015-10-07	80
2015-10-08	98
2015-10-09	88
2015-10-10	85
2015-10-11	96
2015-10-12	127
2015-10-13	101
2015-10-14	82
2015-10-15	88
2015-10-16	104
2015-10-17	101
2015-10-18	93
2015-10-19	83
2015-10-20	101
2015-10-21	97
2015-10-22	92
2015-10-23	73
2015-10-24	85
2015-10-25	100
2015-10-26	70
2015-10-27	83
2015-10-28	128
2015-10-29	357
2015-10-30	130
2015-10-31	89
2015-11-01	76
2015-11-02	68
2015-11-03	86
2015-11-04	80
2015-11-05	65
2015-11-06	90
2015-11-07	73
2015-11-08	95
2015-11-09	226
2015-11-10	92
2015-11-11	74
