date	freq
2015-06-01	199
2015-06-02	194
2015-06-03	189
2015-06-04	209
2015-06-05	249
2015-06-06	208
2015-06-07	179
2015-06-08	223
2015-06-09	211
2015-06-10	196
2015-06-11	185
2015-06-12	223
2015-06-13	204
2015-06-14	190
2015-06-15	196
2015-06-16	226
2015-06-17	208
2015-06-18	197
2015-06-19	206
2015-06-20	211
2015-06-21	208
2015-06-22	214
2015-06-23	217
2015-06-24	199
2015-06-25	185
2015-06-26	202
2015-06-27	178
2015-06-28	197
2015-06-29	216
2015-06-30	223
2015-07-01	215
2015-07-02	192
2015-07-03	203
2015-07-04	171
2015-07-05	206
2015-07-06	204
2015-07-07	219
2015-07-08	190
2015-07-09	210
2015-07-10	189
2015-07-11	205
2015-07-12	202
2015-07-13	181
2015-07-14	176
2015-07-15	186
2015-07-16	196
2015-07-17	177
2015-07-18	179
2015-07-19	171
2015-07-20	171
2015-07-21	205
2015-07-22	185
2015-07-23	176
2015-07-24	171
2015-07-25	176
2015-07-26	168
2015-07-27	163
2015-07-28	177
2015-07-29	182
2015-07-30	187
2015-07-31	168
2015-08-01	156
2015-08-02	149
2015-08-03	167
2015-08-04	164
2015-08-05	181
2015-08-06	169
2015-08-07	190
2015-08-08	175
2015-08-09	152
2015-08-10	179
2015-08-11	164
2015-08-12	178
2015-08-13	163
2015-08-14	171
2015-08-15	146
2015-08-16	187
2015-08-17	167
2015-08-18	164
2015-08-19	183
2015-08-20	194
2015-08-21	171
2015-08-22	172
2015-08-23	187
2015-08-24	193
2015-08-25	169
2015-08-26	176
2015-08-27	181
2015-08-28	218
2015-08-29	167
2015-08-30	195
2015-08-31	189
2015-09-01	210
2015-09-02	213
2015-09-03	221
2015-09-04	191
2015-09-05	172
2015-09-06	194
2015-09-07	239
2015-09-08	178
2015-09-09	222
2015-09-10	197
2015-09-11	180
2015-09-12	207
2015-09-13	208
2015-09-14	196
2015-09-15	213
2015-09-16	210
2015-09-17	216
2015-09-18	198
2015-09-19	168
2015-09-20	156
2015-09-21	166
2015-09-22	166
2015-09-23	204
2015-09-24	189
2015-09-25	216
2015-09-26	285
2015-09-27	229
2015-09-28	207
2015-09-29	182
2015-09-30	212
2015-10-01	210
2015-10-02	232
2015-10-03	193
2015-10-04	207
2015-10-05	214
2015-10-06	221
2015-10-07	225
2015-10-08	211
2015-10-09	205
2015-10-10	193
2015-10-11	215
