date	freq
2015-06-01	21
2015-06-02	30
2015-06-03	27
2015-06-04	31
2015-06-05	13
2015-06-06	11
2015-06-07	18
2015-06-08	20
2015-06-09	10
2015-06-10	27
2015-06-11	23
2015-06-12	17
2015-06-13	15
2015-06-14	24
2015-06-15	15
2015-06-16	22
2015-06-17	9
2015-06-18	20
2015-06-19	20
2015-06-20	18
2015-06-21	23
2015-06-22	21
2015-06-23	23
2015-06-24	17
2015-06-25	28
2015-06-26	15
2015-06-27	17
2015-06-28	27
2015-06-29	19
2015-06-30	15
2015-07-01	14
2015-07-02	13
2015-07-03	17
2015-07-04	30
2015-07-05	24
2015-07-06	31
2015-07-07	22
2015-07-08	27
2015-07-09	21
2015-07-10	18
2015-07-11	13
2015-07-12	22
2015-07-13	20
2015-07-14	28
2015-07-15	16
2015-07-16	16
2015-07-17	11
2015-07-18	13
2015-07-19	15
2015-07-20	22
2015-07-21	20
2015-07-22	26
2015-07-23	27
2015-07-24	18
2015-07-25	16
2015-07-26	25
2015-07-27	32
2015-07-28	19
2015-07-29	17
2015-07-30	21
2015-07-31	29
2015-08-01	26
2015-08-02	19
2015-08-03	20
2015-08-04	22
2015-08-05	17
2015-08-06	21
2015-08-07	16
2015-08-08	22
2015-08-09	22
2015-08-10	28
2015-08-11	16
2015-08-12	13
2015-08-13	18
2015-08-14	12
2015-08-15	17
2015-08-16	15
2015-08-17	14
2015-08-18	12
2015-08-19	17
2015-08-20	19
2015-08-21	14
2015-08-22	7
2015-08-23	15
2015-08-24	35
2015-08-25	24
2015-08-26	21
2015-08-27	24
2015-08-28	14
2015-08-29	9
2015-08-30	11
2015-08-31	21
2015-09-01	12
2015-09-02	27
2015-09-03	25
2015-09-04	16
2015-09-05	15
2015-09-06	17
2015-09-07	22
2015-09-08	21
2015-09-09	26
2015-09-10	10
2015-09-11	16
2015-09-12	16
2015-09-13	22
2015-09-14	22
2015-09-15	20
2015-09-16	17
2015-09-17	17
2015-09-18	12
2015-09-19	9
2015-09-20	14
2015-09-21	11
2015-09-22	18
2015-09-23	20
2015-09-24	11
2015-09-25	15
2015-09-26	12
2015-09-27	11
2015-09-28	13
2015-09-29	12
2015-09-30	16
2015-10-01	16
2015-10-02	8
2015-10-03	13
2015-10-04	12
2015-10-05	15
2015-10-06	14
2015-10-07	11
2015-10-08	14
2015-10-09	22
2015-10-10	21
2015-10-11	10
2015-10-12	13
2015-10-13	18
2015-10-14	12
2015-10-15	18
2015-10-16	28
2015-10-17	19
2015-10-18	16
2015-10-19	23
2015-10-20	10
2015-10-21	19
2015-10-22	15
2015-10-23	21
2015-10-24	19
2015-10-25	17
2015-10-26	32
2015-10-27	31
2015-10-28	35
2015-10-29	9
2015-10-30	12
2015-10-31	15
2015-11-01	10
2015-11-02	14
2015-11-03	15
2015-11-04	15
2015-11-05	17
2015-11-06	19
2015-11-07	19
2015-11-08	47
2015-11-09	26
2015-11-10	26
2015-11-11	20
2015-11-12	16
2015-11-13	16
2015-11-14	18
2015-11-15	18
2015-11-16	9
2015-11-17	17
2015-11-18	20
2015-11-19	24
2015-11-20	11
2015-11-21	14
2015-11-22	19
2015-11-23	18
2015-11-24	20
2015-11-25	12
2015-11-26	19
2015-11-27	23
2015-11-28	16
2015-11-29	14
2015-11-30	29
2015-12-01	19
2015-12-02	90
2015-12-03	154
2015-12-04	152
2015-12-05	136
2015-12-06	125
2015-12-07	132
2015-12-08	133
2015-12-09	97
2015-12-10	102
2015-12-11	41
2015-12-12	47
2015-12-13	46
2015-12-14	49
2015-12-15	54
2015-12-16	38
2015-12-17	12
2015-12-18	20
2015-12-19	14
2015-12-20	17
2015-12-21	16
2015-12-22	13
2015-12-23	24
2015-12-24	25
2015-12-25	15
2015-12-26	12
2015-12-27	12
2015-12-28	14
2015-12-29	18
2015-12-30	22
2015-12-31	16
2016-01-01	13
2016-01-02	15
2016-01-03	13
2016-01-04	7
2016-01-05	17
2016-01-06	14
2016-01-07	18
2016-01-08	13
2016-01-09	11
2016-01-10	25
2016-01-11	22
2016-01-12	16
2016-01-13	17
2016-01-14	10
2016-01-15	13
2016-01-16	6
