date	freq
2015-06-01	22
2015-06-02	12
2015-06-03	6
2015-06-04	19
2015-06-05	12
2015-06-06	15
2015-06-07	8
2015-06-08	17
2015-06-09	8
2015-06-10	8
2015-06-11	17
2015-06-12	12
2015-06-13	11
2015-06-14	7
2015-06-15	16
2015-06-16	12
2015-06-17	17
2015-06-18	12
2015-06-19	19
2015-06-20	9
2015-06-21	15
2015-06-22	12
2015-06-23	15
2015-06-24	15
2015-06-25	17
2015-06-26	16
2015-06-27	11
2015-06-28	16
2015-06-29	16
2015-06-30	13
2015-07-01	14
2015-07-02	6
2015-07-03	19
2015-07-04	10
2015-07-05	15
2015-07-06	14
2015-07-07	12
2015-07-08	19
2015-07-09	23
2015-07-10	18
2015-07-11	21
2015-07-12	8
2015-07-13	17
2015-07-14	17
2015-07-15	19
2015-07-16	17
2015-07-17	17
2015-07-18	19
2015-07-19	19
2015-07-20	17
2015-07-21	20
2015-07-22	18
2015-07-23	17
2015-07-24	24
2015-07-25	18
2015-07-26	20
2015-07-27	12
2015-07-28	16
2015-07-29	19
2015-07-30	14
2015-07-31	17
2015-08-01	15
2015-08-02	16
2015-08-03	19
2015-08-04	17
2015-08-05	17
2015-08-06	19
2015-08-07	18
2015-08-08	14
2015-08-09	14
2015-08-10	24
2015-08-11	12
2015-08-12	28
2015-08-13	17
2015-08-14	15
2015-08-15	14
2015-08-16	11
2015-08-17	11
2015-08-18	23
2015-08-19	15
2015-08-20	13
2015-08-21	18
2015-08-22	17
2015-08-23	17
2015-08-24	25
2015-08-25	20
2015-08-26	9
2015-08-27	17
2015-08-28	14
2015-08-29	13
2015-08-30	15
2015-08-31	11
2015-09-01	21
2015-09-02	16
2015-09-03	17
2015-09-04	17
2015-09-05	15
2015-09-06	23
2015-09-07	16
2015-09-08	13
2015-09-09	21
2015-09-10	22
2015-09-11	17
2015-09-12	18
2015-09-13	9
2015-09-14	14
2015-09-15	12
2015-09-16	10
2015-09-17	13
2015-09-18	10
2015-09-19	9
2015-09-20	9
2015-09-21	18
2015-09-22	13
2015-09-23	9
2015-09-24	16
2015-09-25	15
2015-09-26	12
2015-09-27	13
2015-09-28	9
2015-09-29	17
2015-09-30	15
2015-10-01	6
2015-10-02	11
2015-10-03	11
2015-10-04	10
2015-10-05	12
2015-10-06	5
2015-10-07	9
2015-10-08	13
2015-10-09	13
2015-10-10	10
2015-10-11	14
2015-10-12	11
2015-10-13	12
2015-10-14	8
2015-10-15	11
2015-10-16	17
2015-10-17	18
2015-10-18	10
2015-10-19	15
2015-10-20	14
2015-10-21	13
2015-10-22	16
2015-10-23	9
2015-10-24	8
2015-10-25	11
2015-10-26	5
2015-10-27	10
2015-10-28	11
2015-10-29	10
2015-10-30	11
2015-10-31	14
2015-11-01	14
2015-11-02	8
2015-11-03	16
2015-11-04	10
2015-11-05	15
2015-11-06	10
2015-11-07	11
2015-11-08	102
2015-11-09	15
2015-11-10	6
2015-11-11	8
2015-11-12	20
2015-11-13	67
2015-11-14	32
2015-11-15	18
2015-11-16	17
2015-11-17	13
2015-11-18	12
2015-11-19	18
2015-11-20	12
2015-11-21	11
2015-11-22	12
2015-11-23	17
2015-11-24	8
2015-11-25	7
2015-11-26	10
2015-11-27	17
2015-11-28	11
2015-11-29	9
2015-11-30	16
2015-12-01	13
2015-12-02	15
2015-12-03	12
2015-12-04	10
2015-12-05	9
2015-12-06	15
2015-12-07	11
2015-12-08	8
2015-12-09	8
2015-12-10	15
2015-12-11	14
2015-12-12	14
2015-12-13	11
2015-12-14	6
2015-12-15	11
2015-12-16	5
2015-12-17	8
2015-12-18	16
2015-12-19	13
2015-12-20	9
2015-12-21	8
2015-12-22	14
2015-12-23	11
2015-12-24	13
2015-12-25	10
2015-12-26	7
2015-12-27	3
2015-12-28	15
2015-12-29	14
2015-12-30	16
2015-12-31	14
2016-01-01	10
2016-01-02	9
2016-01-03	10
2016-01-04	6
2016-01-05	17
2016-01-06	14
2016-01-07	5
2016-01-08	8
2016-01-09	9
2016-01-10	9
2016-01-11	8
2016-01-12	4
2016-01-13	7
2016-01-14	5
2016-01-15	13
2016-01-16	14
2016-01-17	14
2016-01-18	7
2016-01-19	10
2016-01-20	9
2016-01-21	10
2016-01-22	9
2016-01-23	13
2016-01-24	13
2016-01-25	14
2016-01-26	13
2016-01-27	18
2016-01-28	11
2016-01-29	7
2016-01-30	13
2016-01-31	14
2016-02-01	12
2016-02-02	10
2016-02-03	9
2016-02-04	31
2016-02-05	12
2016-02-06	20
2016-02-07	7
2016-02-08	9
2016-02-09	12
2016-02-10	10
2016-02-11	6
2016-02-12	4
2016-02-13	10
2016-02-14	12
2016-02-15	14
2016-02-16	35
2016-02-17	8
2016-02-18	4
2016-02-19	12
2016-02-20	11
2016-02-21	11
2016-02-22	12
2016-02-23	9
2016-02-24	10
2016-02-25	9
2016-02-26	15
2016-02-27	11
2016-02-28	9
2016-02-29	7
2016-03-01	10
2016-03-02	12
2016-03-03	15
2016-03-04	9
2016-03-05	15
2016-03-06	6
2016-03-07	8
2016-03-08	19
2016-03-09	15
2016-03-10	12
2016-03-11	6
2016-03-12	8
2016-03-13	16
2016-03-14	29
2016-03-15	12
2016-03-16	11
2016-03-17	12
2016-03-18	7
2016-03-19	8
2016-03-20	10
2016-03-21	9
2016-03-22	14
2016-03-23	13
2016-03-24	6
2016-03-25	10
2016-03-26	15
2016-03-27	13
2016-03-28	12
2016-03-29	10
2016-03-30	17
2016-03-31	15
2016-04-01	5
2016-04-02	10
2016-04-03	7
2016-04-04	10
2016-04-05	5
2016-04-06	11
2016-04-07	7
2016-04-08	5
2016-04-09	12
2016-04-10	15
2016-04-11	10
2016-04-12	12
2016-04-13	14
2016-04-14	13
2016-04-15	6
2016-04-16	5
2016-04-17	7
2016-04-18	7
2016-04-19	7
2016-04-20	8
2016-04-21	8
2016-04-22	4
2016-04-23	10
2016-04-24	20
2016-04-25	9
2016-04-26	13
2016-04-27	12
2016-04-28	13
2016-04-29	10
2016-04-30	6
2016-05-01	9
2016-05-02	8
2016-05-03	20
2016-05-04	18
2016-05-05	8
2016-05-06	5
2016-05-07	14
2016-05-08	15
2016-05-09	15
2016-05-10	14
2016-05-11	11
2016-05-12	10
2016-05-13	12
2016-05-14	15
2016-05-15	6
2016-05-16	15
2016-05-17	12
2016-05-18	11
2016-05-19	7
2016-05-20	20
2016-05-21	16
2016-05-22	12
2016-05-23	10
2016-05-24	11
2016-05-25	10
2016-05-26	16
2016-05-27	14
2016-05-28	7
2016-05-29	12
2016-05-30	14
2016-05-31	11
