date	freq
2015-06-01	14
2015-06-02	6
2015-06-03	9
2015-06-04	9
2015-06-05	5
2015-06-06	1
2015-06-07	8
2015-06-08	5
2015-06-09	10
2015-06-10	5
2015-06-11	20
2015-06-12	10
2015-06-13	6
2015-06-14	9
2015-06-15	11
2015-06-16	12
2015-06-17	13
2015-06-18	12
2015-06-19	15
2015-06-20	11
2015-06-21	11
2015-06-22	11
2015-06-23	9
2015-06-24	7
2015-06-25	10
2015-06-26	17
2015-06-27	9
2015-06-28	8
2015-06-29	10
2015-06-30	7
2015-07-01	7
2015-07-02	12
2015-07-03	7
2015-07-04	13
2015-07-05	8
2015-07-06	13
2015-07-07	11
2015-07-08	5
2015-07-09	13
2015-07-10	12
2015-07-11	14
2015-07-12	8
2015-07-13	16
2015-07-14	5
2015-07-15	7
2015-07-16	8
2015-07-17	18
2015-07-18	16
2015-07-19	4
2015-07-20	5
2015-07-21	15
2015-07-22	5
2015-07-23	6
2015-07-24	10
2015-07-25	5
2015-07-26	6
2015-07-27	13
2015-07-28	7
2015-07-29	13
2015-07-30	8
2015-07-31	7
2015-08-01	11
2015-08-02	5
2015-08-03	10
2015-08-04	15
2015-08-05	15
2015-08-06	7
2015-08-07	9
2015-08-08	7
2015-08-09	13
2015-08-10	12
2015-08-11	23
2015-08-12	7
2015-08-13	6
2015-08-14	17
2015-08-15	14
2015-08-16	31
2015-08-17	13
2015-08-18	11
2015-08-19	8
2015-08-20	18
2015-08-21	14
2015-08-22	14
2015-08-23	15
2015-08-24	6
2015-08-25	13
2015-08-26	10
2015-08-27	9
2015-08-28	9
2015-08-29	7
2015-08-30	12
2015-08-31	10
2015-09-01	9
2015-09-02	15
2015-09-03	16
2015-09-04	13
2015-09-05	12
2015-09-06	10
2015-09-07	17
2015-09-08	17
2015-09-09	9
2015-09-10	13
2015-09-11	9
2015-09-12	9
2015-09-13	23
2015-09-14	14
2015-09-15	11
2015-09-16	9
2015-09-17	10
2015-09-18	9
2015-09-19	4
2015-09-20	24
2015-09-21	17
2015-09-22	20
2015-09-23	14
2015-09-24	17
2015-09-25	8
2015-09-26	15
2015-09-27	11
2015-09-28	9
2015-09-29	9
2015-09-30	16
2015-10-01	11
2015-10-02	13
2015-10-03	16
2015-10-04	16
2015-10-05	12
2015-10-06	21
2015-10-07	19
2015-10-08	22
2015-10-09	16
2015-10-10	23
2015-10-11	21
2015-10-12	15
2015-10-13	15
2015-10-14	18
2015-10-15	20
2015-10-16	10
2015-10-17	21
2015-10-18	24
2015-10-19	22
2015-10-20	35
2015-10-21	29
2015-10-22	16
2015-10-23	21
2015-10-24	18
2015-10-25	29
2015-10-26	8
2015-10-27	19
2015-10-28	10
2015-10-29	6
2015-10-30	13
2015-10-31	14
2015-11-01	30
2015-11-02	23
2015-11-03	21
2015-11-04	17
2015-11-05	19
2015-11-06	17
2015-11-07	20
2015-11-08	17
2015-11-09	15
2015-11-10	14
2015-11-11	25
2015-11-12	16
2015-11-13	16
2015-11-14	13
2015-11-15	29
2015-11-16	23
2015-11-17	22
2015-11-18	30
2015-11-19	13
2015-11-20	21
2015-11-21	11
2015-11-22	21
2015-11-23	18
2015-11-24	19
2015-11-25	20
2015-11-26	17
