date	freq
2015-06-01	136
2015-06-02	157
2015-06-03	132
2015-06-04	171
2015-06-05	167
2015-06-06	133
2015-06-07	134
2015-06-08	148
2015-06-09	146
2015-06-10	140
2015-06-11	130
2015-06-12	203
2015-06-13	157
2015-06-14	155
2015-06-15	179
2015-06-16	147
2015-06-17	112
2015-06-18	114
2015-06-19	129
2015-06-20	149
2015-06-21	154
2015-06-22	164
2015-06-23	130
2015-06-24	155
2015-06-25	145
2015-06-26	161
2015-06-27	153
2015-06-28	139
2015-06-29	162
2015-06-30	145
2015-07-01	185
2015-07-02	141
2015-07-03	148
2015-07-04	165
2015-07-05	170
2015-07-06	146
2015-07-07	128
2015-07-08	130
2015-07-09	157
2015-07-10	114
2015-07-11	121
2015-07-12	142
2015-07-13	113
2015-07-14	150
2015-07-15	137
2015-07-16	160
2015-07-17	155
2015-07-18	106
2015-07-19	176
2015-07-20	201
2015-07-21	170
2015-07-22	163
2015-07-23	146
2015-07-24	134
2015-07-25	119
2015-07-26	129
2015-07-27	133
2015-07-28	160
2015-07-29	150
2015-07-30	153
2015-07-31	154
2015-08-01	149
2015-08-02	179
2015-08-03	112
2015-08-04	131
2015-08-05	134
2015-08-06	121
2015-08-07	106
2015-08-08	122
2015-08-09	156
2015-08-10	121
2015-08-11	106
2015-08-12	111
2015-08-13	120
2015-08-14	121
2015-08-15	149
2015-08-16	134
2015-08-17	124
2015-08-18	108
2015-08-19	140
2015-08-20	143
2015-08-21	148
2015-08-22	133
2015-08-23	130
2015-08-24	113
2015-08-25	111
2015-08-26	112
2015-08-27	132
2015-08-28	129
2015-08-29	132
2015-08-30	127
2015-08-31	134
2015-09-01	94
2015-09-02	123
2015-09-03	112
2015-09-04	108
2015-09-05	124
2015-09-06	150
2015-09-07	149
2015-09-08	131
2015-09-09	126
2015-09-10	128
2015-09-11	182
2015-09-12	131
2015-09-13	166
2015-09-14	129
2015-09-15	150
2015-09-16	133
2015-09-17	117
2015-09-18	126
2015-09-19	134
2015-09-20	132
2015-09-21	168
2015-09-22	163
2015-09-23	241
2015-09-24	144
2015-09-25	132
2015-09-26	143
2015-09-27	161
2015-09-28	148
2015-09-29	141
2015-09-30	124
2015-10-01	119
2015-10-02	110
2015-10-03	132
2015-10-04	153
2015-10-05	137
2015-10-06	131
2015-10-07	144
2015-10-08	164
2015-10-09	153
2015-10-10	128
2015-10-11	142
2015-10-12	189
2015-10-13	165
2015-10-14	158
2015-10-15	115
2015-10-16	148
2015-10-17	143
2015-10-18	171
2015-10-19	169
2015-10-20	173
2015-10-21	154
2015-10-22	149
2015-10-23	139
2015-10-24	167
2015-10-25	152
2015-10-26	161
2015-10-27	135
2015-10-28	143
2015-10-29	158
2015-10-30	131
2015-10-31	143
2015-11-01	138
2015-11-02	151
2015-11-03	161
2015-11-04	158
2015-11-05	141
2015-11-06	177
2015-11-07	141
2015-11-08	158
2015-11-09	160
2015-11-10	156
2015-11-11	194
2015-11-12	136
2015-11-13	154
2015-11-14	143
2015-11-15	166
2015-11-16	164
2015-11-17	145
2015-11-18	129
2015-11-19	150
2015-11-20	139
2015-11-21	141
2015-11-22	165
2015-11-23	143
2015-11-24	132
2015-11-25	140
2015-11-26	139
2015-11-27	152
2015-11-28	136
2015-11-29	148
2015-11-30	138
2015-12-01	177
2015-12-02	155
2015-12-03	169
