date	freq
2015-06-01	164
2015-06-02	278
2015-06-03	208
2015-06-04	329
2015-06-05	200
2015-06-06	183
2015-06-07	203
2015-06-08	275
2015-06-09	56
2015-06-10	191
2015-06-11	203
2015-06-12	217
2015-06-13	248
2015-06-14	235
2015-06-15	251
2015-06-16	153
2015-06-17	141
2015-06-18	215
2015-06-19	161
2015-06-20	156
2015-06-21	292
2015-06-22	201
2015-06-23	268
2015-06-24	336
2015-06-25	154
2015-06-26	428
2015-06-27	242
2015-06-28	202
2015-06-29	179
2015-06-30	586
2015-07-01	328
2015-07-02	180
2015-07-03	112
2015-07-04	290
2015-07-05	189
2015-07-06	186
2015-07-07	162
2015-07-08	203
2015-07-09	194
2015-07-10	235
2015-07-11	207
2015-07-12	249
2015-07-13	188
2015-07-14	295
2015-07-15	305
2015-07-16	192
2015-07-17	164
2015-07-18	239
2015-07-19	803
2015-07-20	350
2015-07-21	387
2015-07-22	219
2015-07-23	267
2015-07-24	259
2015-07-25	221
2015-07-26	375
2015-07-27	312
2015-07-28	380
2015-07-29	219
2015-07-30	351
2015-07-31	362
2015-08-01	356
2015-08-02	225
2015-08-03	240
2015-08-04	262
2015-08-05	722
2015-08-06	1603
2015-08-07	1876
2015-08-08	1115
2015-08-09	1424
2015-08-10	898
2015-08-11	535
2015-08-12	413
2015-08-13	420
2015-08-14	332
2015-08-15	280
2015-08-16	281
2015-08-17	249
2015-08-18	290
2015-08-19	355
2015-08-20	362
2015-08-21	455
2015-08-22	243
2015-08-23	255
2015-08-24	212
2015-08-25	191
2015-08-26	188
2015-08-27	307
2015-08-28	267
2015-08-29	261
2015-08-30	230
2015-08-31	256
2015-09-01	216
2015-09-02	667
2015-09-03	229
2015-09-04	320
2015-09-05	222
2015-09-06	241
2015-09-07	163
2015-09-08	169
2015-09-09	202
2015-09-10	411
2015-09-11	307
2015-09-12	341
2015-09-13	338
2015-09-14	197
2015-09-15	183
2015-09-16	151
2015-09-17	175
2015-09-18	196
2015-09-19	247
2015-09-20	451
2015-09-21	257
2015-09-22	487
2015-09-23	1372
2015-09-24	221
2015-09-25	173
2015-09-26	211
2015-09-27	223
2015-09-28	194
2015-09-29	190
2015-09-30	124
2015-10-01	143
2015-10-02	145
2015-10-03	177
2015-10-04	201
2015-10-05	253
2015-10-06	499
2015-10-07	260
2015-10-08	276
2015-10-09	183
2015-10-10	173
2015-10-11	226
2015-10-12	258
2015-10-13	474
2015-10-14	213
2015-10-15	195
2015-10-16	690
2015-10-17	382
2015-10-18	244
2015-10-19	261
2015-10-20	453
2015-10-21	263
2015-10-22	257
2015-10-23	277
2015-10-24	267
2015-10-25	450
2015-10-26	655
2015-10-27	226
2015-10-28	215
2015-10-29	176
2015-10-30	161
2015-10-31	180
2015-11-01	193
2015-11-02	140
2015-11-03	268
2015-11-04	192
2015-11-05	388
2015-11-06	218
2015-11-07	190
2015-11-08	212
2015-11-09	359
2015-11-10	192
2015-11-11	238
2015-11-12	173
2015-11-13	259
2015-11-14	161
2015-11-15	181
2015-11-16	163
2015-11-17	156
2015-11-18	139
2015-11-19	144
2015-11-20	161
2015-11-21	191
2015-11-22	185
2015-11-23	178
2015-11-24	372
2015-11-25	140
2015-11-26	162
2015-11-27	141
2015-11-28	148
2015-11-29	3998
2015-11-30	1382
2015-12-01	278
2015-12-02	291
2015-12-03	178
2015-12-04	188
2015-12-05	218
2015-12-06	218
2015-12-07	314
2015-12-08	178
2015-12-09	322
2015-12-10	359
2015-12-11	274
2015-12-12	417
2015-12-13	225
2015-12-14	191
2015-12-15	202
2015-12-16	154
2015-12-17	345
2015-12-18	218
2015-12-19	259
2015-12-20	250
2015-12-21	184
2015-12-22	351
2015-12-23	312
2015-12-24	448
2015-12-25	1219
2015-12-26	908
2015-12-27	753
2015-12-28	307
2015-12-29	272
2015-12-30	284
2015-12-31	877
2016-01-01	660
2016-01-02	260
2016-01-03	248
2016-01-04	237
2016-01-05	377
2016-01-06	333
2016-01-07	207
2016-01-08	256
2016-01-09	249
2016-01-10	233
2016-01-11	318
2016-01-12	183
2016-01-13	454
2016-01-14	314
2016-01-15	347
2016-01-16	304
2016-01-17	283
2016-01-18	188
2016-01-19	220
2016-01-20	195
2016-01-21	200
2016-01-22	461
2016-01-23	220
2016-01-24	219
2016-01-25	188
2016-01-26	181
2016-01-27	220
2016-01-28	202
2016-01-29	193
2016-01-30	230
2016-01-31	174
2016-02-01	163
2016-02-02	154
2016-02-03	239
2016-02-04	209
2016-02-05	324
2016-02-06	199
2016-02-07	213
2016-02-08	156
2016-02-09	213
2016-02-10	180
2016-02-11	167
2016-02-12	153
2016-02-13	174
2016-02-14	175
2016-02-15	156
2016-02-16	135
2016-02-17	193
2016-02-18	137
2016-02-19	144
