date	freq
2015-06-01	13
2015-06-02	14
2015-06-03	15
2015-06-04	41
2015-06-05	22
2015-06-06	29
2015-06-07	28
2015-06-08	29
2015-06-09	22
2015-06-10	20
2015-06-11	24
2015-06-12	28
2015-06-13	42
2015-06-14	44
2015-06-15	25
2015-06-16	22
2015-06-17	12
2015-06-18	11
2015-06-19	14
2015-06-20	11
2015-06-21	22
2015-06-22	14
2015-06-23	11
2015-06-24	24
2015-06-25	13
2015-06-26	13
2015-06-27	16
2015-06-28	24
2015-06-29	15
2015-06-30	13
2015-07-01	14
2015-07-02	14
2015-07-03	10
2015-07-04	17
2015-07-05	24
2015-07-06	18
2015-07-07	8
2015-07-08	12
2015-07-09	8
2015-07-10	18
2015-07-11	22
2015-07-12	18
2015-07-13	18
2015-07-14	14
2015-07-15	13
2015-07-16	28
2015-07-17	19
2015-07-18	27
2015-07-19	23
2015-07-20	22
2015-07-21	22
2015-07-22	24
2015-07-23	13
2015-07-24	18
2015-07-25	18
2015-07-26	16
2015-07-27	14
2015-07-28	16
2015-07-29	24
2015-07-30	25
2015-07-31	26
2015-08-01	18
2015-08-02	12
2015-08-03	15
2015-08-04	14
2015-08-05	17
2015-08-06	27
2015-08-07	15
2015-08-08	8
2015-08-09	24
2015-08-10	6
2015-08-11	8
2015-08-12	20
2015-08-13	13
2015-08-14	22
2015-08-15	14
2015-08-16	16
2015-08-17	13
2015-08-18	9
2015-08-19	38
2015-08-20	19
2015-08-21	18
2015-08-22	18
2015-08-23	20
2015-08-24	16
2015-08-25	10
2015-08-26	18
2015-08-27	25
2015-08-28	18
2015-08-29	15
2015-08-30	22
2015-08-31	17
2015-09-01	17
2015-09-02	9
2015-09-03	16
2015-09-04	17
2015-09-05	11
2015-09-06	31
2015-09-07	24
2015-09-08	16
2015-09-09	17
2015-09-10	15
2015-09-11	16
2015-09-12	12
2015-09-13	14
2015-09-14	25
2015-09-15	7
2015-09-16	13
2015-09-17	16
2015-09-18	19
2015-09-19	7
2015-09-20	17
2015-09-21	10
2015-09-22	7
2015-09-23	16
2015-09-24	6
2015-09-25	8
2015-09-26	8
2015-09-27	8
2015-09-28	3
2015-09-29	12
2015-09-30	9
2015-10-01	22
2015-10-02	12
2015-10-03	17
2015-10-04	8
2015-10-05	4
2015-10-06	13
2015-10-07	8
2015-10-08	12
2015-10-09	18
2015-10-10	14
2015-10-11	16
2015-10-12	12
2015-10-13	6
2015-10-14	12
2015-10-15	11
2015-10-16	13
2015-10-17	5
2015-10-18	15
2015-10-19	11
