date	freq
2015-06-01	7
2015-06-02	3
2015-06-03	0
2015-06-04	2
2015-06-05	4
2015-06-06	1
2015-06-07	4
2015-06-08	20
2015-06-09	4
2015-06-10	9
2015-06-11	6
2015-06-12	5
2015-06-13	3
2015-06-14	7
2015-06-15	5
2015-06-16	9
2015-06-17	3
2015-06-18	4
2015-06-19	8
2015-06-20	5
2015-06-21	1
2015-06-22	5
2015-06-23	7
2015-06-24	3
2015-06-25	15
2015-06-26	5
2015-06-27	4
2015-06-28	8
2015-06-29	6
2015-06-30	4
2015-07-01	4
2015-07-02	4
2015-07-03	2
2015-07-04	4
2015-07-05	3
2015-07-06	6
2015-07-07	8
2015-07-08	5
2015-07-09	3
2015-07-10	8
2015-07-11	4
2015-07-12	1
2015-07-13	3
2015-07-14	3
2015-07-15	5
2015-07-16	6
2015-07-17	3
2015-07-18	2
2015-07-19	0
2015-07-20	8
2015-07-21	4
2015-07-22	7
2015-07-23	2
2015-07-24	2
2015-07-25	4
2015-07-26	4
2015-07-27	5
2015-07-28	3
2015-07-29	4
2015-07-30	5
2015-07-31	5
2015-08-01	3
2015-08-02	5
2015-08-03	8
2015-08-04	2
2015-08-05	6
2015-08-06	6
2015-08-07	4
2015-08-08	10
2015-08-09	4
2015-08-10	6
2015-08-11	3
2015-08-12	4
2015-08-13	6
2015-08-14	5
2015-08-15	4
2015-08-16	11
2015-08-17	4
2015-08-18	6
2015-08-19	5
2015-08-20	2
2015-08-21	3
2015-08-22	0
2015-08-23	2
2015-08-24	1
2015-08-25	8
2015-08-26	7
2015-08-27	8
2015-08-28	2
2015-08-29	3
2015-08-30	4
2015-08-31	3
2015-09-01	3
2015-09-02	4
2015-09-03	4
2015-09-04	2
2015-09-05	3
2015-09-06	2
2015-09-07	5
2015-09-08	3
2015-09-09	3
2015-09-10	1
2015-09-11	6
2015-09-12	1
2015-09-13	4
2015-09-14	1
2015-09-15	5
2015-09-16	2
2015-09-17	5
2015-09-18	4
2015-09-19	5
2015-09-20	4
2015-09-21	4
2015-09-22	5
2015-09-23	7
2015-09-24	4
2015-09-25	4
2015-09-26	3
2015-09-27	6
2015-09-28	3
2015-09-29	3
2015-09-30	2
2015-10-01	3
2015-10-02	6
2015-10-03	2
2015-10-04	2
2015-10-05	4
2015-10-06	71
2015-10-07	5
2015-10-08	4
2015-10-09	5
2015-10-10	2
2015-10-11	6
2015-10-12	1
2015-10-13	5
2015-10-14	4
2015-10-15	0
2015-10-16	3
2015-10-17	5
2015-10-18	3
2015-10-19	9
2015-10-20	2
2015-10-21	2
2015-10-22	3
2015-10-23	2
2015-10-24	6
2015-10-25	1
2015-10-26	3
2015-10-27	7
2015-10-28	2
2015-10-29	2
2015-10-30	2
2015-10-31	1
2015-11-01	3
2015-11-02	1
2015-11-03	5
2015-11-04	2
2015-11-05	5
2015-11-06	10
2015-11-07	4
2015-11-08	6
2015-11-09	6
2015-11-10	3
2015-11-11	5
2015-11-12	1
2015-11-13	2
2015-11-14	2
2015-11-15	4
2015-11-16	4
2015-11-17	3
2015-11-18	2
2015-11-19	2
2015-11-20	6
2015-11-21	1
2015-11-22	2
2015-11-23	3
2015-11-24	2
2015-11-25	2
2015-11-26	2
2015-11-27	4
2015-11-28	6
2015-11-29	2
2015-11-30	9
2015-12-01	8
2015-12-02	3
2015-12-03	2
2015-12-04	2
2015-12-05	1
2015-12-06	2
2015-12-07	34
2015-12-08	4
2015-12-09	3
2015-12-10	8
2015-12-11	4
2015-12-12	5
2015-12-13	25
2015-12-14	7
2015-12-15	1
2015-12-16	5
2015-12-17	6
2015-12-18	4
2015-12-19	5
2015-12-20	7
2015-12-21	2
2015-12-22	3
2015-12-23	9
2015-12-24	2
2015-12-25	5
2015-12-26	8
2015-12-27	5
2015-12-28	3
2015-12-29	214
2015-12-30	75
2015-12-31	33
2016-01-01	11
2016-01-02	21
2016-01-03	19
2016-01-04	20
2016-01-05	24
2016-01-06	21
2016-01-07	24
2016-01-08	24
2016-01-09	12
2016-01-10	21
2016-01-11	18
2016-01-12	26
2016-01-13	37
2016-01-14	24
2016-01-15	8
2016-01-16	18
2016-01-17	21
2016-01-18	20
2016-01-19	7
2016-01-20	23
2016-01-21	14
2016-01-22	15
2016-01-23	14
2016-01-24	13
2016-01-25	126
2016-01-26	169
2016-01-27	136
2016-01-28	140
2016-01-29	122
2016-01-30	145
2016-01-31	39
2016-02-01	26
2016-02-02	14
2016-02-03	18
2016-02-04	12
2016-02-05	16
2016-02-06	20
2016-02-07	13
2016-02-08	15
2016-02-09	14
2016-02-10	9
2016-02-11	12
2016-02-12	18
2016-02-13	10
2016-02-14	18
2016-02-15	15
2016-02-16	13
2016-02-17	17
2016-02-18	3
2016-02-19	11
2016-02-20	13
2016-02-21	10
2016-02-22	10
2016-02-23	6
2016-02-24	15
2016-02-25	13
2016-02-26	12
2016-02-27	6
2016-02-28	6
2016-02-29	9
2016-03-01	6
2016-03-02	15
2016-03-03	13
2016-03-04	7
2016-03-05	11
2016-03-06	11
2016-03-07	8
2016-03-08	8
2016-03-09	9
2016-03-10	13
2016-03-11	6
2016-03-12	10
2016-03-13	11
2016-03-14	10
2016-03-15	6
2016-03-16	8
2016-03-17	22
2016-03-18	15
2016-03-19	11
2016-03-20	9
2016-03-21	23
2016-03-22	9
2016-03-23	9
2016-03-24	8
2016-03-25	3
2016-03-26	17
2016-03-27	9
2016-03-28	5
2016-03-29	10
2016-03-30	11
2016-03-31	6
2016-04-01	8
2016-04-02	10
2016-04-03	4
2016-04-04	9
2016-04-05	7
2016-04-06	12
2016-04-07	16
2016-04-08	10
2016-04-09	9
2016-04-10	5
2016-04-11	8
2016-04-12	6
2016-04-13	9
2016-04-14	8
2016-04-15	8
2016-04-16	6
2016-04-17	8
2016-04-18	8
2016-04-19	5
2016-04-20	3
2016-04-21	6
2016-04-22	10
2016-04-23	6
2016-04-24	7
2016-04-25	14
2016-04-26	8
2016-04-27	5
2016-04-28	6
2016-04-29	5
2016-04-30	11
2016-05-01	9
2016-05-02	8
2016-05-03	7
2016-05-04	9
2016-05-05	7
2016-05-06	5
2016-05-07	7
2016-05-08	8
2016-05-09	14
2016-05-10	8
2016-05-11	13
2016-05-12	12
2016-05-13	6
2016-05-14	12
2016-05-15	4
2016-05-16	12
2016-05-17	15
2016-05-18	7
2016-05-19	11
2016-05-20	9
2016-05-21	8
2016-05-22	15
2016-05-23	6
2016-05-24	8
2016-05-25	15
2016-05-26	10
2016-05-27	9
2016-05-28	7
2016-05-29	10
2016-05-30	5
2016-05-31	15
