date	freq
2015-06-01	127
2015-06-02	152
2015-06-03	135
2015-06-04	137
2015-06-05	122
2015-06-06	90
2015-06-07	150
2015-06-08	133
2015-06-09	112
2015-06-10	114
2015-06-11	103
2015-06-12	132
2015-06-13	90
2015-06-14	109
2015-06-15	128
2015-06-16	125
2015-06-17	120
2015-06-18	112
2015-06-19	130
2015-06-20	107
2015-06-21	145
2015-06-22	128
2015-06-23	104
2015-06-24	134
2015-06-25	101
2015-06-26	145
2015-06-27	120
2015-06-28	119
2015-06-29	156
2015-06-30	109
2015-07-01	116
2015-07-02	98
2015-07-03	122
2015-07-04	109
2015-07-05	153
2015-07-06	123
2015-07-07	136
2015-07-08	136
2015-07-09	125
2015-07-10	140
2015-07-11	91
2015-07-12	95
2015-07-13	160
2015-07-14	135
2015-07-15	120
2015-07-16	136
2015-07-17	104
2015-07-18	100
2015-07-19	105
2015-07-20	119
2015-07-21	150
2015-07-22	125
2015-07-23	252
2015-07-24	201
2015-07-25	108
2015-07-26	103
2015-07-27	128
2015-07-28	166
2015-07-29	104
2015-07-30	117
2015-07-31	122
2015-08-01	98
2015-08-02	89
2015-08-03	102
2015-08-04	124
2015-08-05	150
2015-08-06	118
2015-08-07	132
2015-08-08	91
2015-08-09	133
2015-08-10	105
2015-08-11	145
2015-08-12	117
2015-08-13	99
2015-08-14	114
2015-08-15	91
2015-08-16	91
2015-08-17	125
2015-08-18	143
2015-08-19	115
2015-08-20	198
2015-08-21	141
2015-08-22	157
2015-08-23	101
2015-08-24	134
2015-08-25	104
2015-08-26	112
2015-08-27	111
2015-08-28	113
2015-08-29	115
2015-08-30	124
2015-08-31	102
2015-09-01	136
2015-09-02	122
2015-09-03	140
2015-09-04	157
2015-09-05	128
2015-09-06	149
2015-09-07	145
2015-09-08	126
2015-09-09	118
2015-09-10	109
2015-09-11	104
2015-09-12	97
2015-09-13	100
2015-09-14	133
2015-09-15	105
2015-09-16	108
2015-09-17	104
2015-09-18	106
2015-09-19	97
2015-09-20	78
2015-09-21	106
2015-09-22	189
2015-09-23	114
2015-09-24	120
2015-09-25	172
2015-09-26	102
2015-09-27	125
2015-09-28	131
2015-09-29	145
2015-09-30	119
2015-10-01	117
2015-10-02	101
2015-10-03	106
2015-10-04	109
2015-10-05	135
2015-10-06	158
2015-10-07	168
2015-10-08	155
2015-10-09	148
2015-10-10	115
2015-10-11	101
2015-10-12	85
2015-10-13	178
2015-10-14	135
2015-10-15	136
2015-10-16	109
2015-10-17	133
2015-10-18	147
2015-10-19	131
2015-10-20	151
2015-10-21	95
2015-10-22	172
2015-10-23	136
2015-10-24	184
2015-10-25	117
2015-10-26	142
2015-10-27	107
2015-10-28	139
2015-10-29	191
2015-10-30	158
2015-10-31	127
2015-11-01	138
2015-11-02	174
2015-11-03	146
2015-11-04	196
2015-11-05	156
2015-11-06	174
2015-11-07	145
2015-11-08	155
2015-11-09	157
2015-11-10	149
2015-11-11	173
2015-11-12	207
2015-11-13	141
2015-11-14	134
2015-11-15	132
2015-11-16	116
2015-11-17	125
2015-11-18	151
2015-11-19	169
2015-11-20	151
2015-11-21	108
2015-11-22	127
2015-11-23	136
2015-11-24	212
2015-11-25	179
2015-11-26	165
2015-11-27	129
2015-11-28	134
2015-11-29	180
2015-11-30	155
2015-12-01	129
2015-12-02	113
2015-12-03	116
2015-12-04	142
2015-12-05	115
2015-12-06	118
2015-12-07	194
2015-12-08	164
2015-12-09	170
2015-12-10	158
2015-12-11	133
2015-12-12	173
2015-12-13	106
2015-12-14	130
2015-12-15	121
2015-12-16	124
2015-12-17	116
2015-12-18	117
2015-12-19	140
2015-12-20	113
2015-12-21	134
2015-12-22	149
2015-12-23	133
2015-12-24	128
2015-12-25	149
2015-12-26	95
2015-12-27	115
2015-12-28	128
2015-12-29	128
2015-12-30	166
2015-12-31	156
2016-01-01	100
2016-01-02	109
2016-01-03	108
2016-01-04	137
2016-01-05	184
2016-01-06	128
2016-01-07	147
2016-01-08	135
2016-01-09	181
2016-01-10	122
2016-01-11	124
2016-01-12	166
2016-01-13	209
2016-01-14	185
2016-01-15	151
2016-01-16	161
2016-01-17	194
2016-01-18	172
2016-01-19	148
2016-01-20	177
2016-01-21	154
2016-01-22	164
2016-01-23	169
2016-01-24	166
2016-01-25	171
2016-01-26	154
2016-01-27	207
2016-01-28	188
2016-01-29	134
2016-01-30	166
2016-01-31	132
2016-02-01	147
2016-02-02	149
2016-02-03	150
2016-02-04	185
2016-02-05	210
2016-02-06	218
2016-02-07	116
2016-02-08	142
2016-02-09	153
2016-02-10	138
2016-02-11	148
2016-02-12	155
2016-02-13	145
2016-02-14	145
2016-02-15	125
2016-02-16	173
2016-02-17	131
2016-02-18	99
2016-02-19	128
2016-02-20	95
2016-02-21	89
2016-02-22	132
2016-02-23	159
2016-02-24	148
2016-02-25	132
2016-02-26	142
2016-02-27	115
2016-02-28	114
2016-02-29	133
2016-03-01	126
2016-03-02	106
2016-03-03	130
2016-03-04	139
2016-03-05	184
2016-03-06	115
2016-03-07	160
2016-03-08	125
2016-03-09	114
2016-03-10	164
2016-03-11	136
2016-03-12	119
2016-03-13	113
2016-03-14	107
2016-03-15	169
2016-03-16	125
2016-03-17	128
2016-03-18	105
2016-03-19	88
2016-03-20	103
2016-03-21	109
2016-03-22	139
2016-03-23	129
2016-03-24	119
2016-03-25	137
2016-03-26	108
2016-03-27	119
2016-03-28	121
2016-03-29	101
2016-03-30	138
2016-03-31	144
2016-04-01	136
2016-04-02	118
2016-04-03	107
2016-04-04	139
2016-04-05	122
2016-04-06	125
2016-04-07	125
2016-04-08	110
2016-04-09	97
2016-04-10	146
2016-04-11	160
2016-04-12	143
2016-04-13	143
2016-04-14	182
2016-04-15	148
2016-04-16	137
2016-04-17	195
2016-04-18	116
2016-04-19	128
2016-04-20	121
2016-04-21	143
2016-04-22	134
2016-04-23	114
2016-04-24	120
2016-04-25	137
2016-04-26	144
