date	freq
2015-06-01	75
2015-06-02	84
2015-06-03	84
2015-06-04	70
2015-06-05	95
2015-06-06	75
2015-06-07	78
2015-06-08	76
2015-06-09	38
2015-06-10	36
2015-06-11	78
2015-06-12	84
2015-06-13	79
2015-06-14	92
2015-06-15	87
2015-06-16	69
2015-06-17	73
2015-06-18	81
2015-06-19	87
2015-06-20	94
2015-06-21	102
2015-06-22	92
2015-06-23	78
2015-06-24	78
2015-06-25	73
2015-06-26	78
2015-06-27	80
2015-06-28	66
2015-06-29	97
2015-06-30	85
2015-07-01	83
2015-07-02	69
2015-07-03	79
2015-07-04	94
2015-07-05	68
2015-07-06	72
2015-07-07	72
2015-07-08	66
2015-07-09	87
2015-07-10	72
2015-07-11	79
2015-07-12	91
2015-07-13	109
2015-07-14	94
2015-07-15	99
2015-07-16	84
2015-07-17	85
2015-07-18	80
2015-07-19	73
2015-07-20	63
2015-07-21	84
2015-07-22	84
2015-07-23	68
2015-07-24	88
2015-07-25	81
2015-07-26	87
2015-07-27	81
2015-07-28	68
2015-07-29	67
2015-07-30	82
2015-07-31	66
2015-08-01	68
2015-08-02	83
2015-08-03	65
2015-08-04	81
2015-08-05	87
2015-08-06	77
2015-08-07	64
2015-08-08	94
2015-08-09	96
2015-08-10	82
2015-08-11	81
2015-08-12	68
2015-08-13	80
2015-08-14	61
2015-08-15	78
2015-08-16	124
2015-08-17	94
2015-08-18	82
2015-08-19	81
2015-08-20	90
2015-08-21	78
2015-08-22	99
2015-08-23	104
2015-08-24	59
2015-08-25	77
2015-08-26	91
2015-08-27	77
2015-08-28	135
2015-08-29	89
2015-08-30	108
2015-08-31	86
2015-09-01	68
2015-09-02	60
2015-09-03	81
2015-09-04	69
2015-09-05	71
2015-09-06	85
2015-09-07	67
2015-09-08	85
2015-09-09	61
2015-09-10	71
2015-09-11	72
2015-09-12	68
2015-09-13	77
2015-09-14	90
2015-09-15	73
2015-09-16	71
2015-09-17	94
2015-09-18	85
2015-09-19	77
2015-09-20	82
2015-09-21	77
2015-09-22	75
2015-09-23	89
2015-09-24	79
2015-09-25	78
2015-09-26	91
2015-09-27	97
2015-09-28	55
2015-09-29	76
2015-09-30	101
2015-10-01	86
2015-10-02	68
2015-10-03	64
2015-10-04	79
2015-10-05	75
2015-10-06	81
2015-10-07	72
2015-10-08	85
2015-10-09	80
2015-10-10	75
2015-10-11	100
2015-10-12	86
2015-10-13	67
2015-10-14	76
2015-10-15	61
2015-10-16	76
2015-10-17	99
2015-10-18	98
2015-10-19	176
2015-10-20	235
2015-10-21	259
2015-10-22	230
2015-10-23	252
2015-10-24	264
2015-10-25	238
2015-10-26	237
2015-10-27	236
2015-10-28	274
2015-10-29	265
2015-10-30	271
2015-10-31	312
2015-11-01	285
2015-11-02	228
2015-11-03	157
2015-11-04	67
2015-11-05	74
2015-11-06	74
2015-11-07	70
2015-11-08	82
2015-11-09	66
2015-11-10	59
2015-11-11	70
2015-11-12	61
2015-11-13	68
2015-11-14	62
2015-11-15	50
2015-11-16	45
2015-11-17	64
2015-11-18	66
2015-11-19	68
2015-11-20	83
2015-11-21	59
2015-11-22	73
2015-11-23	71
2015-11-24	73
2015-11-25	69
2015-11-26	81
2015-11-27	93
2015-11-28	115
2015-11-29	82
2015-11-30	126
2015-12-01	97
2015-12-02	71
2015-12-03	72
2015-12-04	70
2015-12-05	73
2015-12-06	64
2015-12-07	77
2015-12-08	81
2015-12-09	90
2015-12-10	64
2015-12-11	73
2015-12-12	65
2015-12-13	71
2015-12-14	77
2015-12-15	78
2015-12-16	87
2015-12-17	72
2015-12-18	73
2015-12-19	80
2015-12-20	76
2015-12-21	64
2015-12-22	85
2015-12-23	52
2015-12-24	85
2015-12-25	73
2015-12-26	56
2015-12-27	60
2015-12-28	101
2015-12-29	77
2015-12-30	74
2015-12-31	73
2016-01-01	70
2016-01-02	85
2016-01-03	63
2016-01-04	67
2016-01-05	67
2016-01-06	81
2016-01-07	92
2016-01-08	70
2016-01-09	64
2016-01-10	67
2016-01-11	60
2016-01-12	52
2016-01-13	64
2016-01-14	72
2016-01-15	80
2016-01-16	77
2016-01-17	62
2016-01-18	71
2016-01-19	66
2016-01-20	72
2016-01-21	84
2016-01-22	88
2016-01-23	83
2016-01-24	76
2016-01-25	84
2016-01-26	77
2016-01-27	69
2016-01-28	82
2016-01-29	73
2016-01-30	82
2016-01-31	100
2016-02-01	75
2016-02-02	88
2016-02-03	86
2016-02-04	76
2016-02-05	82
2016-02-06	73
2016-02-07	97
2016-02-08	96
2016-02-09	95
2016-02-10	78
2016-02-11	66
2016-02-12	80
2016-02-13	86
2016-02-14	77
2016-02-15	92
2016-02-16	83
2016-02-17	91
2016-02-18	76
2016-02-19	90
2016-02-20	73
2016-02-21	101
2016-02-22	57
2016-02-23	80
2016-02-24	85
2016-02-25	80
2016-02-26	72
2016-02-27	79
2016-02-28	93
2016-02-29	80
2016-03-01	68
2016-03-02	71
2016-03-03	84
2016-03-04	77
2016-03-05	91
2016-03-06	101
2016-03-07	84
2016-03-08	65
2016-03-09	70
2016-03-10	84
2016-03-11	84
2016-03-12	86
2016-03-13	94
2016-03-14	107
2016-03-15	83
2016-03-16	87
2016-03-17	100
2016-03-18	78
2016-03-19	79
2016-03-20	98
2016-03-21	69
2016-03-22	88
2016-03-23	97
2016-03-24	112
2016-03-25	77
2016-03-26	94
2016-03-27	86
2016-03-28	94
2016-03-29	92
2016-03-30	87
2016-03-31	86
2016-04-01	90
2016-04-02	111
2016-04-03	71
2016-04-04	105
2016-04-05	86
2016-04-06	83
2016-04-07	78
2016-04-08	86
2016-04-09	84
2016-04-10	95
2016-04-11	80
2016-04-12	65
2016-04-13	84
2016-04-14	87
2016-04-15	67
2016-04-16	73
2016-04-17	129
2016-04-18	89
2016-04-19	64
2016-04-20	84
2016-04-21	79
2016-04-22	78
2016-04-23	83
2016-04-24	89
2016-04-25	68
2016-04-26	70
2016-04-27	88
2016-04-28	83
2016-04-29	66
2016-04-30	67
2016-05-01	91
2016-05-02	83
2016-05-03	65
2016-05-04	78
2016-05-05	81
2016-05-06	83
2016-05-07	85
2016-05-08	92
2016-05-09	97
2016-05-10	86
2016-05-11	91
2016-05-12	88
2016-05-13	97
2016-05-14	120
2016-05-15	99
2016-05-16	99
2016-05-17	101
2016-05-18	133
2016-05-19	148
2016-05-20	148
2016-05-21	107
2016-05-22	149
2016-05-23	147
2016-05-24	196
2016-05-25	206
2016-05-26	214
2016-05-27	133
2016-05-28	137
2016-05-29	185
2016-05-30	138
2016-05-31	116
