date	freq
2015-06-01	138
2015-06-02	116
2015-06-03	120
2015-06-04	127
2015-06-05	128
2015-06-06	122
2015-06-07	77
2015-06-08	79
2015-06-09	111
2015-06-10	86
2015-06-11	84
2015-06-12	123
2015-06-13	100
2015-06-14	110
2015-06-15	109
2015-06-16	98
2015-06-17	109
2015-06-18	143
2015-06-19	108
2015-06-20	79
2015-06-21	105
2015-06-22	111
2015-06-23	104
2015-06-24	132
2015-06-25	89
2015-06-26	95
2015-06-27	98
2015-06-28	109
2015-06-29	106
2015-06-30	106
2015-07-01	95
2015-07-02	101
2015-07-03	94
2015-07-04	108
2015-07-05	124
2015-07-06	102
2015-07-07	102
2015-07-08	110
2015-07-09	93
2015-07-10	106
2015-07-11	86
2015-07-12	72
2015-07-13	108
2015-07-14	89
2015-07-15	111
2015-07-16	108
2015-07-17	80
2015-07-18	85
2015-07-19	77
2015-07-20	106
2015-07-21	90
2015-07-22	73
2015-07-23	94
2015-07-24	93
2015-07-25	71
2015-07-26	73
2015-07-27	95
2015-07-28	81
2015-07-29	71
2015-07-30	92
2015-07-31	80
2015-08-01	81
2015-08-02	68
2015-08-03	80
2015-08-04	73
2015-08-05	90
2015-08-06	82
2015-08-07	75
2015-08-08	94
2015-08-09	70
2015-08-10	86
2015-08-11	81
2015-08-12	66
2015-08-13	83
2015-08-14	72
2015-08-15	84
2015-08-16	66
2015-08-17	75
2015-08-18	78
2015-08-19	102
2015-08-20	82
2015-08-21	99
2015-08-22	71
2015-08-23	96
2015-08-24	102
2015-08-25	77
2015-08-26	105
2015-08-27	94
2015-08-28	85
2015-08-29	87
2015-08-30	79
2015-08-31	85
2015-09-01	98
2015-09-02	72
2015-09-03	74
2015-09-04	90
2015-09-05	92
2015-09-06	118
2015-09-07	146
2015-09-08	132
2015-09-09	115
2015-09-10	125
2015-09-11	122
2015-09-12	89
2015-09-13	112
2015-09-14	104
2015-09-15	126
2015-09-16	96
2015-09-17	83
2015-09-18	104
2015-09-19	96
2015-09-20	86
2015-09-21	91
2015-09-22	82
2015-09-23	87
2015-09-24	78
2015-09-25	107
2015-09-26	169
2015-09-27	105
2015-09-28	92
2015-09-29	106
2015-09-30	103
2015-10-01	84
2015-10-02	94
2015-10-03	106
2015-10-04	82
2015-10-05	114
2015-10-06	91
2015-10-07	87
2015-10-08	91
2015-10-09	96
2015-10-10	77
2015-10-11	96
2015-10-12	90
2015-10-13	102
2015-10-14	98
2015-10-15	99
2015-10-16	113
2015-10-17	75
2015-10-18	100
2015-10-19	90
2015-10-20	104
2015-10-21	126
2015-10-22	93
2015-10-23	108
2015-10-24	98
2015-10-25	93
2015-10-26	84
2015-10-27	101
2015-10-28	107
2015-10-29	103
2015-10-30	108
2015-10-31	87
2015-11-01	90
2015-11-02	93
2015-11-03	76
2015-11-04	113
2015-11-05	109
2015-11-06	109
2015-11-07	101
2015-11-08	96
2015-11-09	114
2015-11-10	109
2015-11-11	102
2015-11-12	112
2015-11-13	111
2015-11-14	111
2015-11-15	98
2015-11-16	102
2015-11-17	102
2015-11-18	84
2015-11-19	128
2015-11-20	101
2015-11-21	79
2015-11-22	88
2015-11-23	86
2015-11-24	103
2015-11-25	104
2015-11-26	110
2015-11-27	98
2015-11-28	90
2015-11-29	75
2015-11-30	93
2015-12-01	125
2015-12-02	95
2015-12-03	78
2015-12-04	93
2015-12-05	115
2015-12-06	92
2015-12-07	121
2015-12-08	97
2015-12-09	101
2015-12-10	94
2015-12-11	101
2015-12-12	97
2015-12-13	79
2015-12-14	82
2015-12-15	87
2015-12-16	96
2015-12-17	118
2015-12-18	92
2015-12-19	92
2015-12-20	76
2015-12-21	89
2015-12-22	79
2015-12-23	74
2015-12-24	77
2015-12-25	79
2015-12-26	95
2015-12-27	91
2015-12-28	53
2015-12-29	75
2015-12-30	64
2015-12-31	62
2016-01-01	63
2016-01-02	60
2016-01-03	66
2016-01-04	73
2016-01-05	87
2016-01-06	79
2016-01-07	75
2016-01-08	84
2016-01-09	94
2016-01-10	83
2016-01-11	82
2016-01-12	85
2016-01-13	76
2016-01-14	95
2016-01-15	105
2016-01-16	89
2016-01-17	98
2016-01-18	94
2016-01-19	107
2016-01-20	103
2016-01-21	88
2016-01-22	111
2016-01-23	97
2016-01-24	104
2016-01-25	89
2016-01-26	82
2016-01-27	97
2016-01-28	85
2016-01-29	118
2016-01-30	100
2016-01-31	88
2016-02-01	103
2016-02-02	97
2016-02-03	119
2016-02-04	109
2016-02-05	84
2016-02-06	84
2016-02-07	87
2016-02-08	111
2016-02-09	80
2016-02-10	102
2016-02-11	96
2016-02-12	100
2016-02-13	101
2016-02-14	102
2016-02-15	122
2016-02-16	91
2016-02-17	105
2016-02-18	109
2016-02-19	90
2016-02-20	98
2016-02-21	101
2016-02-22	91
2016-02-23	81
2016-02-24	117
2016-02-25	101
2016-02-26	101
2016-02-27	104
2016-02-28	87
2016-02-29	93
2016-03-01	101
2016-03-02	110
2016-03-03	105
2016-03-04	99
2016-03-05	77
2016-03-06	90
2016-03-07	94
2016-03-08	82
2016-03-09	95
2016-03-10	95
2016-03-11	88
2016-03-12	67
2016-03-13	75
2016-03-14	75
2016-03-15	90
2016-03-16	89
2016-03-17	89
2016-03-18	66
2016-03-19	69
2016-03-20	71
2016-03-21	61
2016-03-22	84
2016-03-23	64
2016-03-24	75
2016-03-25	77
2016-03-26	83
2016-03-27	80
2016-03-28	81
2016-03-29	81
2016-03-30	87
2016-03-31	90
2016-04-01	76
2016-04-02	83
2016-04-03	89
2016-04-04	88
2016-04-05	90
2016-04-06	83
2016-04-07	82
2016-04-08	109
2016-04-09	97
2016-04-10	67
2016-04-11	84
2016-04-12	87
2016-04-13	90
2016-04-14	106
2016-04-15	80
2016-04-16	79
2016-04-17	64
2016-04-18	80
2016-04-19	104
2016-04-20	73
2016-04-21	106
2016-04-22	78
2016-04-23	84
2016-04-24	91
2016-04-25	92
2016-04-26	105
2016-04-27	119
2016-04-28	97
2016-04-29	103
2016-04-30	79
2016-05-01	71
2016-05-02	87
2016-05-03	83
2016-05-04	82
2016-05-05	70
2016-05-06	87
2016-05-07	111
2016-05-08	66
2016-05-09	80
2016-05-10	102
2016-05-11	90
2016-05-12	84
2016-05-13	92
2016-05-14	84
2016-05-15	90
2016-05-16	91
2016-05-17	85
2016-05-18	72
2016-05-19	100
2016-05-20	94
2016-05-21	82
2016-05-22	119
2016-05-23	105
2016-05-24	78
2016-05-25	95
2016-05-26	102
2016-05-27	81
2016-05-28	81
2016-05-29	99
2016-05-30	84
2016-05-31	93
