date	freq
2015-06-01	1449
2015-06-02	2963
2015-06-03	2220
2015-06-04	1981
2015-06-05	1473
2015-06-06	1642
2015-06-07	1562
2015-06-08	1502
2015-06-09	1370
2015-06-10	719
2015-06-11	1596
2015-06-12	1464
2015-06-13	1454
2015-06-14	1501
2015-06-15	1510
2015-06-16	1462
2015-06-17	1482
2015-06-18	1899
2015-06-19	1441
2015-06-20	1501
2015-06-21	1706
2015-06-22	1441
2015-06-23	2038
2015-06-24	1918
2015-06-25	1653
2015-06-26	1600
2015-06-27	1362
2015-06-28	1485
2015-06-29	1549
2015-06-30	1701
2015-07-01	1649
2015-07-02	2025
2015-07-03	1489
2015-07-04	1533
2015-07-05	1674
2015-07-06	2045
2015-07-07	1654
2015-07-08	1493
2015-07-09	1546
2015-07-10	1509
2015-07-11	1483
2015-07-12	1496
2015-07-13	1474
2015-07-14	1544
2015-07-15	1451
2015-07-16	1404
2015-07-17	1314
2015-07-18	1278
2015-07-19	1310
2015-07-20	1406
2015-07-21	1437
2015-07-22	1329
2015-07-23	1313
2015-07-24	1311
2015-07-25	1326
2015-07-26	1276
2015-07-27	1329
2015-07-28	1349
2015-07-29	1446
2015-07-30	1361
2015-07-31	1379
2015-08-01	1254
2015-08-02	1308
2015-08-03	1252
2015-08-04	1397
2015-08-05	1263
2015-08-06	1328
2015-08-07	1397
2015-08-08	1546
2015-08-09	1387
2015-08-10	1297
2015-08-11	1177
2015-08-12	1209
2015-08-13	1179
2015-08-14	1162
2015-08-15	1157
2015-08-16	1248
2015-08-17	1162
2015-08-18	1224
2015-08-19	1231
2015-08-20	1209
2015-08-21	1234
2015-08-22	1532
2015-08-23	1588
2015-08-24	1249
2015-08-25	1308
2015-08-26	1213
2015-08-27	1181
2015-08-28	1132
2015-08-29	1298
2015-08-30	1192
2015-08-31	1162
2015-09-01	1154
2015-09-02	1238
2015-09-03	1171
2015-09-04	1237
2015-09-05	1408
2015-09-06	1320
2015-09-07	1310
2015-09-08	1211
2015-09-09	1285
2015-09-10	1182
2015-09-11	1176
2015-09-12	1210
2015-09-13	1272
2015-09-14	1192
2015-09-15	1207
2015-09-16	1143
2015-09-17	1118
2015-09-18	1815
2015-09-19	1319
2015-09-20	1287
2015-09-21	1171
2015-09-22	1314
2015-09-23	1192
2015-09-24	1319
2015-09-25	1227
2015-09-26	1219
2015-09-27	1262
2015-09-28	1271
2015-09-29	1100
2015-09-30	1088
2015-10-01	1122
2015-10-02	1090
2015-10-03	1189
2015-10-04	1149
2015-10-05	1151
2015-10-06	1167
2015-10-07	1103
2015-10-08	1207
2015-10-09	1033
2015-10-10	1066
2015-10-11	1173
2015-10-12	1142
2015-10-13	1129
2015-10-14	1139
2015-10-15	1194
2015-10-16	1099
2015-10-17	1098
2015-10-18	1213
2015-10-19	1161
2015-10-20	1264
2015-10-21	1355
2015-10-22	1325
2015-10-23	1271
2015-10-24	1274
2015-10-25	1242
2015-10-26	1161
2015-10-27	1225
2015-10-28	1270
2015-10-29	1251
2015-10-30	1236
2015-10-31	998
2015-11-01	1063
2015-11-02	1256
2015-11-03	1270
2015-11-04	1147
2015-11-05	1097
2015-11-06	1228
