date	freq
2015-06-01	66
2015-06-02	86
2015-06-03	91
2015-06-04	83
2015-06-05	72
2015-06-06	41
2015-06-07	69
2015-06-08	84
2015-06-09	83
2015-06-10	60
2015-06-11	74
2015-06-12	63
2015-06-13	51
2015-06-14	63
2015-06-15	55
2015-06-16	69
2015-06-17	61
2015-06-18	92
2015-06-19	46
2015-06-20	55
2015-06-21	46
2015-06-22	64
2015-06-23	74
2015-06-24	82
2015-06-25	54
2015-06-26	67
2015-06-27	50
2015-06-28	59
2015-06-29	53
2015-06-30	71
2015-07-01	56
2015-07-02	54
2015-07-03	61
2015-07-04	63
2015-07-05	52
2015-07-06	60
2015-07-07	66
2015-07-08	62
2015-07-09	56
2015-07-10	64
2015-07-11	53
2015-07-12	58
2015-07-13	67
2015-07-14	63
2015-07-15	55
2015-07-16	61
2015-07-17	61
2015-07-18	48
2015-07-19	54
2015-07-20	45
2015-07-21	130
2015-07-22	169
2015-07-23	163
2015-07-24	103
2015-07-25	84
2015-07-26	88
2015-07-27	88
2015-07-28	87
2015-07-29	85
2015-07-30	87
2015-07-31	59
2015-08-01	60
2015-08-02	64
2015-08-03	82
2015-08-04	67
2015-08-05	81
2015-08-06	64
2015-08-07	72
2015-08-08	72
2015-08-09	60
2015-08-10	60
2015-08-11	70
2015-08-12	60
2015-08-13	59
2015-08-14	54
2015-08-15	62
2015-08-16	58
2015-08-17	60
2015-08-18	67
2015-08-19	58
2015-08-20	68
2015-08-21	69
2015-08-22	62
2015-08-23	47
2015-08-24	49
2015-08-25	45
2015-08-26	59
2015-08-27	55
2015-08-28	64
2015-08-29	51
2015-08-30	89
2015-08-31	47
2015-09-01	63
2015-09-02	54
2015-09-03	79
2015-09-04	54
2015-09-05	143
2015-09-06	118
2015-09-07	93
2015-09-08	64
2015-09-09	76
2015-09-10	57
2015-09-11	79
2015-09-12	59
2015-09-13	55
2015-09-14	55
2015-09-15	64
2015-09-16	79
2015-09-17	64
2015-09-18	62
2015-09-19	39
2015-09-20	46
2015-09-21	42
2015-09-22	66
2015-09-23	63
2015-09-24	42
2015-09-25	67
2015-09-26	47
2015-09-27	58
2015-09-28	52
2015-09-29	61
2015-09-30	76
2015-10-01	59
2015-10-02	79
2015-10-03	58
2015-10-04	68
2015-10-05	75
2015-10-06	44
2015-10-07	60
2015-10-08	56
2015-10-09	50
2015-10-10	48
2015-10-11	53
2015-10-12	73
2015-10-13	51
2015-10-14	62
2015-10-15	62
2015-10-16	75
2015-10-17	65
2015-10-18	58
2015-10-19	59
2015-10-20	69
2015-10-21	80
2015-10-22	71
2015-10-23	69
2015-10-24	51
2015-10-25	65
2015-10-26	90
2015-10-27	72
2015-10-28	78
2015-10-29	64
2015-10-30	70
2015-10-31	42
2015-11-01	55
2015-11-02	47
2015-11-03	54
2015-11-04	58
2015-11-05	58
2015-11-06	56
2015-11-07	55
2015-11-08	83
2015-11-09	78
2015-11-10	71
2015-11-11	83
2015-11-12	63
2015-11-13	81
2015-11-14	67
2015-11-15	60
2015-11-16	80
2015-11-17	81
2015-11-18	72
2015-11-19	83
2015-11-20	66
2015-11-21	57
2015-11-22	54
2015-11-23	60
2015-11-24	56
2015-11-25	55
2015-11-26	51
2015-11-27	45
2015-11-28	43
2015-11-29	53
2015-11-30	56
2015-12-01	57
2015-12-02	56
2015-12-03	56
2015-12-04	56
2015-12-05	54
2015-12-06	47
2015-12-07	58
2015-12-08	60
2015-12-09	61
2015-12-10	37
2015-12-11	58
2015-12-12	48
2015-12-13	53
2015-12-14	51
2015-12-15	50
2015-12-16	46
2015-12-17	56
2015-12-18	57
2015-12-19	42
2015-12-20	40
2015-12-21	54
2015-12-22	56
2015-12-23	63
2015-12-24	44
2015-12-25	41
2015-12-26	44
2015-12-27	53
2015-12-28	60
2015-12-29	41
2015-12-30	47
