date	freq
2015-06-01	18
2015-06-02	17
2015-06-03	30
2015-06-04	42
2015-06-05	18
2015-06-06	23
2015-06-07	14
2015-06-08	9
2015-06-09	21
2015-06-10	3
2015-06-11	21
2015-06-12	22
2015-06-13	17
2015-06-14	17
2015-06-15	13
2015-06-16	18
2015-06-17	19
2015-06-18	22
2015-06-19	22
2015-06-20	24
2015-06-21	20
2015-06-22	16
2015-06-23	19
2015-06-24	27
2015-06-25	23
2015-06-26	29
2015-06-27	28
2015-06-28	23
2015-06-29	21
2015-06-30	16
2015-07-01	23
2015-07-02	16
2015-07-03	15
2015-07-04	12
2015-07-05	11
2015-07-06	10
2015-07-07	7
2015-07-08	7
2015-07-09	8
2015-07-10	15
2015-07-11	14
2015-07-12	15
2015-07-13	13
2015-07-14	28
2015-07-15	32
2015-07-16	12
2015-07-17	17
2015-07-18	11
2015-07-19	17
2015-07-20	6
2015-07-21	147
2015-07-22	130
2015-07-23	49
2015-07-24	31
2015-07-25	23
2015-07-26	40
2015-07-27	19
2015-07-28	37
2015-07-29	17
2015-07-30	17
2015-07-31	16
2015-08-01	27
2015-08-02	26
2015-08-03	22
2015-08-04	16
2015-08-05	18
2015-08-06	15
2015-08-07	17
2015-08-08	18
2015-08-09	20
2015-08-10	18
2015-08-11	17
2015-08-12	25
2015-08-13	12
2015-08-14	9
2015-08-15	22
2015-08-16	23
2015-08-17	20
2015-08-18	18
2015-08-19	16
2015-08-20	24
2015-08-21	8
2015-08-22	24
2015-08-23	19
2015-08-24	15
2015-08-25	6
2015-08-26	15
2015-08-27	13
2015-08-28	19
2015-08-29	20
2015-08-30	18
2015-08-31	11
2015-09-01	17
2015-09-02	46
2015-09-03	11
2015-09-04	14
2015-09-05	78
2015-09-06	96
2015-09-07	27
2015-09-08	27
2015-09-09	8
2015-09-10	20
2015-09-11	18
2015-09-12	12
2015-09-13	16
2015-09-14	20
2015-09-15	17
2015-09-16	20
2015-09-17	17
2015-09-18	23
2015-09-19	13
2015-09-20	8
2015-09-21	8
2015-09-22	12
2015-09-23	11
2015-09-24	21
2015-09-25	14
2015-09-26	11
2015-09-27	10
2015-09-28	9
2015-09-29	15
2015-09-30	9
2015-10-01	11
2015-10-02	7
2015-10-03	23
2015-10-04	19
2015-10-05	12
2015-10-06	15
2015-10-07	21
2015-10-08	18
2015-10-09	17
2015-10-10	7
2015-10-11	13
2015-10-12	20
2015-10-13	22
2015-10-14	7
2015-10-15	17
2015-10-16	32
2015-10-17	12
2015-10-18	14
2015-10-19	11
2015-10-20	20
2015-10-21	16
2015-10-22	15
2015-10-23	8
2015-10-24	27
2015-10-25	21
2015-10-26	17
2015-10-27	14
2015-10-28	19
2015-10-29	17
2015-10-30	10
2015-10-31	13
2015-11-01	10
2015-11-02	15
2015-11-03	17
2015-11-04	16
2015-11-05	16
2015-11-06	19
2015-11-07	29
2015-11-08	20
2015-11-09	26
2015-11-10	19
2015-11-11	16
2015-11-12	4
2015-11-13	10
2015-11-14	13
2015-11-15	7
2015-11-16	19
2015-11-17	7
2015-11-18	27
2015-11-19	24
2015-11-20	17
2015-11-21	4
2015-11-22	16
2015-11-23	15
2015-11-24	17
2015-11-25	10
2015-11-26	5
2015-11-27	8
2015-11-28	10
2015-11-29	14
2015-11-30	13
2015-12-01	11
2015-12-02	9
2015-12-03	12
2015-12-04	5
2015-12-05	9
2015-12-06	11
2015-12-07	6
2015-12-08	9
2015-12-09	8
2015-12-10	17
2015-12-11	12
2015-12-12	6
2015-12-13	11
2015-12-14	9
2015-12-15	10
2015-12-16	8
2015-12-17	13
2015-12-18	11
2015-12-19	7
2015-12-20	21
2015-12-21	16
2015-12-22	9
2015-12-23	12
2015-12-24	3
2015-12-25	9
2015-12-26	12
2015-12-27	7
2015-12-28	10
2015-12-29	11
2015-12-30	8
2015-12-31	9
2016-01-01	4
2016-01-02	8
2016-01-03	4
2016-01-04	9
2016-01-05	13
2016-01-06	13
2016-01-07	18
2016-01-08	10
2016-01-09	10
2016-01-10	13
2016-01-11	6
2016-01-12	6
2016-01-13	14
2016-01-14	9
2016-01-15	5
2016-01-16	4
2016-01-17	8
2016-01-18	14
2016-01-19	7
2016-01-20	8
2016-01-21	11
2016-01-22	10
2016-01-23	39
2016-01-24	15
2016-01-25	18
2016-01-26	8
2016-01-27	11
2016-01-28	50
2016-01-29	20
2016-01-30	23
2016-01-31	14
2016-02-01	18
2016-02-02	16
2016-02-03	25
2016-02-04	15
2016-02-05	13
2016-02-06	12
2016-02-07	11
2016-02-08	19
2016-02-09	14
2016-02-10	10
2016-02-11	19
2016-02-12	11
2016-02-13	10
2016-02-14	10
2016-02-15	16
2016-02-16	11
2016-02-17	10
2016-02-18	20
2016-02-19	26
2016-02-20	13
2016-02-21	8
2016-02-22	15
2016-02-23	21
2016-02-24	14
2016-02-25	8
2016-02-26	273
2016-02-27	35
2016-02-28	64
2016-02-29	28
2016-03-01	13
2016-03-02	29
2016-03-03	43
2016-03-04	18
2016-03-05	27
2016-03-06	30
2016-03-07	30
2016-03-08	37
2016-03-09	14
2016-03-10	11
2016-03-11	29
2016-03-12	16
2016-03-13	22
2016-03-14	12
2016-03-15	24
2016-03-16	9
2016-03-17	11
2016-03-18	11
2016-03-19	17
2016-03-20	19
2016-03-21	23
2016-03-22	18
2016-03-23	14
2016-03-24	12
2016-03-25	11
2016-03-26	17
2016-03-27	16
2016-03-28	20
2016-03-29	15
2016-03-30	18
2016-03-31	16
2016-04-01	13
2016-04-02	15
2016-04-03	8
2016-04-04	10
2016-04-05	13
2016-04-06	12
2016-04-07	14
2016-04-08	11
2016-04-09	13
2016-04-10	5
2016-04-11	19
2016-04-12	7
2016-04-13	11
2016-04-14	15
2016-04-15	14
2016-04-16	13
2016-04-17	14
2016-04-18	17
2016-04-19	7
2016-04-20	14
2016-04-21	18
2016-04-22	15
2016-04-23	9
2016-04-24	17
2016-04-25	14
2016-04-26	13
2016-04-27	14
2016-04-28	12
2016-04-29	13
2016-04-30	22
2016-05-01	12
2016-05-02	12
2016-05-03	12
2016-05-04	10
2016-05-05	9
2016-05-06	7
2016-05-07	13
2016-05-08	18
2016-05-09	14
2016-05-10	19
2016-05-11	13
2016-05-12	12
2016-05-13	10
2016-05-14	12
2016-05-15	21
2016-05-16	12
2016-05-17	6
2016-05-18	12
2016-05-19	13
2016-05-20	11
2016-05-21	11
2016-05-22	13
2016-05-23	15
2016-05-24	11
2016-05-25	9
2016-05-26	16
2016-05-27	8
2016-05-28	9
2016-05-29	16
2016-05-30	6
2016-05-31	9
