date	freq
2015-06-01	2277
2015-06-02	2280
2015-06-03	2376
2015-06-04	2378
2015-06-05	2270
2015-06-06	2037
2015-06-07	2230
2015-06-08	2462
2015-06-09	2535
2015-06-10	2384
2015-06-11	2367
2015-06-12	2316
2015-06-13	2166
2015-06-14	2376
2015-06-15	2454
2015-06-16	2448
2015-06-17	2286
2015-06-18	2401
2015-06-19	2312
2015-06-20	2088
2015-06-21	2337
2015-06-22	2512
2015-06-23	2377
2015-06-24	2272
2015-06-25	2315
2015-06-26	2308
2015-06-27	2247
2015-06-28	2310
2015-06-29	2344
2015-06-30	2379
2015-07-01	2362
2015-07-02	2163
2015-07-03	2293
2015-07-04	2175
2015-07-05	2468
2015-07-06	2347
2015-07-07	2277
2015-07-08	2276
2015-07-09	2257
2015-07-10	2103
2015-07-11	2066
2015-07-12	2175
2015-07-13	2370
2015-07-14	2328
2015-07-15	2123
2015-07-16	2284
2015-07-17	2137
2015-07-18	1944
2015-07-19	2038
2015-07-20	2307
2015-07-21	2247
2015-07-22	2234
2015-07-23	2198
2015-07-24	2041
2015-07-25	1879
2015-07-26	2048
2015-07-27	2163
2015-07-28	2145
2015-07-29	2177
2015-07-30	2064
2015-07-31	2047
2015-08-01	1848
2015-08-02	2034
2015-08-03	2238
2015-08-04	2185
2015-08-05	2026
2015-08-06	2003
2015-08-07	2003
2015-08-08	1867
2015-08-09	2060
2015-08-10	2254
2015-08-11	2149
2015-08-12	2100
2015-08-13	2071
2015-08-14	2003
2015-08-15	2035
2015-08-16	2256
2015-08-17	2231
2015-08-18	2253
2015-08-19	2275
2015-08-20	2303
2015-08-21	2106
2015-08-22	2074
2015-08-23	2247
2015-08-24	2223
2015-08-25	2265
2015-08-26	2285
2015-08-27	2369
2015-08-28	2256
2015-08-29	2260
2015-08-30	2346
2015-08-31	2514
2015-09-01	2469
2015-09-02	2364
2015-09-03	2358
2015-09-04	2345
2015-09-05	2339
2015-09-06	2616
2015-09-07	2614
2015-09-08	2536
2015-09-09	2428
2015-09-10	2253
2015-09-11	2126
2015-09-12	2258
2015-09-13	2416
2015-09-14	2418
2015-09-15	2407
2015-09-16	2560
2015-09-17	2386
2015-09-18	2387
2015-09-19	2205
2015-09-20	2375
2015-09-21	2560
2015-09-22	2571
2015-09-23	2738
2015-09-24	2400
2015-09-25	2531
2015-09-26	2314
2015-09-27	2547
2015-09-28	2516
2015-09-29	2363
2015-09-30	2475
2015-10-01	2478
2015-10-02	2380
2015-10-03	2298
2015-10-04	2492
2015-10-05	2558
2015-10-06	2611
2015-10-07	2536
2015-10-08	2540
2015-10-09	2452
2015-10-10	2500
2015-10-11	2595
2015-10-12	2618
2015-10-13	2627
2015-10-14	2608
2015-10-15	2455
2015-10-16	2442
2015-10-17	2588
2015-10-18	2497
2015-10-19	2664
2015-10-20	2597
2015-10-21	2531
2015-10-22	2508
2015-10-23	2396
2015-10-24	2357
2015-10-25	2622
2015-10-26	2730
2015-10-27	2592
2015-10-28	2514
2015-10-29	2524
2015-10-30	2333
