date	freq
2015-06-01	22
2015-06-02	17
2015-06-03	20
2015-06-04	29
2015-06-05	14
2015-06-06	17
2015-06-07	24
2015-06-08	17
2015-06-09	18
2015-06-10	18
2015-06-11	19
2015-06-12	17
2015-06-13	21
2015-06-14	22
2015-06-15	16
2015-06-16	10
2015-06-17	18
2015-06-18	27
2015-06-19	29
2015-06-20	21
2015-06-21	26
2015-06-22	28
2015-06-23	22
2015-06-24	27
2015-06-25	33
2015-06-26	23
2015-06-27	26
2015-06-28	18
2015-06-29	26
2015-06-30	21
2015-07-01	25
2015-07-02	15
2015-07-03	20
2015-07-04	20
2015-07-05	30
2015-07-06	13
2015-07-07	25
2015-07-08	20
2015-07-09	17
2015-07-10	22
2015-07-11	32
2015-07-12	25
2015-07-13	18
2015-07-14	21
2015-07-15	11
2015-07-16	10
2015-07-17	27
2015-07-18	20
2015-07-19	20
2015-07-20	14
2015-07-21	16
2015-07-22	14
2015-07-23	15
2015-07-24	5
2015-07-25	14
2015-07-26	18
2015-07-27	20
2015-07-28	15
2015-07-29	19
2015-07-30	15
2015-07-31	18
2015-08-01	17
2015-08-02	17
2015-08-03	18
2015-08-04	25
2015-08-05	31
2015-08-06	28
2015-08-07	29
2015-08-08	15
2015-08-09	17
2015-08-10	19
2015-08-11	20
2015-08-12	20
2015-08-13	17
2015-08-14	20
2015-08-15	15
2015-08-16	11
2015-08-17	10
2015-08-18	12
2015-08-19	21
2015-08-20	16
2015-08-21	29
2015-08-22	23
2015-08-23	24
2015-08-24	17
2015-08-25	27
2015-08-26	19
2015-08-27	30
2015-08-28	20
2015-08-29	23
2015-08-30	16
2015-08-31	20
2015-09-01	19
2015-09-02	25
2015-09-03	31
2015-09-04	17
2015-09-05	12
2015-09-06	23
2015-09-07	20
2015-09-08	21
2015-09-09	13
2015-09-10	4
2015-09-11	17
2015-09-12	11
2015-09-13	21
2015-09-14	42
2015-09-15	24
2015-09-16	16
2015-09-17	13
2015-09-18	3
2015-09-19	18
2015-09-20	14
2015-09-21	18
2015-09-22	13
2015-09-23	18
2015-09-24	16
2015-09-25	20
2015-09-26	12
2015-09-27	19
2015-09-28	10
2015-09-29	23
2015-09-30	8
2015-10-01	13
2015-10-02	14
2015-10-03	13
2015-10-04	16
2015-10-05	12
2015-10-06	16
2015-10-07	14
2015-10-08	22
2015-10-09	11
2015-10-10	12
2015-10-11	12
2015-10-12	19
2015-10-13	24
2015-10-14	13
2015-10-15	17
2015-10-16	12
2015-10-17	16
2015-10-18	13
2015-10-19	18
2015-10-20	20
2015-10-21	7
2015-10-22	7
2015-10-23	21
2015-10-24	15
2015-10-25	11
2015-10-26	9
2015-10-27	15
2015-10-28	23
2015-10-29	16
2015-10-30	15
2015-10-31	17
2015-11-01	14
2015-11-02	11
2015-11-03	14
2015-11-04	22
2015-11-05	18
2015-11-06	12
2015-11-07	21
2015-11-08	16
2015-11-09	22
2015-11-10	46
2015-11-11	35
2015-11-12	31
2015-11-13	33
2015-11-14	25
2015-11-15	38
2015-11-16	37
2015-11-17	28
2015-11-18	27
2015-11-19	19
2015-11-20	20
2015-11-21	23
2015-11-22	18
2015-11-23	20
2015-11-24	21
2015-11-25	21
2015-11-26	26
2015-11-27	17
2015-11-28	14
2015-11-29	22
2015-11-30	21
2015-12-01	19
2015-12-02	23
2015-12-03	29
2015-12-04	36
2015-12-05	28
2015-12-06	22
2015-12-07	14
2015-12-08	17
2015-12-09	19
2015-12-10	32
2015-12-11	24
2015-12-12	30
2015-12-13	25
2015-12-14	21
2015-12-15	27
2015-12-16	21
2015-12-17	17
2015-12-18	17
2015-12-19	16
2015-12-20	27
2015-12-21	28
2015-12-22	16
2015-12-23	20
2015-12-24	17
2015-12-25	13
2015-12-26	16
2015-12-27	16
2015-12-28	12
2015-12-29	17
2015-12-30	13
2015-12-31	17
2016-01-01	13
2016-01-02	17
2016-01-03	12
2016-01-04	17
2016-01-05	16
2016-01-06	29
2016-01-07	17
2016-01-08	26
2016-01-09	23
2016-01-10	24
2016-01-11	22
2016-01-12	19
2016-01-13	15
2016-01-14	22
2016-01-15	16
2016-01-16	15
2016-01-17	18
2016-01-18	18
2016-01-19	12
2016-01-20	20
2016-01-21	22
2016-01-22	26
2016-01-23	17
2016-01-24	28
2016-01-25	17
2016-01-26	12
2016-01-27	21
2016-01-28	20
2016-01-29	18
2016-01-30	17
2016-01-31	29
2016-02-01	19
2016-02-02	37
2016-02-03	48
2016-02-04	34
2016-02-05	28
2016-02-06	29
2016-02-07	18
2016-02-08	30
2016-02-09	24
2016-02-10	22
2016-02-11	12
2016-02-12	16
2016-02-13	13
2016-02-14	16
2016-02-15	12
2016-02-16	21
2016-02-17	19
2016-02-18	21
2016-02-19	15
2016-02-20	32
2016-02-21	24
2016-02-22	18
2016-02-23	28
2016-02-24	19
2016-02-25	23
2016-02-26	24
2016-02-27	29
2016-02-28	32
2016-02-29	20
2016-03-01	14
2016-03-02	28
2016-03-03	21
2016-03-04	24
2016-03-05	22
2016-03-06	28
2016-03-07	30
2016-03-08	24
2016-03-09	20
2016-03-10	28
2016-03-11	11
2016-03-12	15
2016-03-13	15
2016-03-14	16
2016-03-15	21
2016-03-16	29
2016-03-17	27
2016-03-18	20
2016-03-19	23
2016-03-20	14
2016-03-21	19
2016-03-22	24
2016-03-23	20
2016-03-24	10
2016-03-25	22
2016-03-26	21
2016-03-27	24
2016-03-28	36
2016-03-29	10
2016-03-30	20
2016-03-31	33
2016-04-01	16
2016-04-02	18
2016-04-03	27
2016-04-04	24
2016-04-05	18
2016-04-06	30
2016-04-07	27
2016-04-08	20
2016-04-09	28
2016-04-10	28
2016-04-11	18
2016-04-12	34
2016-04-13	23
2016-04-14	25
2016-04-15	20
2016-04-16	21
2016-04-17	17
2016-04-18	13
2016-04-19	20
2016-04-20	16
2016-04-21	19
2016-04-22	22
2016-04-23	24
2016-04-24	27
2016-04-25	21
2016-04-26	11
2016-04-27	10
2016-04-28	18
2016-04-29	21
2016-04-30	20
2016-05-01	16
2016-05-02	13
2016-05-03	14
2016-05-04	19
2016-05-05	17
2016-05-06	24
2016-05-07	28
2016-05-08	24
2016-05-09	20
2016-05-10	14
2016-05-11	24
2016-05-12	20
2016-05-13	19
2016-05-14	24
2016-05-15	31
2016-05-16	23
2016-05-17	23
2016-05-18	23
2016-05-19	15
2016-05-20	21
2016-05-21	20
2016-05-22	20
2016-05-23	23
2016-05-24	31
2016-05-25	20
2016-05-26	19
2016-05-27	22
2016-05-28	13
2016-05-29	20
2016-05-30	23
2016-05-31	21
