date	freq
2015-06-01	1049
2015-06-02	1112
2015-06-03	1049
2015-06-04	1170
2015-06-05	1119
2015-06-06	896
2015-06-07	853
2015-06-08	1246
2015-06-09	1157
2015-06-10	1134
2015-06-11	1105
2015-06-12	1187
2015-06-13	886
2015-06-14	1034
2015-06-15	1155
2015-06-16	1127
2015-06-17	1083
2015-06-18	1194
2015-06-19	1037
2015-06-20	902
2015-06-21	908
2015-06-22	1139
2015-06-23	1149
2015-06-24	1114
2015-06-25	1090
2015-06-26	1123
2015-06-27	1008
2015-06-28	965
2015-06-29	1132
2015-06-30	1120
2015-07-01	1018
2015-07-02	1039
2015-07-03	967
2015-07-04	997
2015-07-05	947
2015-07-06	995
2015-07-07	1033
2015-07-08	1145
2015-07-09	982
2015-07-10	1130
2015-07-11	863
2015-07-12	900
2015-07-13	928
2015-07-14	907
2015-07-15	885
2015-07-16	985
2015-07-17	855
2015-07-18	810
2015-07-19	827
2015-07-20	862
2015-07-21	896
2015-07-22	960
2015-07-23	948
2015-07-24	958
2015-07-25	879
2015-07-26	834
2015-07-27	879
2015-07-28	1026
2015-07-29	820
2015-07-30	936
2015-07-31	979
2015-08-01	774
2015-08-02	773
2015-08-03	862
2015-08-04	1004
2015-08-05	1054
2015-08-06	917
2015-08-07	1024
2015-08-08	812
2015-08-09	748
2015-08-10	985
2015-08-11	972
2015-08-12	1055
2015-08-13	822
2015-08-14	821
2015-08-15	813
2015-08-16	862
2015-08-17	994
2015-08-18	931
2015-08-19	1004
2015-08-20	931
2015-08-21	841
2015-08-22	800
2015-08-23	821
2015-08-24	913
2015-08-25	1049
2015-08-26	978
2015-08-27	1051
2015-08-28	889
2015-08-29	776
2015-08-30	851
2015-08-31	915
2015-09-01	1074
2015-09-02	1081
2015-09-03	1038
2015-09-04	1051
2015-09-05	916
2015-09-06	971
2015-09-07	1007
2015-09-08	960
2015-09-09	1052
2015-09-10	953
2015-09-11	964
2015-09-12	871
2015-09-13	867
2015-09-14	1127
2015-09-15	1143
2015-09-16	1083
2015-09-17	928
2015-09-18	1101
2015-09-19	1137
2015-09-20	985
2015-09-21	1112
2015-09-22	1002
2015-09-23	1046
2015-09-24	1012
2015-09-25	1002
2015-09-26	966
2015-09-27	1035
2015-09-28	1036
2015-09-29	1089
2015-09-30	994
2015-10-01	1166
2015-10-02	1113
2015-10-03	948
2015-10-04	929
2015-10-05	1039
2015-10-06	1087
2015-10-07	1181
2015-10-08	1109
2015-10-09	1179
2015-10-10	938
2015-10-11	891
2015-10-12	994
2015-10-13	1275
2015-10-14	1118
2015-10-15	1222
2015-10-16	1308
2015-10-17	1162
2015-10-18	896
2015-10-19	1207
2015-10-20	1231
2015-10-21	1316
2015-10-22	1484
2015-10-23	1179
2015-10-24	1076
2015-10-25	1033
2015-10-26	1198
2015-10-27	1227
2015-10-28	1106
2015-10-29	1089
2015-10-30	1107
2015-10-31	1027
2015-11-01	850
2015-11-02	1116
2015-11-03	1044
2015-11-04	1248
2015-11-05	1242
2015-11-06	1100
2015-11-07	1154
2015-11-08	1074
2015-11-09	1108
2015-11-10	1142
2015-11-11	1106
2015-11-12	1032
2015-11-13	1041
2015-11-14	1026
2015-11-15	930
2015-11-16	1139
2015-11-17	1164
2015-11-18	1409
2015-11-19	1310
2015-11-20	1255
2015-11-21	1000
2015-11-22	1003
2015-11-23	1111
2015-11-24	1140
2015-11-25	1115
2015-11-26	1126
2015-11-27	1113
2015-11-28	988
2015-11-29	994
2015-11-30	1086
2015-12-01	1143
2015-12-02	1117
2015-12-03	1208
2015-12-04	1137
2015-12-05	1104
2015-12-06	1082
2015-12-07	1130
2015-12-08	1121
2015-12-09	1094
2015-12-10	1140
2015-12-11	1141
2015-12-12	1034
2015-12-13	1030
2015-12-14	1097
2015-12-15	1023
2015-12-16	1104
2015-12-17	1105
2015-12-18	1011
2015-12-19	917
2015-12-20	882
2015-12-21	1002
2015-12-22	1018
2015-12-23	949
2015-12-24	923
2015-12-25	841
2015-12-26	793
2015-12-27	797
2015-12-28	789
2015-12-29	903
2015-12-30	940
2015-12-31	794
2016-01-01	602
2016-01-02	661
2016-01-03	779
2016-01-04	884
2016-01-05	976
2016-01-06	1079
2016-01-07	1113
2016-01-08	1137
2016-01-09	1005
2016-01-10	913
2016-01-11	1036
2016-01-12	1126
2016-01-13	1165
2016-01-14	1047
2016-01-15	1211
2016-01-16	1188
2016-01-17	995
2016-01-18	1114
2016-01-19	1282
2016-01-20	1585
2016-01-21	1194
2016-01-22	1120
2016-01-23	1176
2016-01-24	1155
2016-01-25	1196
2016-01-26	1237
2016-01-27	1219
2016-01-28	1220
2016-01-29	1260
2016-01-30	1182
2016-01-31	1248
2016-02-01	1361
2016-02-02	1730
2016-02-03	4210
2016-02-04	2536
2016-02-05	1675
2016-02-06	1323
2016-02-07	1301
2016-02-08	1392
2016-02-09	1362
2016-02-10	1184
2016-02-11	1322
2016-02-12	1206
2016-02-13	1256
2016-02-14	1418
2016-02-15	1455
2016-02-16	1279
2016-02-17	1303
2016-02-18	1368
2016-02-19	1215
2016-02-20	1321
2016-02-21	1053
2016-02-22	1168
2016-02-23	1452
2016-02-24	1302
2016-02-25	1185
2016-02-26	1109
2016-02-27	1449
2016-02-28	1226
2016-02-29	1620
2016-03-01	1430
2016-03-02	1485
2016-03-03	1495
2016-03-04	1374
2016-03-05	1209
