date	freq
2015-06-01	402
2015-06-02	408
2015-06-03	389
2015-06-04	382
2015-06-05	454
2015-06-06	369
2015-06-07	371
2015-06-08	197
2015-06-09	383
2015-06-10	227
2015-06-11	429
2015-06-12	374
2015-06-13	343
2015-06-14	461
2015-06-15	374
2015-06-16	437
2015-06-17	420
2015-06-18	407
2015-06-19	366
2015-06-20	375
2015-06-21	360
2015-06-22	394
2015-06-23	428
2015-06-24	379
2015-06-25	381
2015-06-26	352
2015-06-27	354
2015-06-28	338
2015-06-29	408
2015-06-30	388
2015-07-01	525
2015-07-02	433
2015-07-03	479
2015-07-04	433
2015-07-05	505
2015-07-06	388
2015-07-07	379
2015-07-08	408
2015-07-09	368
2015-07-10	452
2015-07-11	388
2015-07-12	415
2015-07-13	390
2015-07-14	442
2015-07-15	369
2015-07-16	411
2015-07-17	361
2015-07-18	407
2015-07-19	343
2015-07-20	380
2015-07-21	446
2015-07-22	485
2015-07-23	410
2015-07-24	383
2015-07-25	352
2015-07-26	365
2015-07-27	401
2015-07-28	383
2015-07-29	403
2015-07-30	378
2015-07-31	414
2015-08-01	394
2015-08-02	436
2015-08-03	385
2015-08-04	428
2015-08-05	433
2015-08-06	440
2015-08-07	434
2015-08-08	502
2015-08-09	417
2015-08-10	403
2015-08-11	388
2015-08-12	367
2015-08-13	383
2015-08-14	386
2015-08-15	327
2015-08-16	359
2015-08-17	354
2015-08-18	444
2015-08-19	397
2015-08-20	444
2015-08-21	428
2015-08-22	421
2015-08-23	379
2015-08-24	382
2015-08-25	444
2015-08-26	422
2015-08-27	432
2015-08-28	399
2015-08-29	373
2015-08-30	389
2015-08-31	401
2015-09-01	388
2015-09-02	372
2015-09-03	400
2015-09-04	404
2015-09-05	415
2015-09-06	415
2015-09-07	373
2015-09-08	466
2015-09-09	467
2015-09-10	429
2015-09-11	383
2015-09-12	378
2015-09-13	404
2015-09-14	401
2015-09-15	443
2015-09-16	367
2015-09-17	359
2015-09-18	384
2015-09-19	441
2015-09-20	317
2015-09-21	361
2015-09-22	338
2015-09-23	389
2015-09-24	373
2015-09-25	396
2015-09-26	397
2015-09-27	415
2015-09-28	385
2015-09-29	375
2015-09-30	538
2015-10-01	396
2015-10-02	429
2015-10-03	355
2015-10-04	309
2015-10-05	368
2015-10-06	418
2015-10-07	446
2015-10-08	374
2015-10-09	359
2015-10-10	369
2015-10-11	362
2015-10-12	375
2015-10-13	413
2015-10-14	448
2015-10-15	379
2015-10-16	428
2015-10-17	296
2015-10-18	337
2015-10-19	394
2015-10-20	428
2015-10-21	366
2015-10-22	422
2015-10-23	400
2015-10-24	347
2015-10-25	324
2015-10-26	366
2015-10-27	481
2015-10-28	360
2015-10-29	380
2015-10-30	327
2015-10-31	334
2015-11-01	333
2015-11-02	314
2015-11-03	301
2015-11-04	330
2015-11-05	377
2015-11-06	402
2015-11-07	292
2015-11-08	269
2015-11-09	305
2015-11-10	320
2015-11-11	310
2015-11-12	306
2015-11-13	318
2015-11-14	286
2015-11-15	257
2015-11-16	300
2015-11-17	340
2015-11-18	285
2015-11-19	257
2015-11-20	314
2015-11-21	308
2015-11-22	291
2015-11-23	310
2015-11-24	296
2015-11-25	319
2015-11-26	303
2015-11-27	295
2015-11-28	313
2015-11-29	357
2015-11-30	280
2015-12-01	323
2015-12-02	321
2015-12-03	362
2015-12-04	317
2015-12-05	326
2015-12-06	283
2015-12-07	418
2015-12-08	270
2015-12-09	289
2015-12-10	381
2015-12-11	334
2015-12-12	263
2015-12-13	306
2015-12-14	296
2015-12-15	252
2015-12-16	1051
2015-12-17	506
2015-12-18	306
2015-12-19	263
2015-12-20	262
2015-12-21	269
2015-12-22	257
2015-12-23	260
2015-12-24	296
2015-12-25	270
2015-12-26	261
2015-12-27	260
2015-12-28	317
2015-12-29	368
2015-12-30	288
2015-12-31	298
2016-01-01	245
2016-01-02	243
2016-01-03	268
2016-01-04	283
2016-01-05	307
2016-01-06	305
2016-01-07	323
2016-01-08	326
2016-01-09	304
2016-01-10	286
2016-01-11	314
2016-01-12	270
2016-01-13	316
2016-01-14	296
2016-01-15	340
2016-01-16	286
2016-01-17	344
2016-01-18	291
2016-01-19	262
2016-01-20	295
2016-01-21	505
2016-01-22	409
2016-01-23	307
2016-01-24	282
2016-01-25	287
2016-01-26	296
2016-01-27	296
2016-01-28	316
2016-01-29	367
2016-01-30	330
2016-01-31	400
2016-02-01	459
2016-02-02	767
2016-02-03	3742
2016-02-04	1986
2016-02-05	669
2016-02-06	473
2016-02-07	349
2016-02-08	440
2016-02-09	429
2016-02-10	370
2016-02-11	311
2016-02-12	309
2016-02-13	360
2016-02-14	290
2016-02-15	294
2016-02-16	320
2016-02-17	310
2016-02-18	274
2016-02-19	317
2016-02-20	345
2016-02-21	248
2016-02-22	278
2016-02-23	322
2016-02-24	313
2016-02-25	284
2016-02-26	544
2016-02-27	313
2016-02-28	302
2016-02-29	315
2016-03-01	300
2016-03-02	300
2016-03-03	344
2016-03-04	281
2016-03-05	290
2016-03-06	290
2016-03-07	292
2016-03-08	322
2016-03-09	331
2016-03-10	331
2016-03-11	337
2016-03-12	377
2016-03-13	382
2016-03-14	330
2016-03-15	286
2016-03-16	353
2016-03-17	327
2016-03-18	283
2016-03-19	294
2016-03-20	268
2016-03-21	301
2016-03-22	310
2016-03-23	318
2016-03-24	310
2016-03-25	294
2016-03-26	274
2016-03-27	288
2016-03-28	312
2016-03-29	351
2016-03-30	336
2016-03-31	309
2016-04-01	376
2016-04-02	286
2016-04-03	253
2016-04-04	310
2016-04-05	293
2016-04-06	284
2016-04-07	281
2016-04-08	304
2016-04-09	315
2016-04-10	316
2016-04-11	286
2016-04-12	297
2016-04-13	280
2016-04-14	265
2016-04-15	291
2016-04-16	279
2016-04-17	634
2016-04-18	379
2016-04-19	408
2016-04-20	414
2016-04-21	349
2016-04-22	322
2016-04-23	323
2016-04-24	281
2016-04-25	286
2016-04-26	362
2016-04-27	291
2016-04-28	324
2016-04-29	273
2016-04-30	318
2016-05-01	271
2016-05-02	277
2016-05-03	289
2016-05-04	288
2016-05-05	324
2016-05-06	304
2016-05-07	317
2016-05-08	297
2016-05-09	313
2016-05-10	376
2016-05-11	408
2016-05-12	428
2016-05-13	362
2016-05-14	307
2016-05-15	344
2016-05-16	353
2016-05-17	318
2016-05-18	322
2016-05-19	428
2016-05-20	349
2016-05-21	290
2016-05-22	320
2016-05-23	323
2016-05-24	313
2016-05-25	323
2016-05-26	485
2016-05-27	383
2016-05-28	346
2016-05-29	254
2016-05-30	304
2016-05-31	285
