date	freq
2015-06-01	16
2015-06-02	21
2015-06-03	16
2015-06-04	22
2015-06-05	25
2015-06-06	25
2015-06-07	31
2015-06-08	19
2015-06-09	24
2015-06-10	24
2015-06-11	23
2015-06-12	20
2015-06-13	26
2015-06-14	14
2015-06-15	21
2015-06-16	13
2015-06-17	21
2015-06-18	29
2015-06-19	19
2015-06-20	24
2015-06-21	12
2015-06-22	23
2015-06-23	21
2015-06-24	36
2015-06-25	24
2015-06-26	22
2015-06-27	18
2015-06-28	22
2015-06-29	21
2015-06-30	16
2015-07-01	24
2015-07-02	23
2015-07-03	15
2015-07-04	18
2015-07-05	15
2015-07-06	22
2015-07-07	16
2015-07-08	16
2015-07-09	15
2015-07-10	17
2015-07-11	18
2015-07-12	11
2015-07-13	11
2015-07-14	24
2015-07-15	11
2015-07-16	17
2015-07-17	15
2015-07-18	18
2015-07-19	19
2015-07-20	19
2015-07-21	16
2015-07-22	15
2015-07-23	23
2015-07-24	26
2015-07-25	19
2015-07-26	14
2015-07-27	32
2015-07-28	17
2015-07-29	20
2015-07-30	24
2015-07-31	22
2015-08-01	28
2015-08-02	20
2015-08-03	24
2015-08-04	27
2015-08-05	21
2015-08-06	27
2015-08-07	25
2015-08-08	19
2015-08-09	28
2015-08-10	27
2015-08-11	55
2015-08-12	24
2015-08-13	20
2015-08-14	25
2015-08-15	14
2015-08-16	18
2015-08-17	15
2015-08-18	22
2015-08-19	25
2015-08-20	23
2015-08-21	19
2015-08-22	17
2015-08-23	22
2015-08-24	27
2015-08-25	63
2015-08-26	28
2015-08-27	24
2015-08-28	31
2015-08-29	39
2015-08-30	14
2015-08-31	28
2015-09-01	16
2015-09-02	15
2015-09-03	13
2015-09-04	11
2015-09-05	10
2015-09-06	18
2015-09-07	15
2015-09-08	33
2015-09-09	36
2015-09-10	25
2015-09-11	30
2015-09-12	15
2015-09-13	11
2015-09-14	13
2015-09-15	16
2015-09-16	16
2015-09-17	21
2015-09-18	11
2015-09-19	14
2015-09-20	14
2015-09-21	16
2015-09-22	13
2015-09-23	10
2015-09-24	22
2015-09-25	17
2015-09-26	10
2015-09-27	7
2015-09-28	8
2015-09-29	24
2015-09-30	20
2015-10-01	24
2015-10-02	13
2015-10-03	13
2015-10-04	9
2015-10-05	13
2015-10-06	16
2015-10-07	19
2015-10-08	43
2015-10-09	20
2015-10-10	23
2015-10-11	23
2015-10-12	9
2015-10-13	14
2015-10-14	17
2015-10-15	11
2015-10-16	10
2015-10-17	24
2015-10-18	17
2015-10-19	19
2015-10-20	22
2015-10-21	18
2015-10-22	16
2015-10-23	19
2015-10-24	14
2015-10-25	13
2015-10-26	15
2015-10-27	21
2015-10-28	23
2015-10-29	13
2015-10-30	9
2015-10-31	14
2015-11-01	20
2015-11-02	23
2015-11-03	9
2015-11-04	12
2015-11-05	17
2015-11-06	16
2015-11-07	21
2015-11-08	24
2015-11-09	19
2015-11-10	25
2015-11-11	26
2015-11-12	39
2015-11-13	36
2015-11-14	24
2015-11-15	39
2015-11-16	48
2015-11-17	32
2015-11-18	22
2015-11-19	35
2015-11-20	22
2015-11-21	20
2015-11-22	29
2015-11-23	15
2015-11-24	21
2015-11-25	30
2015-11-26	14
2015-11-27	21
2015-11-28	26
2015-11-29	12
2015-11-30	25
2015-12-01	42
2015-12-02	23
2015-12-03	27
2015-12-04	18
2015-12-05	23
2015-12-06	25
2015-12-07	32
2015-12-08	27
2015-12-09	25
2015-12-10	24
2015-12-11	32
2015-12-12	31
2015-12-13	29
2015-12-14	36
2015-12-15	25
2015-12-16	29
2015-12-17	50
2015-12-18	20
2015-12-19	30
2015-12-20	22
2015-12-21	28
2015-12-22	30
2015-12-23	27
2015-12-24	41
2015-12-25	21
2015-12-26	24
2015-12-27	27
2015-12-28	23
2015-12-29	26
2015-12-30	38
2015-12-31	35
2016-01-01	23
2016-01-02	20
2016-01-03	38
2016-01-04	18
2016-01-05	36
2016-01-06	15
2016-01-07	23
2016-01-08	24
2016-01-09	25
2016-01-10	17
2016-01-11	34
2016-01-12	32
2016-01-13	24
2016-01-14	29
2016-01-15	26
2016-01-16	22
2016-01-17	19
2016-01-18	14
2016-01-19	41
2016-01-20	31
2016-01-21	18
2016-01-22	28
2016-01-23	38
2016-01-24	30
2016-01-25	22
2016-01-26	20
2016-01-27	30
2016-01-28	16
2016-01-29	33
2016-01-30	24
2016-01-31	15
2016-02-01	19
2016-02-02	39
2016-02-03	22
2016-02-04	22
2016-02-05	27
2016-02-06	11
2016-02-07	25
2016-02-08	16
2016-02-09	17
2016-02-10	19
2016-02-11	14
2016-02-12	11
2016-02-13	20
2016-02-14	24
2016-02-15	33
2016-02-16	16
2016-02-17	20
2016-02-18	18
2016-02-19	21
2016-02-20	21
2016-02-21	10
2016-02-22	20
2016-02-23	21
2016-02-24	12
2016-02-25	16
2016-02-26	17
2016-02-27	19
2016-02-28	13
2016-02-29	16
2016-03-01	19
2016-03-02	18
2016-03-03	20
2016-03-04	14
2016-03-05	19
2016-03-06	24
2016-03-07	19
2016-03-08	15
2016-03-09	21
2016-03-10	26
2016-03-11	20
2016-03-12	19
2016-03-13	14
2016-03-14	14
2016-03-15	22
2016-03-16	18
2016-03-17	21
2016-03-18	39
2016-03-19	24
2016-03-20	18
2016-03-21	25
2016-03-22	25
2016-03-23	27
2016-03-24	24
2016-03-25	31
2016-03-26	12
2016-03-27	22
2016-03-28	35
2016-03-29	32
2016-03-30	29
2016-03-31	38
2016-04-01	24
2016-04-02	24
2016-04-03	12
2016-04-04	21
2016-04-05	18
2016-04-06	22
2016-04-07	13
2016-04-08	18
2016-04-09	21
2016-04-10	29
2016-04-11	18
2016-04-12	25
2016-04-13	11
2016-04-14	31
2016-04-15	10
2016-04-16	15
2016-04-17	15
2016-04-18	12
2016-04-19	17
2016-04-20	23
2016-04-21	10
2016-04-22	15
2016-04-23	19
2016-04-24	20
2016-04-25	17
2016-04-26	9
2016-04-27	14
2016-04-28	12
2016-04-29	14
2016-04-30	19
2016-05-01	13
2016-05-02	13
2016-05-03	16
2016-05-04	35
