date	freq
2015-06-01	1063
2015-06-02	1162
2015-06-03	1217
2015-06-04	1167
2015-06-05	1173
2015-06-06	952
2015-06-07	982
2015-06-08	1105
2015-06-09	1192
2015-06-10	1178
2015-06-11	1093
2015-06-12	1048
2015-06-13	890
2015-06-14	913
2015-06-15	1089
2015-06-16	1081
2015-06-17	1025
2015-06-18	1089
2015-06-19	1051
2015-06-20	866
2015-06-21	904
2015-06-22	996
2015-06-23	1056
2015-06-24	999
2015-06-25	1008
2015-06-26	1012
2015-06-27	836
2015-06-28	845
2015-06-29	1039
2015-06-30	1074
2015-07-01	1092
2015-07-02	1095
2015-07-03	960
2015-07-04	903
2015-07-05	916
2015-07-06	1085
2015-07-07	1269
2015-07-08	1027
2015-07-09	1073
2015-07-10	1003
2015-07-11	880
2015-07-12	885
2015-07-13	1012
2015-07-14	963
2015-07-15	965
2015-07-16	942
2015-07-17	898
2015-07-18	798
2015-07-19	797
2015-07-20	891
2015-07-21	985
2015-07-22	926
2015-07-23	998
2015-07-24	891
2015-07-25	867
2015-07-26	810
2015-07-27	997
2015-07-28	978
2015-07-29	849
2015-07-30	905
2015-07-31	884
2015-08-01	773
2015-08-02	794
2015-08-03	861
2015-08-04	1111
2015-08-05	903
2015-08-06	859
2015-08-07	847
2015-08-08	740
2015-08-09	747
2015-08-10	908
2015-08-11	856
2015-08-12	889
2015-08-13	857
2015-08-14	788
2015-08-15	766
2015-08-16	850
2015-08-17	915
2015-08-18	923
2015-08-19	942
2015-08-20	970
2015-08-21	950
2015-08-22	822
2015-08-23	880
2015-08-24	1010
2015-08-25	1048
2015-08-26	982
2015-08-27	988
2015-08-28	965
2015-08-29	887
2015-08-30	913
2015-08-31	1057
2015-09-01	1035
2015-09-02	1087
2015-09-03	1040
2015-09-04	1034
2015-09-05	946
2015-09-06	920
2015-09-07	1059
2015-09-08	1099
2015-09-09	1130
2015-09-10	998
2015-09-11	952
2015-09-12	957
2015-09-13	969
2015-09-14	1070
2015-09-15	1035
2015-09-16	1056
2015-09-17	1095
2015-09-18	974
2015-09-19	857
2015-09-20	829
2015-09-21	927
2015-09-22	973
2015-09-23	1016
2015-09-24	1049
2015-09-25	1006
2015-09-26	955
2015-09-27	960
2015-09-28	1031
2015-09-29	1100
2015-09-30	1109
2015-10-01	1321
2015-10-02	1014
2015-10-03	1092
2015-10-04	989
2015-10-05	1331
2015-10-06	1350
2015-10-07	1247
2015-10-08	1083
2015-10-09	1097
2015-10-10	935
2015-10-11	1031
2015-10-12	1032
2015-10-13	1087
2015-10-14	1131
2015-10-15	1077
2015-10-16	1107
2015-10-17	955
2015-10-18	992
2015-10-19	1154
2015-10-20	1179
