date	freq
2015-06-01	13
2015-06-02	2
2015-06-03	9
2015-06-04	2
2015-06-05	5
2015-06-06	4
2015-06-07	1
2015-06-08	7
2015-06-09	3
2015-06-10	3
2015-06-11	7
2015-06-12	2
2015-06-13	3
2015-06-14	2
2015-06-15	4
2015-06-16	6
2015-06-17	2
2015-06-18	4
2015-06-19	7
2015-06-20	2
2015-06-21	2
2015-06-22	2
2015-06-23	5
2015-06-24	5
2015-06-25	5
2015-06-26	4
2015-06-27	2
2015-06-28	1
2015-06-29	6
2015-06-30	2
2015-07-01	2
2015-07-02	0
2015-07-03	4
2015-07-04	5
2015-07-05	6
2015-07-06	7
2015-07-07	2
2015-07-08	3
2015-07-09	7
2015-07-10	1
2015-07-11	3
2015-07-12	2
2015-07-13	6
2015-07-14	5
2015-07-15	5
2015-07-16	4
2015-07-17	2
2015-07-18	3
2015-07-19	4
2015-07-20	4
2015-07-21	2
2015-07-22	1
2015-07-23	4
2015-07-24	3
2015-07-25	5
2015-07-26	8
2015-07-27	1
2015-07-28	1
2015-07-29	3
2015-07-30	2
2015-07-31	5
2015-08-01	4
2015-08-02	1
2015-08-03	3
2015-08-04	3
2015-08-05	4
2015-08-06	1
2015-08-07	4
2015-08-08	1
2015-08-09	1
2015-08-10	3
2015-08-11	3
2015-08-12	2
2015-08-13	3
2015-08-14	2
2015-08-15	1
2015-08-16	6
2015-08-17	0
2015-08-18	5
2015-08-19	2
2015-08-20	4
2015-08-21	0
2015-08-22	2
2015-08-23	4
2015-08-24	2
2015-08-25	2
2015-08-26	5
2015-08-27	4
2015-08-28	2
2015-08-29	3
2015-08-30	1
2015-08-31	2
2015-09-01	5
2015-09-02	1
2015-09-03	5
2015-09-04	3
2015-09-05	2
2015-09-06	2
2015-09-07	4
2015-09-08	3
2015-09-09	8
2015-09-10	2
2015-09-11	4
2015-09-12	6
2015-09-13	4
2015-09-14	1
2015-09-15	2
2015-09-16	2
2015-09-17	1
2015-09-18	1
2015-09-19	3
2015-09-20	5
2015-09-21	1
2015-09-22	5
2015-09-23	3
2015-09-24	3
2015-09-25	1
2015-09-26	5
2015-09-27	0
2015-09-28	2
2015-09-29	4
2015-09-30	6
2015-10-01	0
2015-10-02	3
2015-10-03	3
2015-10-04	1
2015-10-05	4
2015-10-06	2
2015-10-07	2
2015-10-08	5
2015-10-09	3
2015-10-10	0
2015-10-11	10
2015-10-12	2
2015-10-13	2
2015-10-14	0
2015-10-15	2
2015-10-16	1
2015-10-17	1
2015-10-18	3
2015-10-19	5
2015-10-20	6
2015-10-21	5
2015-10-22	3
2015-10-23	1
2015-10-24	3
2015-10-25	1
2015-10-26	3
2015-10-27	6
2015-10-28	3
2015-10-29	4
2015-10-30	2
2015-10-31	2
2015-11-01	1
2015-11-02	1
2015-11-03	1
2015-11-04	5
2015-11-05	2
2015-11-06	3
2015-11-07	3
2015-11-08	6
2015-11-09	6
2015-11-10	10
2015-11-11	12
2015-11-12	13
2015-11-13	10
2015-11-14	5
2015-11-15	5
2015-11-16	8
2015-11-17	6
2015-11-18	9
2015-11-19	3
2015-11-20	6
2015-11-21	5
2015-11-22	5
2015-11-23	5
2015-11-24	7
2015-11-25	9
2015-11-26	11
2015-11-27	0
2015-11-28	2
2015-11-29	4
2015-11-30	3
2015-12-01	4
2015-12-02	1
2015-12-03	1
2015-12-04	10
2015-12-05	5
2015-12-06	5
2015-12-07	11
2015-12-08	8
2015-12-09	2
2015-12-10	5
2015-12-11	8
2015-12-12	3
2015-12-13	6
2015-12-14	8
2015-12-15	6
2015-12-16	7
2015-12-17	1
2015-12-18	10
2015-12-19	7
2015-12-20	5
2015-12-21	4
2015-12-22	5
2015-12-23	5
2015-12-24	3
2015-12-25	2
2015-12-26	6
2015-12-27	5
2015-12-28	2
2015-12-29	2
2015-12-30	3
2015-12-31	4
2016-01-01	2
2016-01-02	4
2016-01-03	5
2016-01-04	7
2016-01-05	6
2016-01-06	3
2016-01-07	4
2016-01-08	8
2016-01-09	6
2016-01-10	4
2016-01-11	5
