date	freq
2015-06-01	184
2015-06-02	202
2015-06-03	182
2015-06-04	199
2015-06-05	182
2015-06-06	174
2015-06-07	153
2015-06-08	182
2015-06-09	174
2015-06-10	190
2015-06-11	182
2015-06-12	197
2015-06-13	139
2015-06-14	157
2015-06-15	193
2015-06-16	158
2015-06-17	179
2015-06-18	191
2015-06-19	148
2015-06-20	144
2015-06-21	137
2015-06-22	169
2015-06-23	157
2015-06-24	176
2015-06-25	152
2015-06-26	187
2015-06-27	128
2015-06-28	153
2015-06-29	166
2015-06-30	176
2015-07-01	122
2015-07-02	166
2015-07-03	156
2015-07-04	149
2015-07-05	154
2015-07-06	145
2015-07-07	150
2015-07-08	165
2015-07-09	142
2015-07-10	128
2015-07-11	126
2015-07-12	134
2015-07-13	162
2015-07-14	110
2015-07-15	140
2015-07-16	139
2015-07-17	125
2015-07-18	99
2015-07-19	79
2015-07-20	104
2015-07-21	120
2015-07-22	124
2015-07-23	171
2015-07-24	121
2015-07-25	82
2015-07-26	141
2015-07-27	167
2015-07-28	121
2015-07-29	145
2015-07-30	132
2015-07-31	162
2015-08-01	106
2015-08-02	89
2015-08-03	121
2015-08-04	120
2015-08-05	132
2015-08-06	111
2015-08-07	125
2015-08-08	109
2015-08-09	85
2015-08-10	124
2015-08-11	120
2015-08-12	117
2015-08-13	110
2015-08-14	93
2015-08-15	99
2015-08-16	109
2015-08-17	119
2015-08-18	141
2015-08-19	147
2015-08-20	136
2015-08-21	126
2015-08-22	112
2015-08-23	113
2015-08-24	159
2015-08-25	163
2015-08-26	176
2015-08-27	176
2015-08-28	163
2015-08-29	136
2015-08-30	131
2015-08-31	201
2015-09-01	208
2015-09-02	199
2015-09-03	229
2015-09-04	195
2015-09-05	177
2015-09-06	166
2015-09-07	218
2015-09-08	226
2015-09-09	233
2015-09-10	196
2015-09-11	207
2015-09-12	166
2015-09-13	191
2015-09-14	264
2015-09-15	190
2015-09-16	247
2015-09-17	230
2015-09-18	230
2015-09-19	192
2015-09-20	167
2015-09-21	175
2015-09-22	272
2015-09-23	221
2015-09-24	260
2015-09-25	267
2015-09-26	209
2015-09-27	243
2015-09-28	260
2015-09-29	275
2015-09-30	285
2015-10-01	283
2015-10-02	261
2015-10-03	217
2015-10-04	222
2015-10-05	273
2015-10-06	414
2015-10-07	368
2015-10-08	319
2015-10-09	383
2015-10-10	258
2015-10-11	230
2015-10-12	254
2015-10-13	379
2015-10-14	307
2015-10-15	298
2015-10-16	358
2015-10-17	271
2015-10-18	214
2015-10-19	322
2015-10-20	310
2015-10-21	340
2015-10-22	358
2015-10-23	317
2015-10-24	282
2015-10-25	254
2015-10-26	294
2015-10-27	332
2015-10-28	324
2015-10-29	287
2015-10-30	304
2015-10-31	250
2015-11-01	258
2015-11-02	294
2015-11-03	263
2015-11-04	294
2015-11-05	319
2015-11-06	282
