date	freq
2015-06-01	47
2015-06-02	39
2015-06-03	56
2015-06-04	67
2015-06-05	35
2015-06-06	54
2015-06-07	38
2015-06-08	24
2015-06-09	13
2015-06-10	31
2015-06-11	35
2015-06-12	38
2015-06-13	49
2015-06-14	47
2015-06-15	46
2015-06-16	33
2015-06-17	51
2015-06-18	48
2015-06-19	41
2015-06-20	36
2015-06-21	43
2015-06-22	39
2015-06-23	50
2015-06-24	84
2015-06-25	48
2015-06-26	33
2015-06-27	39
2015-06-28	49
2015-06-29	58
2015-06-30	41
2015-07-01	48
2015-07-02	40
2015-07-03	48
2015-07-04	28
2015-07-05	39
2015-07-06	40
2015-07-07	39
2015-07-08	25
2015-07-09	27
2015-07-10	34
2015-07-11	49
2015-07-12	38
2015-07-13	28
2015-07-14	22
2015-07-15	35
2015-07-16	45
2015-07-17	32
2015-07-18	36
2015-07-19	38
2015-07-20	44
2015-07-21	41
2015-07-22	45
2015-07-23	39
2015-07-24	37
2015-07-25	37
2015-07-26	25
2015-07-27	42
2015-07-28	39
2015-07-29	41
2015-07-30	35
2015-07-31	29
2015-08-01	27
2015-08-02	40
2015-08-03	23
2015-08-04	39
2015-08-05	30
2015-08-06	34
2015-08-07	35
2015-08-08	37
2015-08-09	29
2015-08-10	30
2015-08-11	43
2015-08-12	25
2015-08-13	32
2015-08-14	39
2015-08-15	26
2015-08-16	33
2015-08-17	38
2015-08-18	24
2015-08-19	37
2015-08-20	42
2015-08-21	36
2015-08-22	31
2015-08-23	33
2015-08-24	31
2015-08-25	28
2015-08-26	36
2015-08-27	46
2015-08-28	37
2015-08-29	42
2015-08-30	54
2015-08-31	41
2015-09-01	37
2015-09-02	46
2015-09-03	41
2015-09-04	32
2015-09-05	34
2015-09-06	41
2015-09-07	39
2015-09-08	50
2015-09-09	62
2015-09-10	58
2015-09-11	48
2015-09-12	45
2015-09-13	40
2015-09-14	45
2015-09-15	38
2015-09-16	41
2015-09-17	54
2015-09-18	33
2015-09-19	37
2015-09-20	31
2015-09-21	50
2015-09-22	31
2015-09-23	40
2015-09-24	40
2015-09-25	51
2015-09-26	45
2015-09-27	85
2015-09-28	39
2015-09-29	67
2015-09-30	52
2015-10-01	44
2015-10-02	50
2015-10-03	54
2015-10-04	40
2015-10-05	63
2015-10-06	147
2015-10-07	68
2015-10-08	60
2015-10-09	53
2015-10-10	56
2015-10-11	40
2015-10-12	53
2015-10-13	55
2015-10-14	68
2015-10-15	73
2015-10-16	65
2015-10-17	54
2015-10-18	59
2015-10-19	43
2015-10-20	82
2015-10-21	68
2015-10-22	53
2015-10-23	58
2015-10-24	47
2015-10-25	38
2015-10-26	94
2015-10-27	58
2015-10-28	61
2015-10-29	73
2015-10-30	45
2015-10-31	68
2015-11-01	56
2015-11-02	54
2015-11-03	55
2015-11-04	45
2015-11-05	68
2015-11-06	57
2015-11-07	52
2015-11-08	67
2015-11-09	65
2015-11-10	59
2015-11-11	48
2015-11-12	48
2015-11-13	54
2015-11-14	49
2015-11-15	42
2015-11-16	55
2015-11-17	46
2015-11-18	60
2015-11-19	59
2015-11-20	56
2015-11-21	47
2015-11-22	40
2015-11-23	70
2015-11-24	66
2015-11-25	60
2015-11-26	64
2015-11-27	63
2015-11-28	56
2015-11-29	33
2015-11-30	67
2015-12-01	55
2015-12-02	77
2015-12-03	50
2015-12-04	55
2015-12-05	51
2015-12-06	45
2015-12-07	56
2015-12-08	52
2015-12-09	53
2015-12-10	61
2015-12-11	47
2015-12-12	59
2015-12-13	46
2015-12-14	71
2015-12-15	70
2015-12-16	37
2015-12-17	64
2015-12-18	51
2015-12-19	51
2015-12-20	55
2015-12-21	61
2015-12-22	53
2015-12-23	49
2015-12-24	35
2015-12-25	37
2015-12-26	49
2015-12-27	33
2015-12-28	53
2015-12-29	51
2015-12-30	44
2015-12-31	54
2016-01-01	68
2016-01-02	33
2016-01-03	40
2016-01-04	56
2016-01-05	52
2016-01-06	60
2016-01-07	77
2016-01-08	53
2016-01-09	38
2016-01-10	48
2016-01-11	50
2016-01-12	66
2016-01-13	71
2016-01-14	49
2016-01-15	60
2016-01-16	46
2016-01-17	52
2016-01-18	41
2016-01-19	52
2016-01-20	49
2016-01-21	52
2016-01-22	61
2016-01-23	42
2016-01-24	86
2016-01-25	21
2016-01-26	22
2016-01-27	19
2016-01-28	47
2016-01-29	55
2016-01-30	46
2016-01-31	60
2016-02-01	67
2016-02-02	44
2016-02-03	45
2016-02-04	53
2016-02-05	40
2016-02-06	49
2016-02-07	48
2016-02-08	43
2016-02-09	56
2016-02-10	58
2016-02-11	53
2016-02-12	38
2016-02-13	41
2016-02-14	38
2016-02-15	64
2016-02-16	59
2016-02-17	56
2016-02-18	65
2016-02-19	61
2016-02-20	77
2016-02-21	39
2016-02-22	48
2016-02-23	39
2016-02-24	70
2016-02-25	70
2016-02-26	48
2016-02-27	53
2016-02-28	38
2016-02-29	46
2016-03-01	50
2016-03-02	54
2016-03-03	53
2016-03-04	53
2016-03-05	39
2016-03-06	48
2016-03-07	40
2016-03-08	43
2016-03-09	35
2016-03-10	46
2016-03-11	41
2016-03-12	41
2016-03-13	53
2016-03-14	54
2016-03-15	49
2016-03-16	33
2016-03-17	47
2016-03-18	45
2016-03-19	34
2016-03-20	31
2016-03-21	39
2016-03-22	39
2016-03-23	54
2016-03-24	67
2016-03-25	50
2016-03-26	39
2016-03-27	34
2016-03-28	39
2016-03-29	35
2016-03-30	43
2016-03-31	40
