date	freq
2015-06-01	137
2015-06-02	170
2015-06-03	204
2015-06-04	175
2015-06-05	153
2015-06-06	145
2015-06-07	162
2015-06-08	150
2015-06-09	148
2015-06-10	155
2015-06-11	169
2015-06-12	152
2015-06-13	165
2015-06-14	148
2015-06-15	142
2015-06-16	152
2015-06-17	140
2015-06-18	158
2015-06-19	131
2015-06-20	158
2015-06-21	162
2015-06-22	147
2015-06-23	147
2015-06-24	130
2015-06-25	159
2015-06-26	161
2015-06-27	139
2015-06-28	162
2015-06-29	157
2015-06-30	158
2015-07-01	162
2015-07-02	133
2015-07-03	146
2015-07-04	146
2015-07-05	171
2015-07-06	149
2015-07-07	141
2015-07-08	157
2015-07-09	150
2015-07-10	125
2015-07-11	139
2015-07-12	135
2015-07-13	144
2015-07-14	151
2015-07-15	137
2015-07-16	149
2015-07-17	154
2015-07-18	133
2015-07-19	128
2015-07-20	143
2015-07-21	158
2015-07-22	139
2015-07-23	134
2015-07-24	143
2015-07-25	152
2015-07-26	144
2015-07-27	150
2015-07-28	151
2015-07-29	136
2015-07-30	147
2015-07-31	125
2015-08-01	145
2015-08-02	153
2015-08-03	143
2015-08-04	139
2015-08-05	143
2015-08-06	142
2015-08-07	122
2015-08-08	135
2015-08-09	136
2015-08-10	134
2015-08-11	143
2015-08-12	133
2015-08-13	152
2015-08-14	137
2015-08-15	137
2015-08-16	135
2015-08-17	116
2015-08-18	151
2015-08-19	130
2015-08-20	149
2015-08-21	162
2015-08-22	148
2015-08-23	134
2015-08-24	157
2015-08-25	175
2015-08-26	143
2015-08-27	174
2015-08-28	184
2015-08-29	164
2015-08-30	165
2015-08-31	164
2015-09-01	193
2015-09-02	155
2015-09-03	170
2015-09-04	171
2015-09-05	174
2015-09-06	155
2015-09-07	168
2015-09-08	165
2015-09-09	171
2015-09-10	153
2015-09-11	146
2015-09-12	170
2015-09-13	159
2015-09-14	191
2015-09-15	182
2015-09-16	169
2015-09-17	174
2015-09-18	169
2015-09-19	193
2015-09-20	162
2015-09-21	154
2015-09-22	198
2015-09-23	192
2015-09-24	161
2015-09-25	154
2015-09-26	157
2015-09-27	182
2015-09-28	142
2015-09-29	150
2015-09-30	145
2015-10-01	153
2015-10-02	165
2015-10-03	156
2015-10-04	172
2015-10-05	153
2015-10-06	175
2015-10-07	163
2015-10-08	153
2015-10-09	150
2015-10-10	154
2015-10-11	161
2015-10-12	187
2015-10-13	151
2015-10-14	162
2015-10-15	137
2015-10-16	161
2015-10-17	187
2015-10-18	149
2015-10-19	161
2015-10-20	142
2015-10-21	138
2015-10-22	156
2015-10-23	172
2015-10-24	169
2015-10-25	164
2015-10-26	147
2015-10-27	158
2015-10-28	148
2015-10-29	147
2015-10-30	151
2015-10-31	168
2015-11-01	161
2015-11-02	165
2015-11-03	170
2015-11-04	139
2015-11-05	161
2015-11-06	166
2015-11-07	166
2015-11-08	173
2015-11-09	155
2015-11-10	170
2015-11-11	157
2015-11-12	137
2015-11-13	136
2015-11-14	161
2015-11-15	152
2015-11-16	146
2015-11-17	161
2015-11-18	160
2015-11-19	165
2015-11-20	148
2015-11-21	155
2015-11-22	167
2015-11-23	218
2015-11-24	166
2015-11-25	151
2015-11-26	147
2015-11-27	148
2015-11-28	149
2015-11-29	147
2015-11-30	158
2015-12-01	135
2015-12-02	138
2015-12-03	134
2015-12-04	151
2015-12-05	140
2015-12-06	159
2015-12-07	150
2015-12-08	139
2015-12-09	130
2015-12-10	150
2015-12-11	145
2015-12-12	146
2015-12-13	162
2015-12-14	148
2015-12-15	152
2015-12-16	131
2015-12-17	125
2015-12-18	121
2015-12-19	141
2015-12-20	145
2015-12-21	151
2015-12-22	134
2015-12-23	122
2015-12-24	129
2015-12-25	131
2015-12-26	145
2015-12-27	159
2015-12-28	161
2015-12-29	151
2015-12-30	158
2015-12-31	172
2016-01-01	143
2016-01-02	119
2016-01-03	143
2016-01-04	136
2016-01-05	165
2016-01-06	155
2016-01-07	152
2016-01-08	168
2016-01-09	150
2016-01-10	178
2016-01-11	176
2016-01-12	123
2016-01-13	145
2016-01-14	145
2016-01-15	165
2016-01-16	145
2016-01-17	161
2016-01-18	150
2016-01-19	150
2016-01-20	133
2016-01-21	136
2016-01-22	128
2016-01-23	128
2016-01-24	160
2016-01-25	148
2016-01-26	157
2016-01-27	136
2016-01-28	164
2016-01-29	138
2016-01-30	144
2016-01-31	151
2016-02-01	163
2016-02-02	178
2016-02-03	190
2016-02-04	170
2016-02-05	146
2016-02-06	163
2016-02-07	158
2016-02-08	158
2016-02-09	157
2016-02-10	149
2016-02-11	164
2016-02-12	144
2016-02-13	167
2016-02-14	321
2016-02-15	207
2016-02-16	174
2016-02-17	152
2016-02-18	136
2016-02-19	128
2016-02-20	150
2016-02-21	175
2016-02-22	172
2016-02-23	145
2016-02-24	120
2016-02-25	140
2016-02-26	152
2016-02-27	143
2016-02-28	159
2016-02-29	139
2016-03-01	137
2016-03-02	112
2016-03-03	148
2016-03-04	117
2016-03-05	120
2016-03-06	144
2016-03-07	168
2016-03-08	135
2016-03-09	119
2016-03-10	121
2016-03-11	112
2016-03-12	135
2016-03-13	142
2016-03-14	144
2016-03-15	130
2016-03-16	118
2016-03-17	131
2016-03-18	107
2016-03-19	113
2016-03-20	119
2016-03-21	133
2016-03-22	123
2016-03-23	133
2016-03-24	120
2016-03-25	119
2016-03-26	129
2016-03-27	123
2016-03-28	139
2016-03-29	135
2016-03-30	135
2016-03-31	99
2016-04-01	104
2016-04-02	135
2016-04-03	128
2016-04-04	132
2016-04-05	132
2016-04-06	107
2016-04-07	117
2016-04-08	135
2016-04-09	156
2016-04-10	145
2016-04-11	167
2016-04-12	132
2016-04-13	120
2016-04-14	145
2016-04-15	120
2016-04-16	122
2016-04-17	123
2016-04-18	127
2016-04-19	111
2016-04-20	128
2016-04-21	145
2016-04-22	130
2016-04-23	159
2016-04-24	162
2016-04-25	137
2016-04-26	128
2016-04-27	113
2016-04-28	125
2016-04-29	135
2016-04-30	130
2016-05-01	156
2016-05-02	143
2016-05-03	133
2016-05-04	136
2016-05-05	183
2016-05-06	139
2016-05-07	145
2016-05-08	145
2016-05-09	146
2016-05-10	135
2016-05-11	136
2016-05-12	125
2016-05-13	143
2016-05-14	137
2016-05-15	167
2016-05-16	123
2016-05-17	135
2016-05-18	130
2016-05-19	130
2016-05-20	123
2016-05-21	151
2016-05-22	155
2016-05-23	141
2016-05-24	122
2016-05-25	156
2016-05-26	148
2016-05-27	143
2016-05-28	151
2016-05-29	144
2016-05-30	154
2016-05-31	122
